"","FN13","FN23"
"ENSG00000163946","ENSG00000163946","TASOR"
"ENSG00000163947","ENSG00000163947","ARHGEF3"
"ENSG00000163950","ENSG00000163950","SLBP"
"ENSG00000163956","ENSG00000163956","LRPAP1"
"ENSG00000163958","ENSG00000163958","ZDHHC19"
"ENSG00000163959","ENSG00000163959","SLC51A"
"ENSG00000163960","ENSG00000163960","UBXN7"
"ENSG00000163961","ENSG00000163961","RNF168"
"ENSG00000163964","ENSG00000163964","PIGX"
"ENSG00000163975","ENSG00000163975","MELTF"
"ENSG00000163993","ENSG00000163993","S100P"
"ENSG00000163995","ENSG00000163995","ABLIM2"
"ENSG00000164002","ENSG00000164002","EXO5"
"ENSG00000164008","ENSG00000164008","C1orf50"
"ENSG00000164010","ENSG00000164010","ERMAP"
"ENSG00000164011","ENSG00000164011","ZNF691"
"ENSG00000164022","ENSG00000164022","AIMP1"
"ENSG00000164023","ENSG00000164023","SGMS2"
"ENSG00000164024","ENSG00000164024","METAP1"
"ENSG00000164031","ENSG00000164031","DNAJB14"
"ENSG00000164032","ENSG00000164032","H2AZ1"
"ENSG00000164035","ENSG00000164035","EMCN"
"ENSG00000164037","ENSG00000164037","SLC9B1"
"ENSG00000164038","ENSG00000164038","SLC9B2"
"ENSG00000164039","ENSG00000164039","BDH2"
"ENSG00000164040","ENSG00000164040","PGRMC2"
"ENSG00000164045","ENSG00000164045","CDC25A"
"ENSG00000164047","ENSG00000164047","CAMP"
"ENSG00000164048","ENSG00000164048","ZNF589"
"ENSG00000164050","ENSG00000164050","PLXNB1"
"ENSG00000164051","ENSG00000164051","CCDC51"
"ENSG00000164053","ENSG00000164053","ATRIP"
"ENSG00000164054","ENSG00000164054","SHISA5"
"ENSG00000164056","ENSG00000164056","SPRY1"
"ENSG00000164061","ENSG00000164061","BSN"
"ENSG00000164062","ENSG00000164062","APEH"
"ENSG00000164066","ENSG00000164066","INTU"
"ENSG00000164068","ENSG00000164068","RNF123"
"ENSG00000164070","ENSG00000164070","HSPA4L"
"ENSG00000164073","ENSG00000164073","MFSD8"
"ENSG00000164074","ENSG00000164074","ABHD18"
"ENSG00000164077","ENSG00000164077","MON1A"
"ENSG00000164078","ENSG00000164078","MST1R"
"ENSG00000164080","ENSG00000164080","RAD54L2"
"ENSG00000164081","ENSG00000164081","TEX264"
"ENSG00000164086","ENSG00000164086","DUSP7"
"ENSG00000164087","ENSG00000164087","POC1A"
"ENSG00000164088","ENSG00000164088","PPM1M"
"ENSG00000164089","ENSG00000164089","ETNPPL"
"ENSG00000164091","ENSG00000164091","WDR82"
"ENSG00000164096","ENSG00000164096","C4orf3"
"ENSG00000164099","ENSG00000164099","PRSS12"
"ENSG00000164100","ENSG00000164100","NDST3"
"ENSG00000164104","ENSG00000164104","HMGB2"
"ENSG00000164105","ENSG00000164105","SAP30"
"ENSG00000164107","ENSG00000164107","HAND2"
"ENSG00000164109","ENSG00000164109","MAD2L1"
"ENSG00000164111","ENSG00000164111","ANXA5"
"ENSG00000164114","ENSG00000164114","MAP9"
"ENSG00000164116","ENSG00000164116","GUCY1A1"
"ENSG00000164117","ENSG00000164117","FBXO8"
"ENSG00000164118","ENSG00000164118","CEP44"
"ENSG00000164120","ENSG00000164120","HPGD"
"ENSG00000164124","ENSG00000164124","TMEM144"
"ENSG00000164125","ENSG00000164125","GASK1B"
"ENSG00000164128","ENSG00000164128","NPY1R"
"ENSG00000164129","ENSG00000164129","NPY5R"
"ENSG00000164134","ENSG00000164134","NAA15"
"ENSG00000164136","ENSG00000164136","IL15"
"ENSG00000164142","ENSG00000164142","FAM160A1"
"ENSG00000164144","ENSG00000164144","ARFIP1"
"ENSG00000164151","ENSG00000164151","ICE1"
"ENSG00000164161","ENSG00000164161","HHIP"
"ENSG00000164162","ENSG00000164162","ANAPC10"
"ENSG00000164163","ENSG00000164163","ABCE1"
"ENSG00000164164","ENSG00000164164","OTUD4"
"ENSG00000164167","ENSG00000164167","LSM6"
"ENSG00000164168","ENSG00000164168","TMEM184C"
"ENSG00000164169","ENSG00000164169","PRMT9"
"ENSG00000164171","ENSG00000164171","ITGA2"
"ENSG00000164172","ENSG00000164172","MOCS2"
"ENSG00000164176","ENSG00000164176","EDIL3"
"ENSG00000164180","ENSG00000164180","TMEM161B"
"ENSG00000164181","ENSG00000164181","ELOVL7"
"ENSG00000164182","ENSG00000164182","NDUFAF2"
"ENSG00000164187","ENSG00000164187","LMBRD2"
"ENSG00000164188","ENSG00000164188","RANBP3L"
"ENSG00000164190","ENSG00000164190","NIPBL"
"ENSG00000164197","ENSG00000164197","RNF180"
"ENSG00000164199","ENSG00000164199","ADGRV1"
"ENSG00000164209","ENSG00000164209","SLC25A46"
"ENSG00000164211","ENSG00000164211","STARD4"
"ENSG00000164219","ENSG00000164219","PGGT1B"
"ENSG00000164220","ENSG00000164220","F2RL2"
"ENSG00000164221","ENSG00000164221","CCDC112"
"ENSG00000164236","ENSG00000164236","ANKRD33B"
"ENSG00000164237","ENSG00000164237","CMBL"
"ENSG00000164241","ENSG00000164241","C5orf63"
"ENSG00000164244","ENSG00000164244","PRRC1"
"ENSG00000164251","ENSG00000164251","F2RL1"
"ENSG00000164252","ENSG00000164252","AGGF1"
"ENSG00000164253","ENSG00000164253","WDR41"
"ENSG00000164258","ENSG00000164258","NDUFS4"
"ENSG00000164266","ENSG00000164266","SPINK1"
"ENSG00000164270","ENSG00000164270","HTR4"
"ENSG00000164283","ENSG00000164283","ESM1"
"ENSG00000164284","ENSG00000164284","GRPEL2"
"ENSG00000164291","ENSG00000164291","ARSK"
"ENSG00000164292","ENSG00000164292","RHOBTB3"
"ENSG00000164294","ENSG00000164294","GPX8"
"ENSG00000164296","ENSG00000164296","TIGD6"
"ENSG00000164300","ENSG00000164300","SERINC5"
"ENSG00000164305","ENSG00000164305","CASP3"
"ENSG00000164306","ENSG00000164306","PRIMPOL"
"ENSG00000164307","ENSG00000164307","ERAP1"
"ENSG00000164308","ENSG00000164308","ERAP2"
"ENSG00000164309","ENSG00000164309","CMYA5"
"ENSG00000164318","ENSG00000164318","EGFLAM"
"ENSG00000164323","ENSG00000164323","CFAP97"
"ENSG00000164327","ENSG00000164327","RICTOR"
"ENSG00000164329","ENSG00000164329","TENT2"
"ENSG00000164330","ENSG00000164330","EBF1"
"ENSG00000164331","ENSG00000164331","ANKRA2"
"ENSG00000164332","ENSG00000164332","UBLCP1"
"ENSG00000164338","ENSG00000164338","UTP15"
"ENSG00000164342","ENSG00000164342","TLR3"
"ENSG00000164344","ENSG00000164344","KLKB1"
"ENSG00000164346","ENSG00000164346","NSA2"
"ENSG00000164347","ENSG00000164347","GFM2"
"ENSG00000164366","ENSG00000164366","CCDC127"
"ENSG00000164379","ENSG00000164379","FOXQ1"
"ENSG00000164398","ENSG00000164398","ACSL6"
"ENSG00000164400","ENSG00000164400","CSF2"
"ENSG00000164402","ENSG00000164402","SEPTIN8"
"ENSG00000164403","ENSG00000164403","SHROOM1"
"ENSG00000164404","ENSG00000164404","GDF9"
"ENSG00000164405","ENSG00000164405","UQCRQ"
"ENSG00000164406","ENSG00000164406","LEAP2"
"ENSG00000164414","ENSG00000164414","SLC35A1"
"ENSG00000164430","ENSG00000164430","CGAS"
"ENSG00000164440","ENSG00000164440","TXLNB"
"ENSG00000164442","ENSG00000164442","CITED2"
"ENSG00000164463","ENSG00000164463","CREBRF"
"ENSG00000164465","ENSG00000164465","DCBLD1"
"ENSG00000164466","ENSG00000164466","SFXN1"
"ENSG00000164483","ENSG00000164483","SAMD3"
"ENSG00000164484","ENSG00000164484","TMEM200A"
"ENSG00000164488","ENSG00000164488","DACT2"
"ENSG00000164494","ENSG00000164494","PDSS2"
"ENSG00000164506","ENSG00000164506","STXBP5"
"ENSG00000164512","ENSG00000164512","ANKRD55"
"ENSG00000164532","ENSG00000164532","TBX20"
"ENSG00000164535","ENSG00000164535","DAGLB"
"ENSG00000164542","ENSG00000164542","KIAA0895"
"ENSG00000164543","ENSG00000164543","STK17A"
"ENSG00000164548","ENSG00000164548","TRA2A"
"ENSG00000164574","ENSG00000164574","GALNT10"
"ENSG00000164576","ENSG00000164576","SAP30L"
"ENSG00000164587","ENSG00000164587","RPS14"
"ENSG00000164597","ENSG00000164597","COG5"
"ENSG00000164603","ENSG00000164603","BMT2"
"ENSG00000164604","ENSG00000164604","GPR85"
"ENSG00000164609","ENSG00000164609","SLU7"
"ENSG00000164610","ENSG00000164610","RP9"
"ENSG00000164611","ENSG00000164611","PTTG1"
"ENSG00000164615","ENSG00000164615","CAMLG"
"ENSG00000164616","ENSG00000164616","ENSG00000164616"
"ENSG00000164619","ENSG00000164619","BMPER"
"ENSG00000164620","ENSG00000164620","RELL2"
"ENSG00000164626","ENSG00000164626","KCNK5"
"ENSG00000164627","ENSG00000164627","KIF6"
"ENSG00000164631","ENSG00000164631","ZNF12"
"ENSG00000164638","ENSG00000164638","SLC29A4"
"ENSG00000164647","ENSG00000164647","STEAP1"
"ENSG00000164649","ENSG00000164649","CDCA7L"
"ENSG00000164654","ENSG00000164654","MIOS"
"ENSG00000164659","ENSG00000164659","ELAPOR2"
"ENSG00000164663","ENSG00000164663","USP49"
"ENSG00000164669","ENSG00000164669","INTS4P1"
"ENSG00000164674","ENSG00000164674","SYTL3"
"ENSG00000164683","ENSG00000164683","HEY1"
"ENSG00000164684","ENSG00000164684","ZNF704"
"ENSG00000164687","ENSG00000164687","FABP5"
"ENSG00000164690","ENSG00000164690","SHH"
"ENSG00000164691","ENSG00000164691","TAGAP"
"ENSG00000164692","ENSG00000164692","COL1A2"
"ENSG00000164694","ENSG00000164694","FNDC1"
"ENSG00000164695","ENSG00000164695","CHMP4C"
"ENSG00000164707","ENSG00000164707","SLC13A4"
"ENSG00000164713","ENSG00000164713","BRI3"
"ENSG00000164715","ENSG00000164715","LMTK2"
"ENSG00000164733","ENSG00000164733","CTSB"
"ENSG00000164736","ENSG00000164736","SOX17"
"ENSG00000164741","ENSG00000164741","DLC1"
"ENSG00000164742","ENSG00000164742","ADCY1"
"ENSG00000164743","ENSG00000164743","C8orf48"
"ENSG00000164749","ENSG00000164749","HNF4G"
"ENSG00000164751","ENSG00000164751","PEX2"
"ENSG00000164754","ENSG00000164754","RAD21"
"ENSG00000164758","ENSG00000164758","MED30"
"ENSG00000164761","ENSG00000164761","TNFRSF11B"
"ENSG00000164764","ENSG00000164764","SBSPON"
"ENSG00000164776","ENSG00000164776","PHKG1"
"ENSG00000164808","ENSG00000164808","SPIDR"
"ENSG00000164815","ENSG00000164815","ORC5"
"ENSG00000164818","ENSG00000164818","DNAAF5"
"ENSG00000164821","ENSG00000164821","DEFA4"
"ENSG00000164823","ENSG00000164823","OSGIN2"
"ENSG00000164825","ENSG00000164825","DEFB1"
"ENSG00000164828","ENSG00000164828","SUN1"
"ENSG00000164830","ENSG00000164830","OXR1"
"ENSG00000164841","ENSG00000164841","TMEM74"
"ENSG00000164845","ENSG00000164845","ENSG00000164845"
"ENSG00000164849","ENSG00000164849","GPR146"
"ENSG00000164850","ENSG00000164850","GPER1"
"ENSG00000164855","ENSG00000164855","TMEM184A"
"ENSG00000164867","ENSG00000164867","NOS3"
"ENSG00000164877","ENSG00000164877","MICALL2"
"ENSG00000164879","ENSG00000164879","CA3"
"ENSG00000164880","ENSG00000164880","INTS1"
"ENSG00000164885","ENSG00000164885","CDK5"
"ENSG00000164889","ENSG00000164889","SLC4A2"
"ENSG00000164896","ENSG00000164896","FASTK"
"ENSG00000164897","ENSG00000164897","TMUB1"
"ENSG00000164898","ENSG00000164898","FMC1"
"ENSG00000164902","ENSG00000164902","PHAX"
"ENSG00000164904","ENSG00000164904","ALDH7A1"
"ENSG00000164916","ENSG00000164916","FOXK1"
"ENSG00000164919","ENSG00000164919","COX6C"
"ENSG00000164924","ENSG00000164924","YWHAZ"
"ENSG00000164929","ENSG00000164929","BAALC"
"ENSG00000164930","ENSG00000164930","FZD6"
"ENSG00000164932","ENSG00000164932","CTHRC1"
"ENSG00000164933","ENSG00000164933","SLC25A32"
"ENSG00000164934","ENSG00000164934","DCAF13"
"ENSG00000164935","ENSG00000164935","DCSTAMP"
"ENSG00000164938","ENSG00000164938","TP53INP1"
"ENSG00000164941","ENSG00000164941","INTS8"
"ENSG00000164944","ENSG00000164944","VIRMA"
"ENSG00000164946","ENSG00000164946","FREM1"
"ENSG00000164949","ENSG00000164949","GEM"
"ENSG00000164951","ENSG00000164951","PDP1"
"ENSG00000164953","ENSG00000164953","TMEM67"
"ENSG00000164961","ENSG00000164961","WASHC5"
"ENSG00000164967","ENSG00000164967","RPP25L"
"ENSG00000164970","ENSG00000164970","FAM219A"
"ENSG00000164975","ENSG00000164975","SNAPC3"
"ENSG00000164976","ENSG00000164976","MYORG"
"ENSG00000164978","ENSG00000164978","NUDT2"
"ENSG00000164983","ENSG00000164983","TMEM65"
"ENSG00000164985","ENSG00000164985","PSIP1"
"ENSG00000164989","ENSG00000164989","CCDC171"
"ENSG00000165006","ENSG00000165006","UBAP1"
"ENSG00000165023","ENSG00000165023","DIRAS2"
"ENSG00000165025","ENSG00000165025","SYK"
"ENSG00000165028","ENSG00000165028","NIPSNAP3B"
"ENSG00000165029","ENSG00000165029","ABCA1"
"ENSG00000165030","ENSG00000165030","NFIL3"
"ENSG00000165046","ENSG00000165046","LETM2"
"ENSG00000165055","ENSG00000165055","METTL2B"
"ENSG00000165060","ENSG00000165060","FXN"
"ENSG00000165071","ENSG00000165071","TMEM71"
"ENSG00000165072","ENSG00000165072","MAMDC2"
"ENSG00000165092","ENSG00000165092","ALDH1A1"
"ENSG00000165097","ENSG00000165097","KDM1B"
"ENSG00000165102","ENSG00000165102","HGSNAT"
"ENSG00000165105","ENSG00000165105","RASEF"
"ENSG00000165113","ENSG00000165113","GKAP1"
"ENSG00000165115","ENSG00000165115","KIF27"
"ENSG00000165118","ENSG00000165118","C9orf64"
"ENSG00000165119","ENSG00000165119","HNRNPK"
"ENSG00000165121","ENSG00000165121","ENSG00000165121"
"ENSG00000165124","ENSG00000165124","SVEP1"
"ENSG00000165125","ENSG00000165125","TRPV6"
"ENSG00000165138","ENSG00000165138","ANKS6"
"ENSG00000165140","ENSG00000165140","FBP1"
"ENSG00000165152","ENSG00000165152","PGAP4"
"ENSG00000165156","ENSG00000165156","ZHX1"
"ENSG00000165168","ENSG00000165168","CYBB"
"ENSG00000165169","ENSG00000165169","DYNLT3"
"ENSG00000165171","ENSG00000165171","METTL27"
"ENSG00000165175","ENSG00000165175","MID1IP1"
"ENSG00000165178","ENSG00000165178","NCF1C"
"ENSG00000165181","ENSG00000165181","SHOC1"
"ENSG00000165185","ENSG00000165185","KIAA1958"
"ENSG00000165194","ENSG00000165194","PCDH19"
"ENSG00000165195","ENSG00000165195","PIGA"
"ENSG00000165197","ENSG00000165197","VEGFD"
"ENSG00000165209","ENSG00000165209","STRBP"
"ENSG00000165215","ENSG00000165215","CLDN3"
"ENSG00000165219","ENSG00000165219","GAPVD1"
"ENSG00000165233","ENSG00000165233","CARD19"
"ENSG00000165238","ENSG00000165238","WNK2"
"ENSG00000165240","ENSG00000165240","ATP7A"
"ENSG00000165244","ENSG00000165244","ZNF367"
"ENSG00000165246","ENSG00000165246","NLGN4Y"
"ENSG00000165259","ENSG00000165259","HDX"
"ENSG00000165264","ENSG00000165264","NDUFB6"
"ENSG00000165269","ENSG00000165269","AQP7"
"ENSG00000165271","ENSG00000165271","NOL6"
"ENSG00000165272","ENSG00000165272","AQP3"
"ENSG00000165275","ENSG00000165275","TRMT10B"
"ENSG00000165280","ENSG00000165280","VCP"
"ENSG00000165282","ENSG00000165282","PIGO"
"ENSG00000165283","ENSG00000165283","STOML2"
"ENSG00000165288","ENSG00000165288","BRWD3"
"ENSG00000165304","ENSG00000165304","MELK"
"ENSG00000165312","ENSG00000165312","OTUD1"
"ENSG00000165322","ENSG00000165322","ARHGAP12"
"ENSG00000165323","ENSG00000165323","FAT3"
"ENSG00000165338","ENSG00000165338","HECTD2"
"ENSG00000165355","ENSG00000165355","FBXO33"
"ENSG00000165359","ENSG00000165359","INTS6L"
"ENSG00000165376","ENSG00000165376","CLDN2"
"ENSG00000165379","ENSG00000165379","LRFN5"
"ENSG00000165389","ENSG00000165389","SPTSSA"
"ENSG00000165392","ENSG00000165392","WRN"
"ENSG00000165406","ENSG00000165406","MARCHF8"
"ENSG00000165409","ENSG00000165409","TSHR"
"ENSG00000165410","ENSG00000165410","CFL2"
"ENSG00000165416","ENSG00000165416","SUGT1"
"ENSG00000165417","ENSG00000165417","GTF2A1"
"ENSG00000165424","ENSG00000165424","ZCCHC24"
"ENSG00000165434","ENSG00000165434","PGM2L1"
"ENSG00000165443","ENSG00000165443","PHYHIPL"
"ENSG00000165449","ENSG00000165449","SLC16A9"
"ENSG00000165457","ENSG00000165457","FOLR2"
"ENSG00000165458","ENSG00000165458","INPPL1"
"ENSG00000165471","ENSG00000165471","MBL2"
"ENSG00000165474","ENSG00000165474","GJB2"
"ENSG00000165475","ENSG00000165475","CRYL1"
"ENSG00000165476","ENSG00000165476","REEP3"
"ENSG00000165478","ENSG00000165478","HEPACAM"
"ENSG00000165480","ENSG00000165480","SKA3"
"ENSG00000165487","ENSG00000165487","MICU2"
"ENSG00000165490","ENSG00000165490","DDIAS"
"ENSG00000165494","ENSG00000165494","PCF11"
"ENSG00000165495","ENSG00000165495","PKNOX2"
"ENSG00000165501","ENSG00000165501","LRR1"
"ENSG00000165502","ENSG00000165502","RPL36AL"
"ENSG00000165506","ENSG00000165506","DNAAF2"
"ENSG00000165507","ENSG00000165507","DEPP1"
"ENSG00000165511","ENSG00000165511","ZNF22-AS1"
"ENSG00000165512","ENSG00000165512","ZNF22"
"ENSG00000165516","ENSG00000165516","KLHDC2"
"ENSG00000165521","ENSG00000165521","EML5"
"ENSG00000165525","ENSG00000165525","NEMF"
"ENSG00000165526","ENSG00000165526","RPUSD4"
"ENSG00000165527","ENSG00000165527","ARF6"
"ENSG00000165533","ENSG00000165533","TTC8"
"ENSG00000165548","ENSG00000165548","TMEM63C"
"ENSG00000165555","ENSG00000165555","NOXRED1"
"ENSG00000165568","ENSG00000165568","AKR1E2"
"ENSG00000165572","ENSG00000165572","KBTBD6"
"ENSG00000165591","ENSG00000165591","FAAH2"
"ENSG00000165609","ENSG00000165609","NUDT5"
"ENSG00000165617","ENSG00000165617","DACT1"
"ENSG00000165626","ENSG00000165626","BEND7"
"ENSG00000165629","ENSG00000165629","ATP5F1C"
"ENSG00000165630","ENSG00000165630","PRPF18"
"ENSG00000165632","ENSG00000165632","TAF3"
"ENSG00000165633","ENSG00000165633","VSTM4"
"ENSG00000165637","ENSG00000165637","VDAC2"
"ENSG00000165644","ENSG00000165644","COMTD1"
"ENSG00000165646","ENSG00000165646","SLC18A2"
"ENSG00000165650","ENSG00000165650","PDZD8"
"ENSG00000165655","ENSG00000165655","ZNF503"
"ENSG00000165660","ENSG00000165660","ABRAXAS2"
"ENSG00000165661","ENSG00000165661","QSOX2"
"ENSG00000165669","ENSG00000165669","FAM204A"
"ENSG00000165671","ENSG00000165671","NSD1"
"ENSG00000165672","ENSG00000165672","PRDX3"
"ENSG00000165675","ENSG00000165675","ENOX2"
"ENSG00000165678","ENSG00000165678","GHITM"
"ENSG00000165682","ENSG00000165682","CLEC1B"
"ENSG00000165684","ENSG00000165684","SNAPC4"
"ENSG00000165688","ENSG00000165688","PMPCA"
"ENSG00000165689","ENSG00000165689","ENTR1"
"ENSG00000165694","ENSG00000165694","FRMD7"
"ENSG00000165698","ENSG00000165698","SPACA9"
"ENSG00000165699","ENSG00000165699","TSC1"
"ENSG00000165704","ENSG00000165704","HPRT1"
"ENSG00000165714","ENSG00000165714","BORCS5"
"ENSG00000165716","ENSG00000165716","DIPK1B"
"ENSG00000165724","ENSG00000165724","ZMYND19"
"ENSG00000165730","ENSG00000165730","STOX1"
"ENSG00000165731","ENSG00000165731","RET"
"ENSG00000165732","ENSG00000165732","DDX21"
"ENSG00000165733","ENSG00000165733","BMS1"
"ENSG00000165752","ENSG00000165752","STK32C"
"ENSG00000165757","ENSG00000165757","JCAD"
"ENSG00000165775","ENSG00000165775","FUNDC2"
"ENSG00000165782","ENSG00000165782","PIP4P1"
"ENSG00000165792","ENSG00000165792","METTL17"
"ENSG00000165795","ENSG00000165795","NDRG2"
"ENSG00000165799","ENSG00000165799","RNASE7"
"ENSG00000165801","ENSG00000165801","ARHGEF40"
"ENSG00000165802","ENSG00000165802","NSMF"
"ENSG00000165804","ENSG00000165804","ZNF219"
"ENSG00000165806","ENSG00000165806","CASP7"
"ENSG00000165810","ENSG00000165810","BTNL9"
"ENSG00000165813","ENSG00000165813","CCDC186"
"ENSG00000165819","ENSG00000165819","METTL3"
"ENSG00000165821","ENSG00000165821","SALL2"
"ENSG00000165828","ENSG00000165828","PRAP1"
"ENSG00000165832","ENSG00000165832","TRUB1"
"ENSG00000165841","ENSG00000165841","CYP2C19"
"ENSG00000165861","ENSG00000165861","ZFYVE1"
"ENSG00000165868","ENSG00000165868","HSPA12A"
"ENSG00000165874","ENSG00000165874","SHLD2P1"
"ENSG00000165879","ENSG00000165879","FRAT1"
"ENSG00000165886","ENSG00000165886","UBTD1"
"ENSG00000165891","ENSG00000165891","E2F7"
"ENSG00000165895","ENSG00000165895","ARHGAP42"
"ENSG00000165898","ENSG00000165898","ISCA2"
"ENSG00000165905","ENSG00000165905","LARGE2"
"ENSG00000165912","ENSG00000165912","PACSIN3"
"ENSG00000165914","ENSG00000165914","TTC7B"
"ENSG00000165915","ENSG00000165915","SLC39A13"
"ENSG00000165916","ENSG00000165916","PSMC3"
"ENSG00000165923","ENSG00000165923","AGBL2"
"ENSG00000165929","ENSG00000165929","TC2N"
"ENSG00000165934","ENSG00000165934","CPSF2"
"ENSG00000165943","ENSG00000165943","MOAP1"
"ENSG00000165948","ENSG00000165948","IFI27L1"
"ENSG00000165949","ENSG00000165949","IFI27"
"ENSG00000165953","ENSG00000165953","SERPINA12"
"ENSG00000165959","ENSG00000165959","CLMN"
"ENSG00000165966","ENSG00000165966","PDZRN4"
"ENSG00000165972","ENSG00000165972","CCDC38"
"ENSG00000165983","ENSG00000165983","PTER"
"ENSG00000165985","ENSG00000165985","C1QL3"
"ENSG00000165995","ENSG00000165995","CACNB2"
"ENSG00000165996","ENSG00000165996","HACD1"
"ENSG00000165997","ENSG00000165997","ARL5B"
"ENSG00000166002","ENSG00000166002","SMCO4"
"ENSG00000166004","ENSG00000166004","CEP295"
"ENSG00000166006","ENSG00000166006","KCNC2"
"ENSG00000166012","ENSG00000166012","TAF1D"
"ENSG00000166016","ENSG00000166016","ABTB2"
"ENSG00000166024","ENSG00000166024","R3HCC1L"
"ENSG00000166025","ENSG00000166025","AMOTL1"
"ENSG00000166033","ENSG00000166033","HTRA1"
"ENSG00000166035","ENSG00000166035","LIPC"
"ENSG00000166037","ENSG00000166037","CEP57"
"ENSG00000166046","ENSG00000166046","TCP11L2"
"ENSG00000166068","ENSG00000166068","SPRED1"
"ENSG00000166073","ENSG00000166073","GPR176"
"ENSG00000166086","ENSG00000166086","JAM3"
"ENSG00000166104","ENSG00000166104","ENSG00000166104"
"ENSG00000166106","ENSG00000166106","ADAMTS15"
"ENSG00000166111","ENSG00000166111","SVOP"
"ENSG00000166123","ENSG00000166123","GPT2"
"ENSG00000166126","ENSG00000166126","AMN"
"ENSG00000166128","ENSG00000166128","RAB8B"
"ENSG00000166130","ENSG00000166130","IKBIP"
"ENSG00000166133","ENSG00000166133","RPUSD2"
"ENSG00000166135","ENSG00000166135","HIF1AN"
"ENSG00000166136","ENSG00000166136","NDUFB8"
"ENSG00000166140","ENSG00000166140","ZFYVE19"
"ENSG00000166145","ENSG00000166145","SPINT1"
"ENSG00000166147","ENSG00000166147","FBN1"
"ENSG00000166148","ENSG00000166148","AVPR1A"
"ENSG00000166153","ENSG00000166153","DEPDC4"
"ENSG00000166164","ENSG00000166164","BRD7"
"ENSG00000166165","ENSG00000166165","CKB"
"ENSG00000166166","ENSG00000166166","TRMT61A"
"ENSG00000166167","ENSG00000166167","BTRC"
"ENSG00000166169","ENSG00000166169","POLL"
"ENSG00000166170","ENSG00000166170","BAG5"
"ENSG00000166171","ENSG00000166171","DPCD"
"ENSG00000166173","ENSG00000166173","LARP6"
"ENSG00000166181","ENSG00000166181","API5"
"ENSG00000166183","ENSG00000166183","ASPG"
"ENSG00000166188","ENSG00000166188","ZNF319"
"ENSG00000166189","ENSG00000166189","HPS6"
"ENSG00000166192","ENSG00000166192","SENP8"
"ENSG00000166197","ENSG00000166197","NOLC1"
"ENSG00000166199","ENSG00000166199","ALKBH3"
"ENSG00000166200","ENSG00000166200","COPS2"
"ENSG00000166206","ENSG00000166206","GABRB3"
"ENSG00000166211","ENSG00000166211","SPIC"
"ENSG00000166224","ENSG00000166224","SGPL1"
"ENSG00000166225","ENSG00000166225","FRS2"
"ENSG00000166226","ENSG00000166226","CCT2"
"ENSG00000166228","ENSG00000166228","PCBD1"
"ENSG00000166233","ENSG00000166233","ARIH1"
"ENSG00000166246","ENSG00000166246","C16orf71"
"ENSG00000166250","ENSG00000166250","CLMP"
"ENSG00000166260","ENSG00000166260","COX11"
"ENSG00000166261","ENSG00000166261","ZNF202"
"ENSG00000166262","ENSG00000166262","FAM227B"
"ENSG00000166263","ENSG00000166263","STXBP4"
"ENSG00000166265","ENSG00000166265","CYYR1"
"ENSG00000166266","ENSG00000166266","CUL5"
"ENSG00000166272","ENSG00000166272","WBP1L"
"ENSG00000166275","ENSG00000166275","BORCS7"
"ENSG00000166278","ENSG00000166278","C2"
"ENSG00000166289","ENSG00000166289","PLEKHF1"
"ENSG00000166292","ENSG00000166292","TMEM100"
"ENSG00000166295","ENSG00000166295","ANAPC16"
"ENSG00000166311","ENSG00000166311","SMPD1"
"ENSG00000166313","ENSG00000166313","APBB1"
"ENSG00000166321","ENSG00000166321","NUDT13"
"ENSG00000166323","ENSG00000166323","C11orf65"
"ENSG00000166326","ENSG00000166326","TRIM44"
"ENSG00000166333","ENSG00000166333","ILK"
"ENSG00000166337","ENSG00000166337","TAF10"
"ENSG00000166340","ENSG00000166340","TPP1"
"ENSG00000166341","ENSG00000166341","DCHS1"
"ENSG00000166343","ENSG00000166343","MSS51"
"ENSG00000166347","ENSG00000166347","CYB5A"
"ENSG00000166348","ENSG00000166348","USP54"
"ENSG00000166349","ENSG00000166349","RAG1"
"ENSG00000166352","ENSG00000166352","IFTAP"
"ENSG00000166359","ENSG00000166359","WDR88"
"ENSG00000166377","ENSG00000166377","ATP9B"
"ENSG00000166387","ENSG00000166387","PPFIBP2"
"ENSG00000166391","ENSG00000166391","MOGAT2"
"ENSG00000166394","ENSG00000166394","CYB5R2"
"ENSG00000166398","ENSG00000166398","GARRE1"
"ENSG00000166401","ENSG00000166401","SERPINB8"
"ENSG00000166402","ENSG00000166402","TUB"
"ENSG00000166405","ENSG00000166405","RIC3"
"ENSG00000166411","ENSG00000166411","IDH3A"
"ENSG00000166415","ENSG00000166415","WDR72"
"ENSG00000166432","ENSG00000166432","ZMAT1"
"ENSG00000166435","ENSG00000166435","XRRA1"
"ENSG00000166436","ENSG00000166436","TRIM66"
"ENSG00000166439","ENSG00000166439","RNF169"
"ENSG00000166441","ENSG00000166441","RPL27A"
"ENSG00000166444","ENSG00000166444","DENND2B"
"ENSG00000166446","ENSG00000166446","CDYL2"
"ENSG00000166450","ENSG00000166450","PRTG"
"ENSG00000166451","ENSG00000166451","CENPN"
"ENSG00000166452","ENSG00000166452","AKIP1"
"ENSG00000166454","ENSG00000166454","ATMIN"
"ENSG00000166471","ENSG00000166471","TMEM41B"
"ENSG00000166473","ENSG00000166473","PKD1L2"
