"","original.FBgn","updated.FBgn","Entrez.NCBI.gene.ID","Symbol","KEGG.ID","cluster","mt","Chromosome","Location"
"FBgn0034371","FBgn0034371","FBgn0034371","37147","SP2637","dme:Dmel_CG5473",5,0,"2R",-18641022
"FBgn0034377","FBgn0034377","FBgn0034377","37153","CG15071","dme:Dmel_CG15071",0,0,"2R",18696584
"FBgn0034379","FBgn0034379","FBgn0034379","37155","CG15073","dme:Dmel_CG15073",0,0,"2R",18705976
"FBgn0034380","FBgn0034380","FBgn0034380","37156","Vps51","dme:Dmel_CG15087",0,0,"2R",-18708151
"FBgn0034381","FBgn0034381","FBgn0034381","37157","List","dme:Dmel_CG15088",0,0,"2R",-18727816
"FBgn0034382","FBgn0034382","FBgn0034382","37158","CG18609","dme:Dmel_CG18609",4,0,"2R",-18742516
"FBgn0034383","FBgn0034383","FBgn0034383","37159","CG17821","dme:Dmel_CG17821",1,0,"2R",-18743805
"FBgn0034387","FBgn0034387","FBgn0034387","37163","Cyp12b2","dme:Dmel_CG15077",3,0,"2R",18754994
"FBgn0034389","FBgn0034389","FBgn0034389","37165","Mctp","dme:Dmel_CG15078",3,0,"2R",18761757
"FBgn0034390","FBgn0034390","FBgn0034390","37166","CG15093","dme:Dmel_CG15093",0,0,"2R",-18775668
"FBgn0034391","FBgn0034391","FBgn0034391","37167","CG15080","dme:Dmel_CG15080",0,0,"2R",18783298
"FBgn0034392","FBgn0034392","FBgn0034392","37168","MFS15","dme:Dmel_CG15094",5,0,"2R",-18794617
"FBgn0034394","FBgn0034394","FBgn0034394","37170","CG15096","dme:Dmel_CG15096",2,0,"2R",-18808355
"FBgn0034396","FBgn0034396","FBgn0034396","37172","CG15097","dme:Dmel_CG15097",0,0,"2R",-18822187
"FBgn0034397","FBgn0034397","FBgn0034397","37173","CG15082","dme:Dmel_CG15082",0,0,"2R",18831092
"FBgn0034398","FBgn0034398","FBgn0034398","37174","CG15098","dme:Dmel_CG15098",5,0,"2R",-18833371
"FBgn0034399","FBgn0034399","FBgn0034399","37175","CG15083","dme:Dmel_CG15083",0,0,"2R",18835262
"FBgn0034400","FBgn0034400","FBgn0034400","37176","CG15099","dme:Dmel_CG15099",0,0,"2R",-18836820
"FBgn0034401","FBgn0034401","FBgn0034401","37177","MetRS","dme:Dmel_CG15100",4,0,"2R",-18846857
"FBgn0034402","FBgn0034402","FBgn0034402","37178","CG15084","dme:Dmel_CG15084",0,0,"2R",18850843
"FBgn0034403","FBgn0034403","FBgn0034403","37179","CG18190","dme:Dmel_CG18190",1,0,"2R",-18851906
"FBgn0034405","FBgn0034405","FBgn0034405","37181","Jheh2","dme:Dmel_CG15102",5,0,"2R",-18855766
"FBgn0034406","FBgn0034406","FBgn0034406","37182","Jheh3","dme:Dmel_CG15106",5,0,"2R",-18860374
"FBgn0034407","FBgn0034407","FBgn0034407","37184","DptB","dme:Dmel_CG10794",0,0,"2R",18867390
"FBgn0034408","FBgn0034408","FBgn0034408","37185","sano","dme:Dmel_CG12758",0,0,"2R",18878390
"FBgn0034411","FBgn0034411","FBgn0034411","37189","CG18605","dme:Dmel_CG18605",1,0,"2R",18977513
"FBgn0034415","FBgn0034415","FBgn0034415","37194","CG15116","dme:Dmel_CG15116",4,0,"2R",-19055230
"FBgn0034416","FBgn0034416","FBgn0034416","37195","CG15109","dme:Dmel_CG15109",1,0,"2R",19059420
"FBgn0034417","FBgn0034417","FBgn0034417","37197","CG15117","dme:Dmel_CG15117",5,0,"2R",-19122230
"FBgn0034418","FBgn0034418","FBgn0034418","37199","CG15118","dme:Dmel_CG15118",0,0,"2R",-19133726
"FBgn0034419","FBgn0034419","FBgn0034419","37200","CG15111","dme:Dmel_CG15111",4,0,"2R",19137371
"FBgn0034420","FBgn0034420","FBgn0034420","37202","CG10737","dme:Dmel_CG10737",5,0,"2R",19164142
"FBgn0034422","FBgn0034422","FBgn0034422","37204","CG7137","dme:Dmel_CG7137",4,0,"2R",19227343
"FBgn0034423","FBgn0034423","FBgn0034423","37207","tbrd-2","dme:Dmel_CG7229",1,0,"2R",19259908
"FBgn0034425","FBgn0034425","FBgn0034425","37209","CG11906","dme:Dmel_CG11906",0,0,"2R",-19281417
"FBgn0034430","FBgn0034430","FBgn0034430","37215","mip40","dme:Dmel_CG15119",0,0,"2R",-19291104
"FBgn0034432","FBgn0034432","FBgn0034432","37217","CG7461","dme:Dmel_CG7461",5,0,"2R",19305171
"FBgn0034433","FBgn0034433","FBgn0034433","37218","EndoB","dme:Dmel_CG9834",0,0,"2R",-19307446
"FBgn0034435","FBgn0034435","FBgn0034435","37220","fest","dme:Dmel_CG9975",1,0,"2R",19341808
"FBgn0034436","FBgn0034436","FBgn0034436","37221","CG11961","dme:Dmel_CG11961",5,0,"2R",19357531
"FBgn0034437","FBgn0034437","FBgn0034437","37222","CG10051","dme:Dmel_CG10051",1,0,"2R",19363640
"FBgn0034438","FBgn0034438","FBgn0034438","37223","CG9416","dme:Dmel_CG9416",0,0,"2R",-19367247
"FBgn0034439","FBgn0034439","FBgn0034439","37224","CG10062","dme:Dmel_CG10062",1,0,"2R",19375312
"FBgn0034440","FBgn0034440","FBgn0034440","37225","CG10073","dme:Dmel_CG10073",0,0,"2R",19381619
"FBgn0034442","FBgn0034442","FBgn0034442","37227","CG11257","dme:Dmel_CG11257",0,0,"2R",19390127
"FBgn0034443","FBgn0034443","FBgn0034443","37229","cer","dme:Dmel_CG10460",0,0,"2R",-19396214
"FBgn0034446","FBgn0034446","FBgn0034446","37236","Arl6","dme:Dmel_CG7735",0,0,"2R",19444178
"FBgn0034447","FBgn0034447","FBgn0034447","37239","CG7744","dme:Dmel_CG7744",0,0,"2R",19452503
"FBgn0034451","FBgn0034451","FBgn0034451","37244","TBCB","dme:Dmel_CG11242",0,0,"2R",-19485493
"FBgn0034452","FBgn0034452","FBgn0034452","37245","Oseg6","dme:Dmel_CG11237",0,0,"2R",-19487045
"FBgn0034454","FBgn0034454","FBgn0034454","37248","CG15120","dme:Dmel_CG15120",3,0,"2R",19497751
"FBgn0034455","FBgn0034455","FBgn0034455","37249","CG11007","dme:Dmel_CG11007",0,0,"2R",19503067
"FBgn0034459","FBgn0034459","FBgn0034459","37253","CG16716","dme:Dmel_CG16716",1,0,"2R",19593789
"FBgn0034460","FBgn0034460","FBgn0034460","37255","CG18367","dme:Dmel_CG18367",0,0,"2R",19636659
"FBgn0034461","FBgn0034461","FBgn0034461","37256","CG15124","dme:Dmel_CG15124",1,0,"2R",19642946
"FBgn0034463","FBgn0034463","FBgn0034463","37258","CG15125","dme:Dmel_CG15125",1,0,"2R",19657572
"FBgn0034464","FBgn0034464","FBgn0034464","37259","CG11018","dme:Dmel_CG11018",1,0,"2R",19662435
"FBgn0034467","FBgn0034467","FBgn0034467","37263","CG15128","dme:Dmel_CG15128",1,0,"2R",-19685613
"FBgn0034468","FBgn0034468","FBgn0034468","37264","Obp56a","dme:Dmel_CG11797",0,0,"2R",19697722
"FBgn0034470","FBgn0034470","FBgn0034470","37266","Obp56d","dme:Dmel_CG11218",2,0,"2R",-19703138
"FBgn0034471","FBgn0034471","FBgn0034471","37267","Obp56e","dme:Dmel_CG8462",0,0,"2R",19712344
"FBgn0034472","FBgn0034472","FBgn0034472","37268","CG8517","dme:Dmel_CG8517",1,0,"2R",19714075
"FBgn0034473","FBgn0034473","FBgn0034473","37269","Or56a","dme:Dmel_CG12501",0,0,"2R",-19769460
"FBgn0034474","FBgn0034474","FBgn0034474","37270","Obp56g","dme:Dmel_CG13873",5,0,"2R",-19783483
"FBgn0034476","FBgn0034476","FBgn0034476","37272","Toll-7","dme:Dmel_CG8595",0,0,"2R",19826577
"FBgn0034477","FBgn0034477","FBgn0034477","37273","CG13872","dme:Dmel_CG13872",1,0,"2R",-19878835
"FBgn0034478","FBgn0034478","FBgn0034478","37274","CG10822","dme:Dmel_CG10822",1,0,"2R",19951344
"FBgn0034479","FBgn0034479","FBgn0034479","37275","CG8654","dme:Dmel_CG8654",3,0,"2R",19982109
"FBgn0034480","FBgn0034480","FBgn0034480","37276","CG16898","dme:Dmel_CG16898",3,0,"2R",-20003619
"FBgn0034483","FBgn0034483","FBgn0034483","37280","CG16894","dme:Dmel_CG16894",1,0,"2R",-20211584
"FBgn0034484","FBgn0034484","FBgn0034484","37281","CG11044","dme:Dmel_CG11044",0,0,"2R",20231828
"FBgn0034485","FBgn0034485","FBgn0034485","37282","CG11099","dme:Dmel_CG11099",0,0,"2R",20236234
"FBgn0034487","FBgn0034487","FBgn0034487","37284","Efhc1.2","dme:Dmel_CG11048",1,0,"2R",20239935
"FBgn0034488","FBgn0034488","FBgn0034488","37285","CG11208","dme:Dmel_CG11208",5,0,"2R",-20242751
"FBgn0034489","FBgn0034489","FBgn0034489","37286","ppk6","dme:Dmel_CG11209",1,0,"2R",-20245759
"FBgn0034490","FBgn0034490","FBgn0034490","37287","CG9864","dme:Dmel_CG9864",0,0,"2R",-20248129
"FBgn0034491","FBgn0034491","FBgn0034491","37289","Hsl","dme:Dmel_CG11055",0,0,"2R",20257820
"FBgn0034493","FBgn0034493","FBgn0034493","37293","CG8908","dme:Dmel_CG8908",0,0,"2R",20264919
"FBgn0034494","FBgn0034494","FBgn0034494","37294","CG10444","dme:Dmel_CG10444",2,0,"2R",-20271652
"FBgn0034495","FBgn0034495","FBgn0034495","37295","CG11788","dme:Dmel_CG11788",0,0,"2R",20274596
"FBgn0034496","FBgn0034496","FBgn0034496","37296","CG9143","dme:Dmel_CG9143",0,0,"2R",-20275972
"FBgn0034497","FBgn0034497","FBgn0034497","37297","Mpcp1","dme:Dmel_CG9090",5,0,"2R",-20279065
"FBgn0034498","FBgn0034498","FBgn0034498","37298","CG16868","dme:Dmel_CG16868",0,0,"2R",-20281628
"FBgn0034499","FBgn0034499","FBgn0034499","37299","Cpr56F","dme:Dmel_CG9036",1,0,"2R",-20288370
"FBgn0034500","FBgn0034500","FBgn0034500","37301","CG11200","dme:Dmel_CG11200",5,0,"2R",-20304516
"FBgn0034501","FBgn0034501","FBgn0034501","37302","CG13868","dme:Dmel_CG13868",2,0,"2R",-20309026
"FBgn0034502","FBgn0034502","FBgn0034502","37303","CG13871","dme:Dmel_CG13871",1,0,"2R",20317322
"FBgn0034503","FBgn0034503","FBgn0034503","37305","MED8","dme:Dmel_CG13867",0,0,"2R",-20325843
"FBgn0034504","FBgn0034504","FBgn0034504","37306","CG8929","dme:Dmel_CG8929",5,0,"2R",20327269
"FBgn0034505","FBgn0034505","FBgn0034505","37307","CG16739","dme:Dmel_CG16739",1,0,"2R",20341992
"FBgn0034506","FBgn0034506","FBgn0034506","37308","CG13870","dme:Dmel_CG13870",1,0,"2R",20343844
"FBgn0034507","FBgn0034507","FBgn0034507","37309","CG11192","dme:Dmel_CG11192",5,0,"2R",-20354107
"FBgn0034509","FBgn0034509","FBgn0034509","37311","Obp57c","dme:Dmel_CG13421",5,0,"2R",20503583
"FBgn0034510","FBgn0034510","FBgn0034510","37312","CG13426","dme:Dmel_CG13426",1,0,"2R",-20512696
"FBgn0034511","FBgn0034511","FBgn0034511","37313","GNBP-like3","dme:Dmel_CG13422",3,0,"2R",20526310
"FBgn0034512","FBgn0034512","FBgn0034512","37314","CG18067","dme:Dmel_CG18067",0,0,"2R",20534508
"FBgn0034513","FBgn0034513","FBgn0034513","37315","CG13423","dme:Dmel_CG13423",1,0,"2R",20536577
"FBgn0034514","FBgn0034514","FBgn0034514","37316","CG13427","dme:Dmel_CG13427",0,0,"2R",-20538876
"FBgn0034520","FBgn0034520","FBgn0034520","37322","lms","dme:Dmel_CG13424",0,0,"2R",20556876
"FBgn0034521","FBgn0034521","FBgn0034521","37323","Mgat1","dme:Dmel_CG13431",0,0,"2R",-20559155
"FBgn0034523","FBgn0034523","FBgn0034523","37325","Nnf1a","dme:Dmel_CG13434",1,0,"2R",-20586221
"FBgn0034527","FBgn0034527","FBgn0034527","37329","CG9945","dme:Dmel_CG9945",0,0,"2R",20618502
"FBgn0034528","FBgn0034528","FBgn0034528","37330","CG11180","dme:Dmel_CG11180",0,0,"2R",-20620913
"FBgn0034529","FBgn0034529","FBgn0034529","37331","FAM21","dme:Dmel_CG16742",0,0,"2R",20623546
"FBgn0034530","FBgn0034530","FBgn0034530","37332","Rcd6","dme:Dmel_CG11175",0,0,"2R",-20628185
"FBgn0034532","FBgn0034532","FBgn0034532","37334","CG13436","dme:Dmel_CG13436",1,0,"2R",20636391
"FBgn0034534","FBgn0034534","FBgn0034534","37336","maf-S","dme:Dmel_CG9954",0,0,"2R",20640975
"FBgn0034535","FBgn0034535","FBgn0034535","37337","CG11110","dme:Dmel_CG11110",0,0,"2R",20641741
"FBgn0034537","FBgn0034537","FBgn0034537","37339","DMAP1","dme:Dmel_CG11132",0,0,"2R",20644035
"FBgn0034538","FBgn0034538","FBgn0034538","37340","CG16799","dme:Dmel_CG16799",0,0,"2R",-20653124
"FBgn0034539","FBgn0034539","FBgn0034539","37341","CG11159","dme:Dmel_CG11159",0,0,"2R",-20655755
"FBgn0034540","FBgn0034540","FBgn0034540","37342","Lrt","dme:Dmel_CG11136",0,0,"2R",20646359
"FBgn0034541","FBgn0034541","FBgn0034541","37343","CG13437","dme:Dmel_CG13437",0,0,"2R",20661584
"FBgn0034542","FBgn0034542","FBgn0034542","37344","Fem-1","dme:Dmel_CG9025",0,0,"2R",-20662473
"FBgn0034543","FBgn0034543","FBgn0034543","246485","galla-1","dme:Dmel_CG30152",0,0,"2R",20671203
"FBgn0034546","FBgn0034546","FBgn0034546","37349","CG13442","dme:Dmel_CG13442",1,0,"2R",-20727828
"FBgn0034552","FBgn0034552","FBgn0034552","37357","CG17999","dme:Dmel_CG17999",0,0,"2R",-20847979
"FBgn0034553","FBgn0034553","FBgn0034553","37358","CG9993","dme:Dmel_CG9993",0,0,"2R",-20850145
"FBgn0034554","FBgn0034554","FBgn0034554","37359","CG15227","dme:Dmel_CG15227",1,0,"2R",20863780
"FBgn0034558","FBgn0034558","FBgn0034558","37363","Cib2","dme:Dmel_CG9236",0,0,"2R",20879929
"FBgn0034560","FBgn0034560","FBgn0034560","37366","CG9235","dme:Dmel_CG9235",1,0,"2R",20909703
"FBgn0034563","FBgn0034563","FBgn0034563","37371","CG15649","dme:Dmel_CG15649",5,0,"2R",-20973219
"FBgn0034564","FBgn0034564","FBgn0034564","37372","CG9344","dme:Dmel_CG9344",0,0,"2R",20977055
"FBgn0034566","FBgn0034566","FBgn0034566","37374","CG9313","dme:Dmel_CG9313",1,0,"2R",20979320
"FBgn0034567","FBgn0034567","FBgn0034567","37375","CG15651","dme:Dmel_CG15651",0,0,"2R",-20983837
"FBgn0034569","FBgn0034569","FBgn0034569","37377","dgt3","dme:Dmel_CG3221",1,0,"2R",-20992275
"FBgn0034570","FBgn0034570","FBgn0034570","37379","CG10543","dme:Dmel_CG10543",5,0,"2R",20996219
"FBgn0034572","FBgn0034572","FBgn0034572","37381","CG9346","dme:Dmel_CG9346",5,0,"2R",21011969
"FBgn0034573","FBgn0034573","FBgn0034573","37382","CG3295","dme:Dmel_CG3295",5,0,"2R",-21015593
"FBgn0034576","FBgn0034576","FBgn0034576","37385","ND-B14.7","dme:Dmel_CG9350",5,0,"2R",21025077
"FBgn0034577","FBgn0034577","FBgn0034577","37387","cpa","dme:Dmel_CG10540",5,0,"2R",21057786
"FBgn0034578","FBgn0034578","FBgn0034578","37388","CG15653","dme:Dmel_CG15653",0,0,"2R",-21059779
"FBgn0034579","FBgn0034579","FBgn0034579","37389","mRpL54","dme:Dmel_CG9353",0,0,"2R",21060788
"FBgn0034580","FBgn0034580","FBgn0034580","37390","Cht8","dme:Dmel_CG9357",0,0,"2R",21061645
"FBgn0034582","FBgn0034582","FBgn0034582","37392","Cht9","dme:Dmel_CG10531",3,0,"2R",-21067991
"FBgn0034583","FBgn0034583","FBgn0034583","37393","CG10527","dme:Dmel_CG10527",5,0,"2R",-21070367
"FBgn0034585","FBgn0034585","FBgn0034585","37395","Rbpn-5","dme:Dmel_CG4030",0,0,"2R",-21088385
"FBgn0034588","FBgn0034588","FBgn0034588","37399","CG9394","dme:Dmel_CG9394",2,0,"2R",21118393
"FBgn0034590","FBgn0034590","FBgn0034590","37403","Magi","dme:Dmel_CG30388",5,0,"2R",-21129462
"FBgn0034592","FBgn0034592","FBgn0034592","37405","CG9406","dme:Dmel_CG9406",1,0,"2R",21142367
"FBgn0034595","FBgn0034595","FBgn0034595","37408","CG15657","dme:Dmel_CG15657",1,0,"2R",-21147477
"FBgn0034598","FBgn0034598","FBgn0034598","37411","CG4266","dme:Dmel_CG4266",5,0,"2R",-21161712
"FBgn0034599","FBgn0034599","FBgn0034599","37412","hng1","dme:Dmel_CG9437",0,0,"2R",21168929
"FBgn0034601","FBgn0034601","FBgn0034601","37416","CG4286","dme:Dmel_CG4286",1,0,"2R",-21177753
"FBgn0034602","FBgn0034602","FBgn0034602","37418","Lapsyn","dme:Dmel_CG15658",2,0,"2R",21193570
"FBgn0034605","FBgn0034605","FBgn0034605","37421","CG15661","dme:Dmel_CG15661",0,0,"2R",-21215434
"FBgn0034606","FBgn0034606","FBgn0034606","37422","ASPP","dme:Dmel_CG18375",0,0,"2R",-21217855
"FBgn0034611","FBgn0034611","FBgn0034611","37427","MFS16","dme:Dmel_CG10069",0,0,"2R",21282297
"FBgn0034612","FBgn0034612","FBgn0034612","37428","CG10505","dme:Dmel_CG10505",2,0,"2R",-21285247
"FBgn0034614","FBgn0034614","FBgn0034614","37431","CG9752","dme:Dmel_CG9752",0,0,"2R",-21294401
"FBgn0034617","FBgn0034617","FBgn0034617","37434","Panx","dme:Dmel_CG9754",0,0,"2R",-21310367
"FBgn0034618","FBgn0034618","FBgn0034618","37435","CG9485","dme:Dmel_CG9485",3,0,"2R",21313366
"FBgn0034622","FBgn0034622","FBgn0034622","37439","CG15666","dme:Dmel_CG15666",0,0,"2R",21341971
"FBgn0034624","FBgn0034624","FBgn0034624","37441","CG17974","dme:Dmel_CG17974",0,0,"2R",-21348944
"FBgn0034626","FBgn0034626","FBgn0034626","37443","CG10795","dme:Dmel_CG10795",5,0,"2R",-21383226
"FBgn0034627","FBgn0034627","FBgn0034627","37444","eEFSec","dme:Dmel_CG9841",0,0,"2R",-21384551
"FBgn0034628","FBgn0034628","FBgn0034628","37445","Acox57D-p","dme:Dmel_CG9707",2,0,"2R",21386308
"FBgn0034629","FBgn0034629","FBgn0034629","37446","Acox57D-d","dme:Dmel_CG9709",5,0,"2R",21389404
"FBgn0034631","FBgn0034631","FBgn0034631","37450","TAF1C-like","dme:Dmel_CG10496",0,0,"2R",-21498902
"FBgn0034634","FBgn0034634","FBgn0034634","37453","CG10494","dme:Dmel_CG10494",0,0,"2R",-21517154
"FBgn0034636","FBgn0034636","FBgn0034636","37456","twz","dme:Dmel_CG10440",0,0,"2R",-21560245
"FBgn0034638","FBgn0034638","FBgn0034638","37458","CG10433","dme:Dmel_CG10433",2,0,"2R",-21605675
"FBgn0034639","FBgn0034639","FBgn0034639","37459","CG15673","dme:Dmel_CG15673",2,0,"2R",-21608392
"FBgn0034641","FBgn0034641","FBgn0034641","37462","mahj","dme:Dmel_CG10080",0,0,"2R",21625029
"FBgn0034642","FBgn0034642","FBgn0034642","37463","CG15674","dme:Dmel_CG15674",0,0,"2R",21632006
"FBgn0034643","FBgn0034643","FBgn0034643","37464","CG10321","dme:Dmel_CG10321",5,0,"2R",21634678
"FBgn0034644","FBgn0034644","FBgn0034644","37465","CG10082","dme:Dmel_CG10082",3,0,"2R",21646176
"FBgn0034645","FBgn0034645","FBgn0034645","37466","ND-B12","dme:Dmel_CG10320",0,0,"2R",21658296
"FBgn0034646","FBgn0034646","FBgn0034646","37467","Rae1","dme:Dmel_CG9862",0,0,"2R",-21658769
"FBgn0034647","FBgn0034647","FBgn0034647","37468","pirk","dme:Dmel_CG15678",0,0,"2R",-21660966
"FBgn0034650","FBgn0034650","FBgn0034650","37471","NC2alpha","dme:Dmel_CG10318",0,0,"2R",21670151
"FBgn0034651","FBgn0034651","FBgn0034651","37472","CG15676","dme:Dmel_CG15676",1,0,"2R",21671699
"FBgn0034654","FBgn0034654","FBgn0034654","37475","eIF3k","dme:Dmel_CG10306",0,0,"2R",21685282
"FBgn0034655","FBgn0034655","FBgn0034655","37477","CG10307","dme:Dmel_CG10307",1,0,"2R",21688772
"FBgn0034657","FBgn0034657","FBgn0034657","37482","LBR","dme:Dmel_CG17952",5,0,"2R",21720494
"FBgn0034658","FBgn0034658","FBgn0034658","37483","Grx1t","dme:Dmel_CG7975",1,0,"2R",21757344
"FBgn0034659","FBgn0034659","FBgn0034659","37484","CG4021","dme:Dmel_CG4021",1,0,"2R",21773294
"FBgn0034660","FBgn0034660","FBgn0034660","37485","Loxl2","dme:Dmel_CG4402",0,0,"2R",-21789622
"FBgn0034661","FBgn0034661","FBgn0034661","37486","CG4386","dme:Dmel_CG4386",0,0,"2R",-21799329
"FBgn0034662","FBgn0034662","FBgn0034662","37487","CG13492","dme:Dmel_CG13492",2,0,"2R",-21820661
"FBgn0034663","FBgn0034663","FBgn0034663","37488","CG4363","dme:Dmel_CG4363",0,0,"2R",-21834229
"FBgn0034664","FBgn0034664","FBgn0034664","37489","CG4377","dme:Dmel_CG4377",0,0,"2R",-21835447
"FBgn0034667","FBgn0034667","FBgn0034667","37492","comr","dme:Dmel_CG13493",1,0,"2R",-21864869
"FBgn0034670","FBgn0034670","FBgn0034670","37496","CG13488","dme:Dmel_CG13488",0,0,"2R",21951690
"FBgn0034671","FBgn0034671","FBgn0034671","37497","CG13494","dme:Dmel_CG13494",1,0,"2R",-21954241
"FBgn0034674","FBgn0034674","FBgn0034674","37500","CG9304","dme:Dmel_CG9304",5,0,"2R",21973121
"FBgn0034681","FBgn0034681","FBgn0034681","37507","CG9308","dme:Dmel_CG9308",1,0,"2R",22034843
"FBgn0034684","FBgn0034684","FBgn0034684","37510","CG13501","dme:Dmel_CG13501",1,0,"2R",-22058903
"FBgn0034687","FBgn0034687","FBgn0034687","37513","CG11475","dme:Dmel_CG11475",1,0,"2R",-22069724
"FBgn0034688","FBgn0034688","FBgn0034688","37514","CG11474","dme:Dmel_CG11474",0,0,"2R",-22071233
"FBgn0034689","FBgn0034689","FBgn0034689","37515","CG2921","dme:Dmel_CG2921",1,0,"2R",-22073537
"FBgn0034691","FBgn0034691","FBgn0034691","37517","Synj","dme:Dmel_CG6562",0,0,"2R",22080442
"FBgn0034692","FBgn0034692","FBgn0034692","37518","CG13502","dme:Dmel_CG13502",0,0,"2R",-22085781
"FBgn0034693","FBgn0034693","FBgn0034693","37519","CG11073","dme:Dmel_CG11073",5,0,"2R",-22091488
"FBgn0034694","FBgn0034694","FBgn0034694","37520","CG6613","dme:Dmel_CG6613",5,0,"2R",22103176
"FBgn0034697","FBgn0034697","FBgn0034697","37524","GM130","dme:Dmel_CG11061",0,0,"2R",-22124566
"FBgn0034700","FBgn0034700","FBgn0034700","37527","CG11269","dme:Dmel_CG11269",1,0,"2R",22138894
"FBgn0034703","FBgn0034703","FBgn0034703","37531","CG3045","dme:Dmel_CG3045",0,0,"2R",-22172802
"FBgn0034704","FBgn0034704","FBgn0034704","37532","CG6758","dme:Dmel_CG6758",0,0,"2R",22174921
"FBgn0034705","FBgn0034705","FBgn0034705","37533","CG11170","dme:Dmel_CG11170",4,0,"2R",-22177418
"FBgn0034706","FBgn0034706","FBgn0034706","37534","CG11275","dme:Dmel_CG11275",4,0,"2R",22179694
"FBgn0034707","FBgn0034707","FBgn0034707","37535","MED16","dme:Dmel_CG5465",0,0,"2R",22183137
"FBgn0034708","FBgn0034708","FBgn0034708","37536","Vps35","dme:Dmel_CG5625",0,0,"2R",22185971
"FBgn0034709","FBgn0034709","FBgn0034709","37537","Swim","dme:Dmel_CG3074",5,0,"2R",-22189816
"FBgn0034710","FBgn0034710","FBgn0034710","37538","CG3292","dme:Dmel_CG3292",0,0,"2R",-22203693
"FBgn0031781","FBgn0031781","FBgn0284255","33864","Arpc4","dme:Dmel_CG5972",0,0,"2L",6125131
"FBgn0034712","FBgn0034712","FBgn0034712","37540","CG3264","dme:Dmel_CG3264",0,0,"2R",-22208908
"FBgn0034713","FBgn0034713","FBgn0034713","37541","CG11291","dme:Dmel_CG11291",1,0,"2R",22211370
"FBgn0034715","FBgn0034715","FBgn0034715","37544","Oatp58Db","dme:Dmel_CG3382",0,0,"2R",-22221179
"FBgn0034716","FBgn0034716","FBgn0034716","37545","Oatp58Dc","dme:Dmel_CG3380",0,0,"2R",-22223680
"FBgn0034717","FBgn0034717","FBgn0034717","37547","CG5819","dme:Dmel_CG5819",3,0,"2R",22293433
"FBgn0034718","FBgn0034718","FBgn0034718","37548","wdp","dme:Dmel_CG3413",5,0,"2R",-22298213
"FBgn0034720","FBgn0034720","FBgn0034720","37552","Liprin-gamma","dme:Dmel_CG11206",0,0,"2R",-22333499
"FBgn0034721","FBgn0034721","FBgn0034721","37553","CG11298","dme:Dmel_CG11298",1,0,"2R",22348306
"FBgn0034722","FBgn0034722","FBgn0034722","37554","Rtf1","dme:Dmel_CG10955",0,0,"2R",22375089
"FBgn0034723","FBgn0034723","FBgn0034723","37556","CG13506","dme:Dmel_CG13506",5,0,"2R",22383133
"FBgn0034724","FBgn0034724","FBgn0034724","37557","babos","dme:Dmel_CG3624",5,0,"2R",-22394062
"FBgn0034725","FBgn0034725","FBgn0034725","37558","CG6044","dme:Dmel_CG6044",0,0,"2R",22404176
"FBgn0034726","FBgn0034726","FBgn0034726","37560","Mes4","dme:Dmel_CG11301",0,0,"2R",22411788
"FBgn0034727","FBgn0034727","FBgn0034727","37563","mRpS29","dme:Dmel_CG3633",0,0,"2R",-22418936
"FBgn0034728","FBgn0034728","FBgn0034728","37564","rad50","dme:Dmel_CG6339",5,0,"2R",22421012
"FBgn0034729","FBgn0034729","FBgn0034729","37565","CG10344","dme:Dmel_CG10344",0,0,"2R",-22425732
"FBgn0034730","FBgn0034730","FBgn0034730","37566","ppk12","dme:Dmel_CG10972",0,0,"2R",22427478
"FBgn0034733","FBgn0034733","FBgn0034733","37569","CG4752","dme:Dmel_CG4752",4,0,"2R",22478378
"FBgn0034734","FBgn0034734","FBgn0034734","37570","CG4554","dme:Dmel_CG4554",0,0,"2R",22483302
"FBgn0034735","FBgn0034735","FBgn0034735","37571","CG4610","dme:Dmel_CG4610",0,0,"2R",22492196
"FBgn0034736","FBgn0034736","FBgn0034736","37572","gas","dme:Dmel_CG6018",2,0,"2R",22550093
"FBgn0034737","FBgn0034737","FBgn0034737","37574","CG11362","dme:Dmel_CG11362",1,0,"2R",22562306
"FBgn0034739","FBgn0034739","FBgn0034739","37576","CG3927","dme:Dmel_CG3927",1,0,"2R",22594676
"FBgn0034740","FBgn0034740","FBgn0034740","37577","nsr","dme:Dmel_CG3875",1,0,"2R",22650555
"FBgn0034741","FBgn0034741","FBgn0034741","37578","CG4269","dme:Dmel_CG4269",0,0,"2R",22599337
"FBgn0034742","FBgn0034742","FBgn0034742","37579","CG4294","dme:Dmel_CG4294",0,0,"2R",-22600404
"FBgn0034743","FBgn0034743","FBgn0034743","37580","RpS16","dme:Dmel_CG4046",5,0,"2R",22606126
"FBgn0034744","FBgn0034744","FBgn0034744","37581","Vps20","dme:Dmel_CG4071",0,0,"2R",22608309
"FBgn0034745","FBgn0034745","FBgn0034745","37582","CG4329","dme:Dmel_CG4329",1,0,"2R",-22609333
"FBgn0034748","FBgn0034748","FBgn0034748","37585","CG17807","dme:Dmel_CG17807",0,0,"2R",-22634018
"FBgn0034750","FBgn0034750","FBgn0034750","37588","CG3732","dme:Dmel_CG3732",0,0,"2R",-22638806
