© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
TCF4	 	transcription regulator	Activated	2.000	1.21E-01	2.96E-01	BACH2,BCL6,HMGB2,ID3,IFI16,SELL,SLC66A3	 
EIF2AK3	 	kinase	Activated	2.373	1.33E-01	3.04E-01	ATF3,BET1L,EIF4EBP1,ERN1,MYC,SLC7A1,SYVN1	 
NCOA2	 	transcription regulator	Activated	2.433	1.33E-01	3.04E-01	ALAS2,CIITA,IRF1,NR4A3,PPARG,RARG	 
TP73	 	transcription regulator	Inhibited	-2.800	1.63E-01	3.32E-01	ALAS2,ATF3,BCL2,CD83,DDIT4,GPNMB,RUNX1,SERPINA3,TNFRSF12A	 
SPIB	4.066	transcription regulator	Activated	2.000	1.96E-01	3.66E-01	ATF3,HSPA1A/HSPA1B,Hspa1b,IKZF3,MEF2C	 
ACOX1	 	enzyme	 	-1.912	2.03E-01	3.75E-01	ADAMTS1,CYP4A11,IMPACT,MFGE8,NFE2L2,SGK1,SLC20A1	 
DOCK8	 	other	Activated	2.000	2.06E-01	3.75E-01	ARID5A,IRF1,SAP30,SOCS1	 
CYP1A1	 	enzyme	Activated	2.000	2.08E-01	3.75E-01	ACOT11,Mt1,Mt2,SMTN,SOCS2	 
Ifnar	 	group	Activated	2.164	2.14E-01	3.75E-01	CD8A,IFI16,IRF1,MYD88,TLR2	 
SASH1	 	other	Activated	2.000	2.21E-01	3.79E-01	ARID5A,IRF1,SAP30,SOCS1	 
IGF1R	 	transmembrane receptor	 	-1.929	2.23E-01	3.82E-01	ANKRD1,AQP4,BCL2,CD53,FLNC,GRB10,GTF2B,IGFBP5,RPL3,ZFP36L2	 
P38 MAPK	 	group	 	1.960	2.42E-01	3.91E-01	HMOX1,MYC,SERPINE1,SOCS3	 
LEP	2.743	growth factor	 	1.787	2.57E-01	4.11E-01	BCL2,CRHR2,CYP4A11,F3,FAAH,LEP,Pln,PPARG,PPARGC1A,SERPINE1,SOCS3	 
TPH1	 	enzyme	Activated	2.000	3.03E-01	4.42E-01	HMOX1,HSPA1A/HSPA1B,IFI16,MAP4K1	 
TRIM24	 	transcription regulator	Inhibited	-2.200	3.11E-01	4.48E-01	IRF1,SHISA5,SOCS1,SOCS2,TLR2	 
RELA	 	transcription regulator	 	1.981	3.11E-01	4.48E-01	AHR,HMOX1,MYC,NFE2L2,TLR2	 
H1-6	 	other	Activated	2.000	3.34E-01	4.65E-01	BCL3,ICOSLG/LOC102723996,KIF21B,LYRM9	 
H1f1	 	other	Activated	2.000	3.34E-01	4.65E-01	BCL3,ICOSLG/LOC102723996,KIF21B,LYRM9	 
SOX2	 	transcription regulator	 	-1.808	3.74E-01	4.94E-01	AQP4,ATF3,ELF1,GAB2,GADD45B,ID3,MYD88,NRARP,PARD6B,PCDH15,PPARG	 
INSIG1	 	other	Inhibited	-2.000	3.88E-01	4.99E-01	AACS,ABCG1,CXCL13,S100A9	 
CDKN1B	 	kinase	 	-1.941	4.71E-01	5.62E-01	LEF1,MYC,RUNX1,S100A9	 
MAPK1	 	kinase	Inhibited	-2.000	5.15E-01	5.92E-01	CISH,HOMER1,SOCS2,TNFRSF1B	 
PTGER4	 	G-protein coupled receptor	Inhibited	-2.200	5.17E-01	5.93E-01	IFI16,IRF1,MAFF,SAP30,STXBP4	 
IRF3	 	transcription regulator	Activated	2.000	5.37E-01	6.07E-01	BTLA,IFI16,IRF1,SAP30	 
