© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
ERK1/2	 	group	Activated	2.281	9.02E-04	1.34E-02	AKR1B10,BHMT,CCL3L3,CXCL3,DAPK1,IL1A,IL1B,JUNB,LEPR,MYC,SERPINE1,SOCS3,TNF	209 (7)
TLR2	 	transmembrane receptor	Activated	2.599	9.83E-04	1.45E-02	ATF3,CASP3,CCL3L3,CDKN1A,CISH,CXCL2,CXCL3,DUSP1,GADD45A,GBP3,HLA-DQA1,HNRNPU,IL1A,IL1B,IRF1,SOCS3,TNF,TNFSF10,TSPAN33	296 (16)
ATG16L1	0.709	enzyme	 	-0.447	1.01E-03	1.49E-02	CXCL2,IL18,IL1A,IL1B,KLHL13	133 (6)
MARK2	 	kinase	 	1.414	1.02E-03	1.49E-02	Cxcl11,CXCL2,CXCL3,Iigp1,IL18,IRF1,NFKBIZ,TNF	192 (10)
BMP10	 	growth factor	 	0.775	1.06E-03	1.54E-02	AASS,ANGPTL4,AQP1,CD74,CD83,CHRNA2,FGFR2,HPGD,ID2,ID3,IL1B,LEPR,MSR1,NR4A1,PHLDA1	 
PTGER4	 	G-protein coupled receptor	 	-0.825	1.12E-03	1.62E-02	ADAMTS4,ARRDC3,CCL3L3,CITED2,DYRK1B,FBXL20,GBP6,HCAR2,Ifi47,IL18,IL1B,IRF1,LHFPL2,MAFB,Mx2,PDCD4,SLC13A3,ST6GAL1,TNF,TNFSF10,ZFP36L1	168 (11)
TCF7L2	 	transcription regulator	Inhibited	-2.200	1.20E-03	1.73E-02	ACAA1,ACADL,ACSL3,ADAMTS4,AKR1C4,ATP8B1,CDKN1A,CNP,CYP2C8,CYP51A1,CYP7A1,EHHADH,ERBB3,FGFR2,FH,G6PC,GYS2,ID1,ID2,ID3,IDH1,MAP7,MOSPD2,MYC,PIGA,PPP1R14A,PRICKLE1,RAP2A,SC5D,SMURF1,SNX30,SORBS3,TMEM141,TNS1,TSPAN2,YPEL2	 
FMO3	 	enzyme	 	-0.816	1.23E-03	1.73E-02	ABCG5,ABCG8,ACADL,EHHADH,G6PC,SREBF1	 
SOCS6	 	other	 	1.633	1.23E-03	1.73E-02	CXCL2,CXCL3,IL18,IL1B,PLA1A,TNF	 
COMMD1	-0.473	transporter	 	-0.816	1.23E-03	1.73E-02	ALDOA,BNIP3,DDIT4,KRT19,LDHA,TFRC	 
FDFT1	-1.499	enzyme	 	0.000	1.23E-03	1.73E-02	ABCG5,ABCG8,CYP7A1,FDPS,PCSK9,SREBF1	 
RETNLB	 	other	 	-1.069	1.30E-03	1.80E-02	CASP3,CCL3L3,Ccl9,CCN4,FZD6,IL13RA1,IL1B,MAP3K6,MYC,MYCT1,NR4A1,PLA1A,STK17B,STOM	 
SOCS1	 	other	 	-1.092	1.30E-03	1.80E-02	CDKN1A,CISH,DUSP1,FKBP5,GBP6,Gvin1 (includes others),Ifi47,Iigp1,IL1B,IRF1,JAK2,Mx2,SOCS3,TNF	302 (18)
REL	 	transcription regulator	 	-0.827	1.36E-03	1.86E-02	ACSS2,BACH2,BCL3,CDKN1A,CTSV,DCLRE1B,DHFR,DNASE1L1,FADS2,FRMD4B,GPT2,Iigp1,IRF5,KDR,MAFG,MAP3K8,MYC,NAB2,NR4A1,PLK2,PPP1R14B,RAP2A,SLC22A15,STAT5B,TNF	 
FADD	 	other	Inhibited	-3.051	1.38E-03	1.86E-02	Cxcl11,CXCL2,ETNK1,GADD45B,IRF5,JUNB,KLF6,LY6E,Mx2,MYC,NAT1,PIM1,TNFAIP3	 
Histone H2b	 	group	 	 	1.43E-03	1.86E-02	Ifi47,IRF2BPL,PPP1R3B	 
B3GNT2	 	enzyme	 	 	1.43E-03	1.86E-02	CD14,IL1B,TNF	187 (6)
IKBIP	 	other	 	 	1.43E-03	1.86E-02	CXCL2,NFKBIZ,TNF	13 (2)
miR-130a-3p (and other miRNAs w/seed AGUGCAA)	 	mature microRNA	 	 	1.43E-03	1.86E-02	CXCL2,CXCL3,TNF	 
LUM	 	other	 	 	1.43E-03	1.86E-02	CXCL2,IL1B,TNF	 
CYP8B1	1.135	enzyme	 	 	1.43E-03	1.86E-02	ABCG5,ABCG8,CYP7A1	 
RUVBL1	 	transcription regulator	 	 	1.43E-03	1.86E-02	PSMA7,PSMC4,PSMD12	 
FGF19	 	growth factor	 	 	1.43E-03	1.86E-02	ABCG5,ABCG8,CYP7A1	 
PELI2	 	enzyme	 	 	1.43E-03	1.86E-02	CXCL2,IL1B,TNF	164 (8)
CEBPB	 	transcription regulator	 	1.269	1.43E-03	1.86E-02	AKR1B10,ATM,BHMT,CCL3L3,CCRL2,CD14,CD74,CDKN1A,CTSC,CXCL3,Cyp2d9 (includes others),DAPK1,DHCR7,DHFR,GADD45A,HSD17B4,HSP90AA1,IER3,IL1B,INMT,KLF10,KPNA2,LEPR,MMS22L,MSR1,MYC,NOP56,NUDT21,PEA15,PLAUR,POLE4,PPP1R14A,PRDX4,PRKCD,RCAN1,SERPINE1,SRP54,TFRC,TMEM50B,TNF,TRIB3,TUBB,UBE2F,WEE1,ZYX	228 (9)
FOS	 	transcription regulator	 	 	1.44E-03	1.87E-02	BCAR3,CLIP1,COBLL1,CYP17A1,DAP,FMN1,GAS2,GATA4,GM2A,GSTA5,HBA1/HBA2,HMOX1,HSD17B10,HSD3B1,HSPB8,KLF6,MPZL2,MYC,NPLOC4,NSDHL,ODC1,PAOX,PHLDA1,PLK2,Pmaip1,PRPF4B,PTS,S100A8,SMG1,SMURF1,SOCS3,TNF	 
Cyp4a14	3.620	enzyme	Activated	2.000	1.51E-03	1.88E-02	CXCL3,IL1A,IL1B,TNF	 
MVP	 	other	 	1.959	1.51E-03	1.88E-02	CXCL2,CXCL3,IL1B,TNF	 
HSPD1	0.587	enzyme	 	1.969	1.51E-03	1.88E-02	CXCL2,CXCL3,IL1B,TNF	 
TOPBP1	 	other	 	-0.927	1.51E-03	1.88E-02	CDKN1A,COQ8A,GADD45A,Pmaip1	 
TNFRSF1A	 	transmembrane receptor	 	1.721	1.51E-03	1.88E-02	CASP3,CCL3L3,CXCL2,CXCL3,GHR,IER3,IL1A,IL1B,ITGB5,KDR,PIM1,SERPINE1,Slco1a1,SOCS3,TFRC,THBD,TNF,TNFAIP3	167 (13)
SAMSN1	 	other	 	0.258	1.53E-03	1.88E-02	ATM,CCL3L3,CITED2,Cxcl11,CXCL2,Iigp1,IL18,IRF1,Mx2,NFKBIZ,PLA1A,PML,SOCS3,STAT5A,TNF	152 (5)
CD300LF	 	other	 	-0.378	1.54E-03	1.88E-02	ACADL,ACSS2,CPT1A,IDH1,IL1A,IL1B,SLC27A1	45 (4)
RPSA	 	translation regulator	 	-1.219	1.54E-03	1.88E-02	CXCL3,GBP3,Ifi47,IL1A,IL1B,TNF,TRAF1	194 (7)
CBL	 	transcription regulator	Inhibited	-2.414	1.54E-03	1.88E-02	CCL3L3,CXCL2,CXCL3,HMOX1,IL1B,NR4A1,TNF	193 (11)
KLF15	 	transcription regulator	Activated	2.978	1.54E-03	1.88E-02	ACADL,ACADM,ACAT1,Acot1,DECR1,EHHADH,HADHA,HADHB,SLC27A1	 
KIF3A	 	enzyme	 	1.477	1.55E-03	1.88E-02	CDKN1A,CYP51A1,HMGCS1,IDI1,MYC	 
ELANE	 	peptidase	 	1.982	1.55E-03	1.88E-02	CCL3L3,CEBPE,CXCL2,IL1B,TNF	59 (4)
CYP51A1	-2.157	enzyme	Activated	2.236	1.55E-03	1.88E-02	LSS,MSMO1,NSDHL,SC5D,TM7SF2	 
SIRT1	 	transcription regulator	 	1.213	1.56E-03	1.88E-02	BCLAF1,BNIP3,CD74,CD83,CELA1,CPT1A,CYCS,G6PC,GADD45A,GATA4,GBP3,GBP6,GSTA3,GSTM1,HLA-DQA1,HLA-DQB1,Hsd3b4 (includes others),Ifi47,Iigp1,IL1B,LAMB1,LY6E,MTHFD1L,MVK,MYC,NPNT,PC,Pmaip1,POLR1A,RGS16,SHANK2,SNRNP70,SYNPO,TBC1D8,THBD,TNF,UBA7	186 (13)
SIRT6	 	enzyme	 	0.114	1.67E-03	2.00E-02	ACSL3,CIDEC,COL3A1,CYP2C18,G6PC,IL1B,LSS,NPNT,PIGA,TNF	98 (7)
MAT1A	1.352	enzyme	 	1.432	1.69E-03	2.00E-02	ACADL,ATP1B1,CYP4A11,Cyp4a14,GAMT,MAT1A	 
PRKCA	 	kinase	 	1.663	1.69E-03	2.00E-02	CXCL2,CXCL3,ID1,PRKCD,S100A8,TNF	128 (9)
IL5	 	cytokine	 	0.000	1.70E-03	2.00E-02	ALDOA,ATP1B1,BNIP3,CISH,CITED2,CRELD2,CRIP1,DENND11,GALK1,GCAT,GSTT2/GSTT2B,MYC,NDRG1,PIM1,PRDX4,SEMA4A,SLC39A8,TMEM97,XBP1,ZBTB32	 
Ccl2	 	cytokine	Activated	2.367	1.70E-03	2.00E-02	CCL3L3,Ccl9,CD14,CTSV,CXCL2,CXCL3,IL1B,ITGB3,KDR,KLF4,TNF	282 (17)
IFNB1	 	cytokine	 	-1.115	1.83E-03	2.14E-02	Cd24a,CDKN1A,CXCL2,CXCL3,F2R,FBLN2,GBP6,GPC4,HMGCS1,IDI1,Ifi47,IL18,IL1B,IRF1,LAMB1,MYC,NID2,PHLDB2,PTCH1,RND3,TNF,TNFSF10,TRIM6-TRIM34	207 (15)
PTEN	 	phosphatase	 	0.692	1.84E-03	2.14E-02	ACAA1,ACO2,ATF3,BRIP1,CA3,CA8,CALCRL,CDKN1A,CELSR1,CLDN1,COPS5,CTSV,CXCL2,DIABLO,EHHADH,FDPS,FOXA2,FZD6,GPR12,HADHA,HADHB,HMGCS1,IDH3A,IDI1,IGFBP2,IL1B,INMT,KDR,LHPP,LRAT,LSS,MME,MYC,PIK3R1,PIM1,PITX3,PTPRK,SOCS3,SREBF1,SUCLG1,TNF,VNN1	328 (14)
STAT5A	-0.533	transcription regulator	 	0.898	1.92E-03	2.23E-02	ATM,CASP3,CCL3L3,CDKN1A,CISH,GADD45A,ID2,KLF10,Klrk1,MYC,NOL3,PIM1,SOCS3,SREBF1,STAT5A,STAT5B,TNF,TNFRSF14,TRAF1,YWHAG,ZFP36	47 (2)
NR3C1	 	ligand-dependent nuclear receptor	 	-1.691	1.97E-03	2.27E-02	ADM,ANGPTL4,AQP1,AS3MT,BRD2,CCL3L3,CDKN1A,COL3A1,COMT,Cxcl11,DDIT4,DUSP1,FBXO30,G6PC,GYS2,HCAR2,HNF4A,Hsd3b4 (includes others),HSP90AB1,IDH1,IGFBP1,IL1A,IL1B,LIPC,OCLN,PC,PNPLA2,PTGR1,PYGL,TNF	177 (10)
OSMR	 	transmembrane receptor	 	 	1.98E-03	2.27E-02	BCL3,CISH,CXCL2,Ifi47,JAK2,JUNB,Mx2,PIM1,SOCS3,SREBF1,ZFP36	165 (11)
PLK2	-0.879	kinase	 	-0.378	1.98E-03	2.27E-02	ATM,CITED2,Cxcl11,Iigp1,IL1B,IRF1,Mx2	 
RAC2	 	enzyme	 	 	2.24E-03	2.50E-02	ALDOA,CCL3L3,Cd24a,CD74,IL1B,LDHA,NR4A1,TKT,ZYX	189 (6)
IL-1R	 	group	 	1.214	2.27E-03	2.50E-02	COL3A1,CXCL2,IL1A,IL1B,TNF	290 (15)
PTPRE	 	phosphatase	 	1.342	2.27E-03	2.50E-02	CXCL2,CXCL3,IL18,PLA1A,STAT5A	 
Cyp2c70	-2.946	enzyme	 	-0.651	2.27E-03	2.50E-02	CYP7A1,CYP8B1,HNF4A,IL1B,TNF	 
NFKBIB	 	transcription regulator	 	 	2.27E-03	2.50E-02	Casp12,DAPK1,IL1B,TNF,TNFSF10	60 (4)
TRIM21	 	enzyme	 	-0.418	2.27E-03	2.50E-02	GCLC,HMOX1,IL1B,TNF,TRIM6-TRIM34	 
PRMT5	 	enzyme	 	-0.816	2.27E-03	2.50E-02	CYCS,CYP7A1,CYP8B1,G6PC,Gm10053,SREBF1	21 (2)
MGLL	0.883	enzyme	 	-0.200	2.27E-03	2.50E-02	CPT1A,DGAT1,IL1A,PNPLA2,SREBF1,TNF	 
CLEC4E	 	other	 	1.773	2.27E-03	2.50E-02	CCL3L3,CPT1A,CXCL2,CXCL3,IL1B,TNF	120 (10)
ERN1	-0.821	kinase	Activated	2.557	2.39E-03	2.61E-02	ARF4,ATF3,ATP2A2,CYP1A2,DGAT1,G6PC,GOT1,IL1B,MLXIPL,MORF4L2,PIGA,SLC20A1,TNF,XBP1	243 (7)
CD38	 	enzyme	 	0.609	2.47E-03	2.69E-02	ALDOA,ATP1B1,BNIP3,CISH,CITED2,CRELD2,CRIP1,DENND11,GALK1,GCAT,GSTT2/GSTT2B,NDRG1,PIM1,PPP3CC,PRDX4,SEMA4A,SLC39A8,SOCS3,TMEM97,XBP1,ZBTB32	 
PLK4	 	kinase	 	-0.378	2.51E-03	2.72E-02	ATM,CITED2,Cxcl11,Iigp1,IL1B,IRF1,Mx2	 
CCDC88A	 	other	 	-1.964	2.56E-03	2.73E-02	CXCL3,IL1A,IL1B,TNF	 
HSPA9	 	other	 	0.000	2.56E-03	2.73E-02	CDKN1A,HES1,MYC,SESN2	 
NLRC4	 	other	 	 	2.56E-03	2.73E-02	CXCL2,CXCL3,IL18,IL1B	58 (4)
COCH	 	other	Activated	2.000	2.56E-03	2.73E-02	CXCL2,IL18,IL1B,TNF	 
EGR2	 	transcription regulator	 	-0.218	2.67E-03	2.83E-02	BHLHE40,ID2,ID3,IL1A,IL1B,MYC,PPP2CA,STAT5A,ZBTB16	224 (14)
NFKBIA	 	transcription regulator	Activated	2.449	2.86E-03	3.02E-02	CCL3L3,CD74,CXCL2,CXCL3,HES1,HLA-DQA1,IL1A,IL1B,Ly6a (includes others),NLRP12,S100A8,TNF	 
S100A8	2.008	other	Inhibited	-2.183	2.99E-03	3.13E-02	ARG2,CXCL2,CXCL3,HMOX1,IL1B,TNF	 
GRN	0.787	growth factor	 	-0.930	2.99E-03	3.13E-02	CASP3,CXCL2,GRN,IL1B,TNF,XBP1	103 (8)
SOST	 	other	 	-0.114	3.14E-03	3.27E-02	CCL3L3,CPT1A,HADHA,IL1B,MLXIPL,MOGAT1,SREBF1	 
PLAU	 	peptidase	 	0.664	3.16E-03	3.27E-02	CXCL3,HLA-DMA,IGFBP2,IL1B,PHLDA1,PLAUR,PLK3,S100A8,TNF	 
ATG7	 	enzyme	 	-0.457	3.16E-03	3.27E-02	ACAT1,ACLY,GSTM5,IL1B,MSR1,MYC,SOCS3,SREBF1,TEK,TNF	267 (16)
PRKCI	 	kinase	 	-1.406	3.20E-03	3.28E-02	CXCL2,CXCL3,FOXA2,IL1A,SREBF1	124 (8)
CXCL2	5.269	cytokine	 	1.953	3.20E-03	3.28E-02	CCL3L3,CXCL2,CXCL3,IL1B,TNF	264 (9)
MRTFB	 	transcription regulator	 	0.194	3.21E-03	3.28E-02	ACTG1,AMOTL2,CAVIN2,CEBPE,CNN2,F2R,FADS2,FLNA,GADD45A,GSTM5,LILRB4,MYL9,S100A8,SERPINE1,SLC20A1,TBXAS1	 
PSMB11	 	peptidase	 	-1.500	3.23E-03	3.28E-02	COL27A1,COL3A1,COL5A3,CTSV,CXCL3,CYB5B,ENPEP,GADD45A,GADD45B,HMOX1,HSPA1A/HSPA1B,Hspa1b,MT-ND6,NR4A1,OCLN,Pmaip1,TNFSF10,TRAF1	 
KCNE3	 	ion channel	 	 	3.24E-03	3.29E-02	APOLD1,CA8,CISH,CSRNP1,ERG28,HSPA1A/HSPA1B,KLF4,NR4A1,PHLDA1,PLK3,RDH16,Sik1	 
ZBTB10	 	other	 	-1.005	3.38E-03	3.31E-02	9930111J21Rik1/Gm12185,Bst2,CCL3L3,CD83,GBP3,GBP6,Ifi47,Iigp1,IL1B,IRF1,Klrk1,Mx2,OPTN,SAMHD1,SERINC5,SERPINE1,STAT5A,TNF,TNFRSF14,TRIM6-TRIM34	 
TPPP2	 	other	 	 	3.38E-03	3.31E-02	ATM,CDKN1A,RCAN1	 
CTSC	-0.634	peptidase	 	 	3.38E-03	3.31E-02	CXCL3,IL1B,TNF	58 (4)
ALDH3A2	 	enzyme	 	 	3.38E-03	3.31E-02	GCLC,GSTA5,HMOX1	 
CASP4	 	peptidase	 	 	3.38E-03	3.31E-02	IL18,IL1A,IL1B	111 (9)
AMBP	 	transporter	 	 	3.38E-03	3.31E-02	CXCL2,CXCL3,IL1B	43 (3)
Nisch	 	other	 	 	3.38E-03	3.31E-02	G6PC,MLXIPL,SREBF1	 
PRSS8	 	peptidase	 	 	3.38E-03	3.31E-02	IL1A,IL1B,OCLN	 
YAP/TAZ	 	group	 	 	3.38E-03	3.31E-02	HSP90AA1,HSPA1A/HSPA1B,HSPB1	 
NR1H3	 	ligand-dependent nuclear receptor	Inhibited	-2.504	3.45E-03	3.36E-02	ABCA2,ABCG5,ABCG8,ARG2,ATF3,Bst2,CCL3L3,CDKN1A,CTSC,Cxcl11,CXCL2,CYP7A1,DHRS9,FDFT1,FDPS,G6PC,Gsta4,GSTA5,GSTM5,IL1B,ITGB3,PTCH1,SLC16A10,SREBF1,TNF,TRIB1	195 (14)
APC	 	enzyme	 	-1.854	3.54E-03	3.44E-02	CDKN1A,CXCL2,CXCL3,FABP2,FH,HADHB,HES1,ID1,ID2,ID3,MDH2,MYC,OGDH,SUCLG1,TIAM1,TNF	236 (9)
Mek	 	group	 	0.963	3.59E-03	3.47E-02	CDKN1A,EPHA2,ID1,Ifi47,IL1B,IRF1,JUNB,TNF	195 (6)
CASR	 	G-protein coupled receptor	 	-0.243	3.72E-03	3.57E-02	CISH,CLIP1,DSG1,GADD45A,H2AZ1,Hmgn2 (includes others),ID1,IER3,LBH,ODC1,RNF144A,S100A8,SOCS3,THBD,TXNIP,WSB1,ZYX	 
YAP1	 	transcription regulator	 	0.707	3.73E-03	3.57E-02	ACTG1,AMOTL2,CASP3,CAVIN2,FLNA,GADD45A,LDHA,MYL9,SERPINE1	 
SMAD3	 	transcription regulator	 	-0.586	3.85E-03	3.66E-02	ALPL,BMP2,CCL3L3,CDKN1A,COL3A1,CXCL3,CYP1A1,CYP51A1,FDFT1,G6PC,HNF4A,IL1B,JUNB,Ly6a (includes others),MYC,POLE4,SERPINE1,TNF	287 (14)
Mt1	 	other	Inhibited	-2.219	3.86E-03	3.66E-02	ATF3,Gstt1,IL1B,MYC,SERPINE1,TNF	106 (6)
Mt2	 	other	Inhibited	-2.219	3.86E-03	3.66E-02	ATF3,Gstt1,IL1B,MYC,SERPINE1,TNF	106 (6)
TANK	 	other	 	1.890	3.88E-03	3.67E-02	ATM,Cxcl11,CXCL2,CXCL3,IL1A,NFKBIZ,PLA1A	178 (5)
NOD1	 	other	 	 	4.02E-03	3.77E-02	CXCL2,IL1A,IL1B,TNF	41 (3)
IL18R1	 	transmembrane receptor	 	0.000	4.02E-03	3.77E-02	CCL3L3,IL1A,SOCS3,TNF	91 (7)
LEF1	 	transcription regulator	 	-0.277	4.05E-03	3.78E-02	CD83,CHCHD10,GSAP,ID2,LONRF1,LYSMD2,MYC,NRN1,PHLDA1,PTCH1,SH3BGRL2,TIAM1,USP27X,YPEL2,ZC3H12D	 
IKBKG	 	kinase	 	-0.761	4.07E-03	3.79E-02	ATP2A2,BMP2,Ccl9,CXCL2,GBP3,GM2A,GRN,Gstt1,IL1A,IL1B,JUNB,NAGLU,NR6A1,RCAN1,RGS16,SOCS3,TNF	203 (9)
KAT2A	0.561	enzyme	 	1.265	4.24E-03	3.92E-02	CASP3,G6PC,GCLC,H2AZ1,HNRNPU,HSP90AA1,HSPD1,KAT2A,LDHA,NUDC	 
IL1A	1.071	cytokine	Activated	2.428	4.37E-03	4.00E-02	CXCL2,CXCL3,CYP17A1,CYP1A2,IL18,IL1B,NFKBIZ,S100A8,TNF	195 (7)
EZR	 	other	 	1.432	4.38E-03	4.00E-02	ATF3,DDIT4,IL1B,TNF,TRIB3	148 (6)
NT5E	 	phosphatase	 	-1.980	4.38E-03	4.00E-02	COL3A1,IL13RA1,IL1B,SERPINE1,TNF	15 (2)
PRKN	 	enzyme	 	-1.506	4.38E-03	4.00E-02	FUBP1,GLO1,IL1B,KDR,TNF	240 (8)
MXD1	 	transcription regulator	 	-1.732	4.67E-03	4.25E-02	ACO2,CIITA,COX10,ETFB,MARS2,MYBBP1A,MYCL,NOP14,NOP2,NOP56,TARS1,TOP1	 
Ige	 	complex	 	1.941	4.75E-03	4.29E-02	CCL3L3,Ccl9,CXCL2,IL1A,IL1B,MYC,TNF	293 (15)
BCL3	1.587	transcription regulator	 	-1.824	4.75E-03	4.29E-02	CXCL2,CXCL3,HLA-DQB1,IL1A,IL1B,NR4A1,TNF	253 (13)
JUNB	2.749	transcription regulator	 	-0.478	4.87E-03	4.38E-02	ACLY,ATF3,CCL3L3,CXCL2,CXCL3,FBLN2,ITGB3,PNPLA2,SYT1,TNF	 
KLF6	0.587	transcription regulator	Activated	2.207	4.91E-03	4.40E-02	CCL3L3,CDKN1A,IL1A,IL1B,PTCH1,TNF	 
ERK	 	group	 	1.782	5.09E-03	4.45E-02	CDKN1A,COL3A1,CYP1A1,HMOX1,IL1B,MYC,NFKBIZ,SORT1,TNF	335 (16)
GNAS	 	enzyme	 	1.000	5.09E-03	4.45E-02	ARL4D,ATF3,CDK2,CXCL2,EMD,G6PC,KLF4,NR4A1,PTCH1	 
MMP2	 	peptidase	 	 	5.10E-03	4.45E-02	ABCG5,ABCG8,ACO2,COL3A1,IL1B,INSIG1,MLXIPL,TNF	 
Actin	 	group	 	 	5.23E-03	4.45E-02	IL18,IL1B	 
NIPBL	 	transcription regulator	 	 	5.23E-03	4.45E-02	KLF4,POLE4	 
DCAF1	 	kinase	 	 	5.23E-03	4.45E-02	CDKN1A,Pmaip1	 
IKKA/B	 	group	 	 	5.23E-03	4.45E-02	IL1B,TNF	 
IRGM	 	enzyme	 	 	5.23E-03	4.45E-02	IL18,IL1B	 
E2F5	 	transcription regulator	 	 	5.23E-03	4.45E-02	DHFR,SERPINE1	 
CTSG	 	peptidase	 	 	5.23E-03	4.45E-02	IL1B,TNF	 
TWIST2	 	transcription regulator	 	 	5.23E-03	4.45E-02	IL1B,TNF	 
SLC7A11	 	transporter	 	 	5.23E-03	4.45E-02	IL1B,TNF	 
MXD3	 	transcription regulator	 	 	5.23E-03	4.45E-02	ID2,MYCN	 
CD300C	 	transmembrane receptor	 	 	5.23E-03	4.45E-02	CXCL2,TNF	41 (3)
CRTAP	 	other	 	 	5.23E-03	4.45E-02	CDKN1A,SERPINE1	 
GLI2	 	transcription regulator	 	 	5.57E-03	4.71E-02	CBFA2T3,CCL3L3,CXCL2,CXCL3,FOXA2,IL1B,MYCN,PTCH1,RCAN1,TNF	 
SCD	 	enzyme	 	-0.140	5.57E-03	4.71E-02	ACADL,ANGPTL4,CCL3L3,CPT1A,DGAT1,IL1B,PNPLA2,SLC27A1,SREBF1,TNF	257 (12)
ZBTB16	1.330	transcription regulator	 	-0.866	5.63E-03	4.74E-02	BACH2,BMP2,Cd24a,CD74,CD83,F2R,ID2,ID3,IL17RB,IL1A,KLHL6,Klrk1,Ly6a (includes others),NFKBIZ,TNF,ZBTB16	 
Rxr	 	group	 	 	5.76E-03	4.82E-02	GAS2,IL1A,IL1B,KDM6B,MYC,Neat1,SREBF1	 
CHUK	 	kinase	 	-0.704	5.77E-03	4.82E-02	BMP2,Ccl9,Cxcl11,CXCL2,CXCL3,GBP3,GM2A,GRN,Gstt1,IL1A,JUNB,NAGLU,NR6A1,RCAN1,RGS16,SOCS3,TNF	102 (7)
CFB	 	peptidase	 	0.651	5.84E-03	4.83E-02	CXCL2,CXCL3,IL1B,SREBF1,THBD	 
SENP1	 	peptidase	 	0.277	5.84E-03	4.83E-02	Ccl9,CYCS,IDH3A,MFN2,S100A8	 
SCP2	 	transporter	 	-1.342	5.84E-03	4.83E-02	ACAA1,AKR1C4,CYP7A1,PDZK1IP1,Slco1a1	 
mir-155	 	microRNA	 	-1.943	5.90E-03	4.86E-02	ARG2,Cxcl11,DNAJB1,HMOX1,IL1B,SOCS3,TNF,WEE1,ZNF652	188 (13)
LECT2	-1.045	other	 	-0.343	5.96E-03	4.89E-02	CCL3L3,CXCL3,IL1B,TNF	101 (8)
COL2A1	 	other	 	 	5.96E-03	4.89E-02	COL3A1,IL1B,TNF,XBP1	 
Ciap	 	group	 	-1.406	6.16E-03	4.98E-02	CCL3L3,CXCL2,IL1A,IL1B,MYC,TNF	234 (9)
LPIN1	 	phosphatase	 	0.254	6.16E-03	4.98E-02	ACADM,CPT1A,DGAT1,FDPS,IL1B,TNF	188 (6)
SFRP1	 	transmembrane receptor	 	1.664	6.16E-03	4.98E-02	ACLY,CASP3,G6PC,MLXIPL,SERPINE1,SREBF1	 
CYP3A	 	group	 	 	6.40E-03	4.98E-02	CYP7A1,CYP8B1,HMGCS1	 
TLR8	 	transmembrane receptor	 	 	6.40E-03	4.98E-02	CXCL2,IL1B,TNF	147 (6)
CERS2	 	transcription regulator	 	 	6.40E-03	4.98E-02	CDKN1A,GSTA5,Gstm3	 
HSPB1	2.152	other	 	 	6.40E-03	4.98E-02	CDKN1A,CXCL2,CXCL3	 
mir-873	 	microRNA	 	 	6.40E-03	4.98E-02	CXCL3,TNF,TNFAIP3	 
PIAS4	 	transcription regulator	 	 	6.40E-03	4.98E-02	CXCL2,IL1B,IRF1	 
MARCO	 	transmembrane receptor	 	 	6.40E-03	4.98E-02	CXCL3,IL1B,TNF	121 (9)
CLIC4	 	ion channel	 	 	6.40E-03	4.98E-02	CXCL2,IL1B,TNF	 
S1PR1	 	G-protein coupled receptor	 	 	6.40E-03	4.98E-02	IL1A,NLRP3,TNF	 
ENTPD1	 	enzyme	 	 	6.40E-03	4.98E-02	CXCL2,CXCL3,TNF	58 (4)
ATF5	0.843	transcription regulator	 	 	6.40E-03	4.98E-02	GAS5,Pmaip1,TXNIP	 
PILRA	-0.881	other	 	 	6.40E-03	4.98E-02	CXCL2,IL1B,TNF	 
OBP2B	 	transporter	 	 	6.40E-03	4.98E-02	CPT1A,MLXIPL,SREBF1	 
LIF	 	cytokine	 	0.814	6.44E-03	4.99E-02	CCL3L3,CXCL2,CYP17A1,FOXA2,IL1B,IRF1,KLF10,MYC,RHOU,SOCS3,TNF,TSPAN7,XBP1	191 (15)
Vegf	 	group	 	-1.212	6.56E-03	5.07E-02	Acaa1b,Acot1,ACOT2,Akr1c14,CLDN1,EHHADH,GJB2,INHBB,LRAT,MYCN,PC,SLC27A1	 
Alpha catenin	 	group	Inhibited	-2.035	6.71E-03	5.17E-02	ADAMTS4,BCL3,COL3A1,CTSV,CXCL2,IGFBP1,IGFBP2,IL1B,IRF1,NFKBIZ,S100A8,SOCS3,TNF,TNFAIP3,TSPAN8,ZYX	 
NKX3-1	 	transcription regulator	 	 	6.80E-03	5.21E-02	CA3,CA8,CTSV,FKBP5,MYC,PIK3R1,PIM1,PTPRK,VNN1	 
PF4	 	cytokine	 	1.000	6.80E-03	5.21E-02	FOXA2,IL1B,IRF1,KLF4,MYCN,NFKBIZ,Rfx5,TNF,TNFAIP3	 
STAT2	 	transcription regulator	 	 	6.93E-03	5.28E-02	CIITA,GBP6,Ifi47,Iigp1,IRF1,SOCS3,TNF	164 (10)
IFIH1	 	enzyme	 	0.088	6.93E-03	5.28E-02	Bst2,CISH,CXCL2,Ly6a (includes others),PHLDA1,RND3,TNF	104 (9)
OPA1	 	enzyme	Inhibited	-2.213	7.61E-03	5.69E-02	IL1B,NLRP3,S100A8,TNF,XBP1	60 (4)
