© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
ICAM1	1.599	transmembrane receptor	 	1.951	 	5.62E-04	5.02E-03	CXCL2,ICAM1,IL1B,TNF,VEGFA	77 (11)
TIRAP	0.554	other	Activated	2.175	bias	5.62E-04	5.02E-03	CXCL10,CXCL2,CXCL3,ICAM1,TNF	116 (13)
ACE2	 	peptidase	Inhibited	-2.236	bias	5.62E-04	5.02E-03	Ccl2,CXCL3,IL1B,SERPINE1,TNF	84 (8)
CDKN1A	 	kinase	 	-1.929	 	5.67E-04	5.04E-03	CCL3L3,CCND1,CCNE1,CXCL2,CXCL3,E2F2,E2F4,EIF2S1,GADD45A,H2AX,NFKBIA	133 (11)
C3AR1	 	G-protein coupled receptor	 	-0.447	 	5.91E-04	5.22E-03	CASP4,Ccl2,CCL3L3,CXCL10,IL1B,SERPINE1,TNF	163 (14)
PAK2	 	kinase	 	-1.134	 	5.91E-04	5.22E-03	DUSP1,GADD45A,H2AX,ID1,ID3,PLAUR,PROX1	 
STING1	 	other	 	1.600	bias	6.39E-04	5.62E-03	CCL3L3,CXCL10,CXCL2,GAS7,GBP5,HSPA5,IL1B,RGS16,TNF	101 (13)
FCGR2B	 	transmembrane receptor	 	1.501	 	6.54E-04	5.69E-03	ACOD1,CXCL10,ICAM1,SOCS3,TNF,VEGFA	117 (14)
F2RL1	 	G-protein coupled receptor	 	0.766	bias	6.54E-04	5.69E-03	CCN2,CXCL2,GBP6,IL1B,PELI1,TNF	75 (11)
PLK2	 	kinase	 	0.816	bias	6.54E-04	5.69E-03	CXCL10,Cxcl11,IL1B,IRF1,Mx2,RGS1	 
ITGB2	 	transmembrane receptor	 	-1.091	 	7.07E-04	6.06E-03	Ccl2,CXCL10,CXCL2,CXCL3,HES1,TNF,VEGFA	123 (13)
PIN1	 	enzyme	Activated	2.577	 	7.07E-04	6.06E-03	ATF4,CCND1,HES1,HSPA5,IL1B,PPARGC1A,XBP1	70 (4)
C5	 	cytokine	 	-1.109	 	7.07E-04	6.06E-03	APCS,Ccl2,CCL3L3,CXCL2,F3,IL1B,TNF	106 (15)
CTSC	0.636	peptidase	 	 	 	7.25E-04	6.06E-03	CXCL3,IL1B,TNF	68 (8)
PSMB9	 	peptidase	 	 	 	7.25E-04	6.06E-03	NFKBIA,RELB,TNFAIP3	 
MC3R	 	G-protein coupled receptor	 	 	 	7.25E-04	6.06E-03	Ccl2,HMOX1,TNF	65 (8)
Orm1 (includes others)	 	other	 	 	 	7.25E-04	6.06E-03	Ccl2,IL1B,TNF	 
PAK1	 	kinase	 	 	 	7.25E-04	6.06E-03	F3,FBXO32,HES1	 
TKT	 	enzyme	 	 	 	7.25E-04	6.06E-03	H2AX,STAT3,TNF	 
CAPN1	 	peptidase	 	 	 	7.25E-04	6.06E-03	Ccl2,PTPN1,TNF	101 (10)
Muc1	 	transmembrane receptor	 	 	 	7.25E-04	6.06E-03	CCND1,CXCL2,TNF	62 (8)
SOCS6	 	other	 	1.342	 	7.51E-04	6.24E-03	CEBPD,CXCL2,CXCL3,IL1B,TNF	 
ARRB1	 	transcription regulator	 	 	 	7.51E-04	6.24E-03	Ccl2,F3,JUNB,SERPINE1,TNF	110 (15)
NR3C2	 	ligand-dependent nuclear receptor	 	1.616	bias	7.60E-04	6.28E-03	Ccl2,CCL3L3,CCN2,CXCR4,IL1B,SERPINE1,SGK1,TNF	85 (7)
NPC1	-0.813	transporter	 	0.169	 	7.78E-04	6.41E-03	ATF4,CCL3L3,CCND1,CYP7A1,MYLIP,NPC1,S100A8,S100A9,STAT3,TNF,XBP1	129 (12)
CHRNA7	 	transmembrane receptor	Inhibited	-2.407	 	8.11E-04	6.64E-03	Ccl2,CXCL10,CXCL2,CXCL3,IL1B,TNF	 
PLK4	 	kinase	 	0.816	bias	8.11E-04	6.64E-03	CXCL10,Cxcl11,IL1B,IRF1,Mx2,RGS1	46 (4)
SASH1	 	other	Activated	2.530	bias	8.25E-04	6.72E-03	ARID5A,CXCL10,Cxcl11,DAXX,IRF1,Mx2,NFKBIZ,PELI1,STAT2,TNF	 
Traj18	 	other	 	-1.961	 	8.53E-04	6.85E-03	Ccl2,CXCL2,CXCL3,TNF	89 (13)
CRY2	 	enzyme	 	1.091	 	8.53E-04	6.85E-03	IL1B,PCK1,PER2,SGK1	 
CTSB	 	peptidase	 	1.953	bias	8.53E-04	6.85E-03	CXCL2,CXCL3,IL1B,TNF	57 (13)
CCL3L3	4.701	cytokine	 	 	 	8.53E-04	6.85E-03	Ccl2,CXCL10,IL1B,TNF	 
Irgm1	 	other	Inhibited	-2.906	bias	8.55E-04	6.85E-03	Ccl2,CXCL10,Cxcl11,GBP5,GBP6,ID2,ID3,IL1B,IRF1,Mx2,TLR2,TNF	94 (15)
NR0B2	 	ligand-dependent nuclear receptor	 	-0.989	bias	8.61E-04	6.86E-03	Ccl2,CYP2B6,CYP7A1,G6PC,HNF4A,IL1B,LY6D,PPARGC1A,TLR2,TNF,TNFAIP3	87 (8)
TBK1	 	kinase	 	1.691	 	8.61E-04	6.86E-03	ACOD1,CCL3L3,CXCL10,Cxcl11,CXCL2,CXCL3,ICAM1,Mx2,NFKBIZ,TLR2,TNF	134 (15)
NR1H4	 	ligand-dependent nuclear receptor	 	-1.595	 	8.92E-04	7.08E-03	Ccl2,CCNE1,CEBPB,CYP2B6,CYP7A1,G6PC,HNF4A,HSPA5,IL1B,PCK1,PPARGC1A,S1PR1,TNF	126 (17)
NOTCH1	 	transcription regulator	 	1.024	 	9.22E-04	7.29E-03	BMP2,CCNE1,CDCA7,CEBPD,CXCR4,HES1,RELB,RND3,TNF,VEGFA	 
PARP1	 	enzyme	Activated	2.454	 	9.38E-04	7.39E-03	Ccl2,CCND1,CXCL10,CXCL3,GBP6,HMOX1,ICAM1,IL1B,TNF	157 (17)
RUNX1	 	transcription regulator	Activated	2.213	 	9.73E-04	7.64E-03	ATF4,CCND1,GNL3,ID2,IL1B,MYBBP1A,NOC4L,NOP2,PIK3R1,PPAN,RRP15,RRP9,SLC4A1,STAT3	 
MEX3A	 	other	Activated	2.646	 	9.93E-04	7.75E-03	ANGPTL4,CCND1,FZD7,PCK1,PDK4,PPARGC1A,TUBA1A	 
MMP2	 	peptidase	 	 	 	9.93E-04	7.75E-03	Ccl2,CEBPB,IL1B,INSIG2,PDK4,PPARGC1A,TNF	 
MIF	 	cytokine	Activated	2.145	 	1.03E-03	8.00E-03	Ccl2,CCND1,CXCL2,CXCL3,CXCR4,DUSP1,ICAM1,IL17RA,IL1B,TNF	146 (16)
TCR	 	complex	Activated	2.769	bias	1.05E-03	8.12E-03	CCND1,CCNE1,CISH,HSPA5,ID3,JUNB,NAB2,SOCS2,STAT3,TNF,ZBTB7B	169 (20)
CREB1	 	transcription regulator	 	1.424	bias	1.05E-03	8.12E-03	ATF3,CEBPB,IRS2,JUNB,MIDN,MKNK2,NAB2,PPARGC1A,SERTAD1,TIPARP,VEGFA	12 (2)
NFKB1	 	transcription regulator	 	0.784	 	1.12E-03	8.64E-03	BMP2,Ccl2,CCL3L3,CSF1,CXCL10,CXCL3,GADD45A,HMOX1,IL1B,IRF1,TLR2,TNF	142 (15)
PTGS2	 	enzyme	 	1.751	 	1.14E-03	8.78E-03	Ccl2,CCL3L3,CXCL10,CXCL3,DUSP1,IL1B,Pde4d,PTGER2,TNF,VEGFA	130 (14)
NFAT5	 	transcription regulator	 	0.164	 	1.16E-03	8.87E-03	Ccl2,DAXX,F3,Hspa1b,IRF1,Mx2,SLC7A2,TNF	66 (8)
Jnk	 	group	 	1.342	 	1.19E-03	9.10E-03	CCND1,CCNE1,CXCL3,DUSP1,FBXO32,HNF4A,IL1B,SOCS3,TNF	124 (15)
ATF2	 	transcription regulator	 	 	 	1.21E-03	9.20E-03	ATF3,CCND1,DUSP1,GADD45A,PPARGC1A,TNF	 
SOX2	 	transcription regulator	 	-0.156	 	1.23E-03	9.22E-03	ABTB2,AQP4,ATF3,CCN2,CCND1,CXCR4,Elf5,ETS2,FOXA2,GATA4,GCK,GPR17,ID3,KRT19,MFSD2A,MYD88,PIK3R1,RASGEF1B,RCAN1,RNF43,SS18,TBX3,TEC,TMEM63A	 
MFN2	 	enzyme	Inhibited	-2.000	bias	1.24E-03	9.22E-03	ATF4,IL1B,TNF,XBP1	136 (16)
STAP2	 	other	 	1.103	 	1.24E-03	9.22E-03	APCS,CXCL2,CXCR4,TNF	74 (4)
YWHAZ	 	enzyme	 	-1.964	 	1.24E-03	9.22E-03	ATF4,CXCL2,HSPA5,XBP1	 
PER1	 	transcription regulator	 	-0.831	 	1.24E-03	9.22E-03	CCND1,CCNE1,PER2,SLC12A3	 
CCL11	 	cytokine	 	1.951	bias	1.24E-03	9.22E-03	CCL3L3,CXCL3,IL1B,TNF	54 (7)
CDKN2A	 	transcription regulator	 	1.043	 	1.24E-03	9.24E-03	Ccl2,CCL3L3,CCND1,CEBPB,CEBPD,CXCL10,Cxcl11,H2AX,IL1B,TNF,TNFRSF1A,TNFRSF1B,VEGFA	146 (17)
AHR	 	ligand-dependent nuclear receptor	 	1.287	 	1.25E-03	9.28E-03	B4GALT5,CCNE1,CCNF,CERS6,CXCL10,CYP2B6,FZD7,GADD45A,HES1,IGFBP1,IL1B,INSIG2,JUNB,PCK1,SAA1,SERPINE1,SHB,SLC16A5,SOCS3,STAT3,STEAP4,TIPARP,TNF,UGCG,VEGFA	150 (16)
NFE2L2	 	transcription regulator	 	1.410	 	1.26E-03	9.29E-03	ACTG1,ALAS1,APCS,ARHGEF3,ATF3,Ccl2,CDC34,CHORDC1,CXCL10,CXCL2,CXCL3,DYNLL1,EIF2S1,FOXO3,HMOX1,HSP90AA1,ICAM1,IL1B,MORF4L2,PPARGC1A,RARS1,RRS1,SAA1,SLC7A11,SOCS3,STIP1,TNF,VEGFA,XBP1	171 (17)
TLR5	 	transmembrane receptor	Activated	2.197	bias	1.27E-03	9.30E-03	Ccl2,CXCL2,CXCL3,ICAM1,TNF	114 (12)
SYK	 	kinase	Activated	2.219	bias	1.27E-03	9.30E-03	ARID5A,CXCL10,Cxcl11,IL1B,THPO	90 (14)
IL18	 	cytokine	Activated	2.587	 	1.32E-03	9.69E-03	Ccl2,CCL3L3,CXCL10,CXCL3,ICAM1,IL1B,TNF,VEGFA	148 (16)
mir-223	 	microRNA	 	0.227	 	1.35E-03	9.82E-03	CCND1,CCNE1,CSF1,FOXO1,FOXO3,ID2,IL1B,MREG,NLRP3,PRTN3,RIPK1,S100A9,TOB1	 
PNPLA8	 	enzyme	 	 	 	1.40E-03	9.91E-03	FBXO32,HMOX1,HSPA5	 
MARCHF2	 	enzyme	 	 	 	1.40E-03	9.91E-03	CXCL10,IL1B,TNF	67 (11)
HSPB1	 	other	 	 	 	1.40E-03	9.91E-03	Ccl2,CXCL2,CXCL3	48 (5)
FSTL1	 	other	 	 	 	1.40E-03	9.91E-03	Ccl2,IL1B,NLRP3	 
PIAS4	 	transcription regulator	 	 	 	1.40E-03	9.91E-03	CXCL2,IL1B,IRF1	73 (4)
MARCO	 	transmembrane receptor	 	 	 	1.40E-03	9.91E-03	CXCL3,IL1B,TNF	101 (13)
ARF6	 	transporter	 	 	 	1.40E-03	9.91E-03	IL1B,TNF,UGCG	106 (10)
CLIC4	 	ion channel	 	 	 	1.40E-03	9.91E-03	CXCL2,IL1B,TNF	66 (10)
GJA8	 	transporter	 	 	 	1.40E-03	9.91E-03	ATF4,IRS2,TRIB3	 
ENTPD1	 	enzyme	 	 	 	1.40E-03	9.91E-03	CXCL2,CXCL3,TNF	51 (8)
Clec2d (includes others)	 	transmembrane receptor	 	 	 	1.40E-03	9.91E-03	CXCL10,CXCL2,TNF	 
RORC	 	ligand-dependent nuclear receptor	 	 	 	1.42E-03	1.00E-02	CISH,CYP2B6,G6PC,IGFBP1,IL1B,KCNK5,LPIN2,LRTM1,NLRP3,PCK1,S100A8,S100A9,SLC15A4,Slco1a4	 
HNF1A	 	transcription regulator	Activated	2.307	bias	1.44E-03	1.01E-02	ANKS4B,APCS,ATP7A,CYP7A1,FOXA2,FOXA3,GCK,HCAR2,HNF4A,IGFBP1,ONECUT1,RNF186,SERPINA10,SLC10A2,SLC7A2,Slco1a4,TAT	35 (2)
EZH2	 	transcription regulator	 	0.863	 	1.45E-03	1.01E-02	BMP2,Ccl2,CCND1,CCNE1,CXCL10,PER2,S100A8,S100A9,SOCS3,TNF,TRAF6,VEGFA	35 (6)
MRTFA	 	transcription regulator	 	0.102	 	1.46E-03	1.01E-02	ACTG1,CAVIN2,CBFB,CCN2,CXCR4,GADD45A,ICAM1,PRTN3,S100A8,S100A9,SERPINE1,SLC20A1,Tpm4	 
FECH	 	enzyme	 	 	 	1.46E-03	1.01E-02	ALAS1,Ccl2,CCND1,CYP2B6,CYP7A1,HMOX1	 
MARK2	 	kinase	Activated	2.449	bias	1.46E-03	1.01E-02	Cxcl11,CXCL2,CXCL3,IRF1,NFKBIZ,TNF	114 (11)
KRT17	 	other	Activated	2.449	 	1.46E-03	1.01E-02	CCL3L3,CXCL10,CXCL2,CXCL3,IL1B,TNF	 
MRTFB	 	transcription regulator	 	-0.333	 	1.58E-03	1.09E-02	ACTG1,CAVIN2,CBFB,CCN2,CXCR4,GADD45A,PRTN3,S100A8,S100A9,SERPINE1,SLC20A1,Tpm4	 
PLIN5	 	other	 	0.105	 	1.58E-03	1.09E-02	ABHD5,ATF4,HMOX1,IL1B,PDK4,PPARGC1A,TNF	96 (9)
PRKCE	 	kinase	 	1.387	bias	1.60E-03	1.10E-02	CEBPB,IL1B,JUNB,ODC1,TNF	147 (17)
GRN	 	growth factor	Inhibited	-2.057	bias	1.60E-03	1.10E-02	Ccl2,CXCL2,IL1B,TNF,XBP1	88 (13)
CREM	 	transcription regulator	 	1.281	bias	1.68E-03	1.14E-02	ATF3,CEBPB,IRS2,JUNB,MIDN,MKNK2,NAB2,SERTAD1,TIPARP,TNF,VEGFA	 
SULF2	 	enzyme	 	 	 	1.73E-03	1.16E-02	CCND1,PIM1,SOCS2,SOCS3	 
TNFAIP8L2	 	other	 	-1.969	 	1.73E-03	1.16E-02	Ccl2,CXCL2,IL1B,TNF	121 (17)
PLA2G2D	 	enzyme	Inhibited	-2.000	 	1.73E-03	1.16E-02	Ccl2,IL1B,S100A9,TNF	64 (7)
EPHX2	 	enzyme	 	0.747	 	1.73E-03	1.16E-02	Ccl2,HES1,ICAM1,IL1B	68 (13)
RPL22	 	translation regulator	 	-1.982	bias	1.73E-03	1.16E-02	ATF3,ATF4,HSPA5,XBP1	 
CCR6	 	G-protein coupled receptor	 	1.000	bias	1.73E-03	1.16E-02	Ccl2,CCL3L3,CXCL10,TNF	54 (8)
CEBPD	-0.926	transcription regulator	 	0.632	 	1.74E-03	1.16E-02	CCL3L3,CCND1,CEBPB,CXCL3,CXCR4,TNF	 
KITLG	 	growth factor	 	1.033	 	1.74E-03	1.16E-02	Ccl2,CSF1,IL1B,PIM1,PRTN3,TNF	149 (20)
LRP5	 	transmembrane receptor	 	-1.720	 	1.74E-03	1.16E-02	FOXA2,GCK,HNF4A,IL1B,IRS2,TNF	57 (7)
CPT1B	 	enzyme	 	1.058	 	1.79E-03	1.16E-02	ANGPTL4,CBLB,FOXO1,GCK,IRS2,MKNK2,NDUFS6,NFKBIA,PCK1,PDK4,PIK3R1,PPARGC1A,PRKAB1,PTPN1,SH2B2,SOCS2,SOCS3,TRIP10,TSC1	 
IKKA/B	 	group	 	 	 	1.82E-03	1.16E-02	IL1B,TNF	72 (4)
MDK	 	growth factor	 	 	 	1.82E-03	1.16E-02	Ccl2,CXCL3	90 (11)
CTSG	 	peptidase	 	 	 	1.82E-03	1.16E-02	IL1B,TNF	26 (6)
IL24	 	cytokine	 	 	 	1.82E-03	1.16E-02	Ccl2,HSPA5	 
TWIST2	 	transcription regulator	 	 	 	1.82E-03	1.16E-02	IL1B,TNF	 
SLC7A11	0.577	transporter	 	 	 	1.82E-03	1.16E-02	IL1B,TNF	 
PAGR1	 	other	 	 	 	1.82E-03	1.16E-02	CEBPB,CEBPD	98 (4)
GNPAT	 	enzyme	 	 	 	1.82E-03	1.16E-02	Ccl2,IL1B	 
ITPR3	 	ion channel	 	 	 	1.82E-03	1.16E-02	G6PC,PCK1	 
CSTB	 	peptidase	 	 	 	1.82E-03	1.16E-02	CASP4,IL1B	50 (6)
CD300C	 	transmembrane receptor	 	 	 	1.82E-03	1.16E-02	CXCL2,TNF	41 (6)
TIGAR	1.034	enzyme	 	 	 	1.82E-03	1.16E-02	Ccl2,TNFAIP3	 
DEK	 	transcription regulator	 	 	 	1.82E-03	1.16E-02	Ccl2,NFKBIA	84 (7)
CARHSP1	 	transcription regulator	 	 	 	1.82E-03	1.16E-02	G6PC,PCK1	 
IKBKE	 	kinase	 	-1.134	 	1.83E-03	1.16E-02	ACOD1,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL2,TNF	115 (14)
IFNB1	 	cytokine	 	-0.123	 	1.89E-03	1.20E-02	ACOD1,Ccl2,Cd24a,CXCL10,CXCL2,CXCL3,DAXX,GBP5,GBP6,IL1B,IRF1,PDK4,RND3,SLC39A14,STAT2,TNF	122 (13)
C5AR1	 	G-protein coupled receptor	Activated	2.789	 	1.93E-03	1.22E-02	Ccl2,CXCL2,CXCL3,EIF2AK3,HSPA5,IL1B,SERPINE1,TNF	54 (10)
CYP1A1	 	enzyme	 	1.414	 	2.00E-03	1.26E-02	CCND1,CYP2B6,ETHE1,KRT19,LMNB2,ODC1,PWP1,RGS16,SOCS2,ST3GAL4,WEE1	 
STAT2	0.503	transcription regulator	 	0.900	 	2.07E-03	1.30E-02	Ccl2,CXCL10,GBP6,IRF1,SOCS3,TNF	144 (12)
mir-8	 	microRNA	 	-0.148	bias	2.09E-03	1.30E-02	ATF3,CCND1,CCNG2,CDC25A,MAP3K1,OCLN,ROCK2,TOB1,XBP1,ZFP36	 
SMAD4	 	transcription regulator	 	-1.654	 	2.09E-03	1.30E-02	BMP2,CBFB,Ccl2,CCND1,ICAM1,ID2,IL1B,KLF15,NFKBIA,TNF	119 (11)
EBF1	 	transcription regulator	 	0.611	bias	2.13E-03	1.33E-02	CBLB,CEBPB,CXCL10,FOXO1,G6PC,IRF1,MKNK2,MYD88,PIK3R1,PPARGC1A,PTPN1,SOCS3,TLR2	49 (5)
PHLPP1	 	enzyme	 	0.000	 	2.33E-03	1.41E-02	CEBPD,CXCL2,CXCL3,FOXO1	 
ADRB3	 	G-protein coupled receptor	 	0.940	 	2.33E-03	1.41E-02	Ccl2,IL1B,PPARGC1A,TNF	81 (12)
RETN	 	other	 	 	 	2.33E-03	1.41E-02	G6PC,SOCS3,STAT3,TNF	 
NFKBIB	 	transcription regulator	 	 	 	2.33E-03	1.41E-02	IL1B,NFKBIA,TNF,TP53INP1	120 (11)
C5AR2	 	G-protein coupled receptor	 	-0.865	 	2.33E-03	1.41E-02	Ccl2,CXCL2,CXCL3,IL1B	75 (13)
TRIM21	 	enzyme	 	-1.980	bias	2.33E-03	1.41E-02	CXCL10,HMOX1,IL1B,TNF	82 (6)
ANKRD42	 	transcription regulator	 	 	 	2.38E-03	1.41E-02	CXCL3,IL1B,TNF	 
SARM1	 	transmembrane receptor	 	 	 	2.38E-03	1.41E-02	Ccl2,CCL3L3,TNF	 
GPBAR1	 	G-protein coupled receptor	 	 	 	2.38E-03	1.41E-02	Ccl2,IL1B,TNF	 
S100B	 	other	 	 	 	2.38E-03	1.41E-02	Ccl2,IL1B,TNF	 
PTPRB	 	phosphatase	 	 	 	2.38E-03	1.41E-02	CCN2,FOXO1,NPHS1	 
miR-17-5p (and other miRNAs w/seed AAAGUGC)	 	mature microRNA	 	 	 	2.38E-03	1.41E-02	CCND1,CCNE1,STAT3	 
miR-92a-3p (and other miRNAs w/seed AUUGCAC)	 	mature microRNA	 	 	 	2.38E-03	1.41E-02	CCND1,CCNE1,TNF	35 (4)
ING4	 	transcription regulator	 	 	 	2.38E-03	1.41E-02	Ccl2,CXCL10,NFKBIA	115 (12)
C6	 	other	 	 	 	2.38E-03	1.41E-02	Ccl2,IL1B,TNF	 
DGKZ	 	kinase	 	 	 	2.38E-03	1.41E-02	CCND1,IL1B,TNF	149 (16)
TNFRSF12A	 	transmembrane receptor	 	 	 	2.38E-03	1.41E-02	Ccl2,CXCL10,PPARGC1A	72 (4)
SFTPA1	 	transporter	 	 	 	2.38E-03	1.41E-02	CXCL3,SH3PXD2A,TNF	 
SDC1	 	enzyme	 	 	 	2.38E-03	1.41E-02	Ccl2,CXCL2,CXCL3	69 (10)
EPO	 	cytokine	 	 	 	2.38E-03	1.41E-02	SLC4A1,SOCS3,TFRC	 
TREM2	 	transmembrane receptor	 	-0.091	 	2.42E-03	1.43E-02	Ccl2,CCL3L3,CXCL2,IL1B,NFKBIA,TNF,TNFAIP3	71 (9)
RGS10	 	enzyme	 	 	 	2.45E-03	1.44E-02	CCL3L3,CXCL10,Cxcl11,CXCL2,IL1B,TNF,TNFRSF1A,TNFRSF1B	109 (15)
HSP90B1	 	other	 	1.410	 	2.47E-03	1.45E-02	HSPA5,IL1B,TLR2,TNF,XBP1	56 (7)
UCP1	 	transporter	 	-0.246	 	2.63E-03	1.54E-02	AMD1,ATF4,Cd24a,CEBPG,CXCL10,FBXO32,GADD45A,IL1B,ODC1,OTUB2,PCK1,SLC41A1,SRM,TNF,TRIB3	 
mir-21	 	microRNA	Inhibited	-2.514	 	2.64E-03	1.55E-02	CASP4,CCL3L3,CXCL10,GBP5,GBP6,IRF1,NLRP3,NPAS2,PER2,STAT2,TGM1,TLR2,TNF	85 (9)
G protein alphai	 	group	Activated	2.345	bias	2.83E-03	1.65E-02	ATF3,CEBPD,CXCL10,FOSL2,GBP5,GBP6,RAB20,SOCS3,TGM1	 
CD40	 	transmembrane receptor	 	1.074	 	3.00E-03	1.75E-02	ATF4,Ccl2,CCND1,CXCL10,HSPA5,IL1B,PIM1,SYVN1,TNF,XBP1	144 (18)
NR4A3	 	ligand-dependent nuclear receptor	 	-0.581	 	3.01E-03	1.75E-02	CCND1,FOXA2,FOXO1,IKZF4,PPARGC1A	 
PEBP1	 	other	 	0.668	 	3.08E-03	1.77E-02	Ccl2,CXCL2,CXCL3,TNF	132 (17)
mir-10	 	microRNA	 	1.103	 	3.08E-03	1.77E-02	IL1B,MYD88,SYVN1,TNF	64 (7)
BACH1	 	transcription regulator	 	-0.293	bias	3.08E-03	1.77E-02	CEBPB,DUSP1,HMOX1,SLC7A11	 
Ptgs2os2	 	other	 	0.000	 	3.08E-03	1.77E-02	Ccl2,CXCL10,EIF2AK3,PELI1	 
ERK	 	group	Activated	2.619	 	3.14E-03	1.79E-02	Ccl2,CCND1,CCNE1,HMOX1,IL1B,NFKBIZ,TNF	117 (14)
GNAS	 	enzyme	 	-0.378	 	3.14E-03	1.79E-02	ARL4D,ATF3,CXCL2,FOSL2,G6PC,PPARGC1A,RASD1	 
OGT	 	enzyme	 	-1.947	 	3.14E-03	1.79E-02	Ccl2,CCND1,CXCL2,CXCL3,IL1B,RGS16,TNF	93 (9)
TP53	 	transcription regulator	Inhibited	-3.197	 	3.17E-03	1.80E-02	ADRA1A,ATF3,BOK,BTG1,Ccl2,CCL3L3,CCN2,CCNG2,CELSR1,CSF1,CXCL10,CXCL2,CXCL3,DDIT4,DNAJB5,DNAJC12,DUSP1,EIF2AK3,FLRT2,FOXA2,FOXO1,FOXO3,GADD45A,GATA4,GPR17,GTF2H1,H2AX,HMOX1,HSP90AA1,HSPA5,HSPH1,ID1,ID2,ID3,IER3,IER5,IL17RA,IL1B,KPNA2,MAFB,NDUFS6,PIK3R1,PPARGC1A,PRKAB1,RGS12,Rpl34 (includes others),SERPINE1,SESN2,SGK1,STAT3,STIP1,TBX3,TFRC,TIGAR,TIMM10,TNF,TNFRSF1A,TNFRSF1B,TOB1,TP53INP1,Tpm4,TRIB3,TSC22D3,TSKU,UNG,VEGFA	129 (15)
Histone h3	 	group	 	 	 	3.17E-03	1.80E-02	ADRA1A,Ccl2,CCNE1,FOXA2,GATA4,HES1,HNF4A,ID2,IKZF4,IL1B,PPARGC1A,S100A8,S100A9,SLC16A6,SOCS3,TBX3,TNFAIP3,Tpm4,VEGFA	 
IRF3	 	transcription regulator	Activated	2.632	bias	3.19E-03	1.81E-02	Ccl2,CCL3L3,CXCL10,Cxcl11,DAXX,GBP5,ICAM1,IL1B,IRF1,Mx2,STAT2,TNF	94 (14)
IL13	 	cytokine	 	1.516	 	3.28E-03	1.85E-02	Ccl2,CCL3L3,CXCL2,CXCL3,IL1B,PPARGC1A,TFRC,TNF,TNFRSF1A,TNFRSF1B	118 (16)
SIRT6	 	enzyme	 	-0.651	bias	3.55E-03	2.00E-02	AACS,Ccl2,G6PC,IL1B,PIGA,PPARGC1A,TNF	144 (17)
NR1H2	 	ligand-dependent nuclear receptor	 	-0.980	 	3.57E-03	2.00E-02	APCS,Ccl2,CXCL10,Cxcl11,CXCL2,CYP7A1,GCK,IL1B,NFKBIA,TNF	85 (11)
KLF4	 	transcription regulator	 	1.061	 	3.57E-03	2.00E-02	ABHD5,DYRK2,GADD45A,GATA4,GJB2,KLHL24,MYD88,PLAUR,RCAN1,TBX3	 
TCF7L2	 	transcription regulator	 	-0.289	bias	3.60E-03	2.00E-02	AGO3,CCN2,CCND1,CCNYL1,CYP7A1,ERBB3,FBXO32,G6PC,ID1,ID2,ID3,IPO13,IRS2,LTV1,NPC1,PCK1,PELI1,PIGA,PPARGC1A,RASGEF1B,SMIM15,SORBS3,TMEM63A	66 (4)
ITGAM	 	transmembrane receptor	Activated	2.083	bias	3.64E-03	2.00E-02	Ccl2,CCL3L3,CXCL10,IL1B,TNF	128 (16)
ADA	 	enzyme	 	-1.964	bias	3.64E-03	2.00E-02	Ccl2,CXCL2,CXCL3,SERPINE1,TNF	 
ADAMTS12	 	peptidase	Inhibited	-2.213	bias	3.64E-03	2.00E-02	ACOD1,CXCL10,S100A8,S100A9,TNFAIP2	 
SAA	 	group	 	 	 	3.69E-03	2.00E-02	IL1B,NLRP3,TNF	22 (4)
UNC5B	 	transmembrane receptor	 	 	 	3.69E-03	2.00E-02	Ccl2,CXCL2,TNF	 
MST1	 	growth factor	 	 	 	3.69E-03	2.00E-02	CCN2,CCND1,TNF	 
GLRX	 	enzyme	 	 	 	3.69E-03	2.00E-02	CXCL2,CXCL3,VEGFA	84 (8)
KLF9	 	transcription regulator	 	 	 	3.69E-03	2.00E-02	BMP2,CCND1,IGFBP1	 
B4GALT1	1.431	enzyme	 	 	 	3.69E-03	2.00E-02	Ccl2,CCL3L3,CXCL3	 
miR-124-3p (and other miRNAs w/seed AAGGCAC)	 	mature microRNA	 	 	 	3.69E-03	2.00E-02	Ccl2,HDAC5,TRAF6	 
PTGDR	 	G-protein coupled receptor	 	 	 	3.69E-03	2.00E-02	Ccl2,IL1B,TNF	87 (12)
PLAUR	1.851	transmembrane receptor	 	 	 	3.69E-03	2.00E-02	Ccl2,CCND1,JUNB	115 (14)
USP4	 	peptidase	 	 	 	3.69E-03	2.00E-02	CXCR4,ID1,ID3	 
ABL1	 	kinase	 	 	 	3.69E-03	2.00E-02	BMP2,CSF1,VEGFA	 
SMARCB1	 	transcription regulator	 	-1.000	bias	3.77E-03	2.04E-02	BAG3,BTG1,CCND1,CCNE1,ETS2,G6PC,GJB2,HES1,PCK1	 
Mek	 	group	 	1.744	 	3.85E-03	2.07E-02	Ccl2,ID1,IL1B,IRF1,JUNB,TNF	153 (17)
