© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
NFAT5	 	transcription regulator	 	-1.985	 	2.51E-05	4.68E-04	Ccl2,Cxcl9,DAXX,F3,IFIT1B,IFIT2,IFIT3,IRF1,IRGM,Irgm1,Mx2,STAT1,TNF,TNFSF10	133 (9)
NLRP12	-1.179	other	Inhibited	-2.333	bias	2.51E-05	4.68E-04	AKT1,BCL3,CXCL2,ICAM1,IL1B,IL1RN,TIRAP,TNF,TRAF3	160 (14)
TRPV4	 	ion channel	Activated	2.395	bias	2.51E-05	4.68E-04	Ccl2,CCL3L3,CXCL10,CXCL2,FOS,PPARGC1A,Saa3,SOCS3,TLR2	 
Mt1	 	other	Inhibited	-2.138	bias	2.51E-05	4.68E-04	ATF3,CCND1,CEBPA,ETS2,FOS,IL1B,MYC,SERPINE1,TNF	193 (14)
EIF2S1	0.461	translation regulator	 	 	 	2.51E-05	4.68E-04	ATF4,CCND1,CEBPG,HMOX1,PHLDA1,PLIN4,Serpina3g (includes others),SERPINA9,SESN2,SLC7A11,SYBU,TGM1	 
IRF5	 	transcription regulator	Activated	3.516	bias	2.59E-05	4.80E-04	CXCL10,CXCL2,DDX58,DHX58,IFIH1,IFIT2,IFIT3,ISG15,ISG20,OASL,STAT1,STAT2,TNF	154 (13)
RORA	-0.604	ligand-dependent nuclear receptor	 	-0.279	 	2.94E-05	5.41E-04	AQP8,ARNTL,Ccl2,CCL3L3,CISH,CXCL10,Cxcl9,Cyp3a25 (includes others),CYP8B1,ELOVL3,ELOVL6,G6PC,HMGCR,IGFBP1,IL1B,LCN2,LPIN2,LRTM1,NFKBIA,PCK1,PPP1R3C,RORA,S100A9,Saa3,SLC15A4,SLC41A2,SULF2,TNF	259 (17)
TCF4	 	transcription regulator	Activated	3.900	bias	3.18E-05	5.81E-04	BHLHA15,CREB3L2,CRELD2,DDX58,GIMAP4,HSP90B1,HSPA13,HYOU1,ID3,LY6D,MANF,MORF4L2,PLPP5,SDF2L1,SEC24D,Serpina3g (includes others),SLC35B1,SMAGP,SPCS2,TENT5C,TXNDC11,TXNDC5,XBP1,ZBP1	 
MAPK14	 	kinase	 	-1.242	 	3.20E-05	5.81E-04	ABCA1,BACE1,Ccl2,CCND1,CXCL10,Cxcl11,Cxcl9,DUSP1,EGFR,FASN,G6PC,HMGCR,IL1B,PCK1,PPARGC1A,SREBF1,TGM2,TNF,TP53,ZFP36	292 (18)
OPA1	 	enzyme	Inhibited	-2.607	bias	3.49E-05	6.15E-04	ATF4,HSPA5,IL1B,MYD88,S100A9,TLR2,TNF,XBP1	200 (9)
PRDM16	 	transcription regulator	Inhibited	-2.778	 	3.49E-05	6.15E-04	CXCL10,Cxcl9,GBP4,IFIT1B,IFIT2,Mx2,PPARGC1A,STAT1	 
FMO3	 	enzyme	 	-0.707	bias	3.49E-05	6.15E-04	ABCG8,ELOVL6,FASN,FOXO1,G6PC,PDK4,PPARGC1A,SREBF1	 
ARRB1	 	transcription regulator	 	-0.577	 	3.49E-05	6.15E-04	Ccl2,EGR1,F3,FASN,MYC,SCARB1,SERPINE1,TNF	191 (15)
TNFRSF1A	1.030	transmembrane receptor	 	1.794	 	3.51E-05	6.15E-04	ABCC1,APCS,BACE1,Ccl2,CCL3L3,CCN2,CXCL10,CXCL2,ICAM1,IER3,IL1B,ITGB5,LCN2,PIM1,SAA1,Saa3,SERPINE1,SOCS3,TFRC,TLCD4,TNF,TNFRSF1A,VEGFA	257 (16)
TP53	0.662	transcription regulator	 	-1.454	 	3.52E-05	6.15E-04	ADRA1A,AGTR1,APEX1,ATF3,BCL6B,BMP1,BOK,BTG1,Ccl2,CCL3L3,CCN2,CCND2,CCNG2,CDKN1A,CEBPA,CELSR1,Chil3/Chil4,CHMP4C,CISD1,COX10,CREB3,CSF1,CSNK1D,CXCL10,CXCL2,DDIT4,DDX39A,DDX5,DHFR,DNAJB5,DNAJC11,DNAJC12,DUSP1,EGFR,EIF2AK3,ESR1,ESRRG,FASN,FOS,FOXO1,GADD45A,GATA4,GJA1,GPM6A,GPR12,GPR17,H2AX,HK2,HMOX1,HSPA5,HSPH1,ID1,ID2,ID3,IER3,IER5,IFI35,IL17RA,IL1B,IRF8,IRF9,IRS1,ISG15,ITGB5,KCTD11,KPNA2,KRT18,LDLR,LPIN1,MAFB,MCAM,MRC1,MRPS2,MVP,MYC,MYH9,MYO1C,MYO1E,NDUFS6,NLRP12,NRP1,PDK2,PLK2,POLK,PPARGC1A,PRKAB1,PSEN1,PSME3,RBL2,Rpl34 (includes others),RUVBL2,SEC23B,SEC61A1,Serpina3g (includes others),SERPINE1,SESN2,SGK1,SLC2A6,SPCS2,SREBF1,STAT1,STAT3,TAP1,TBX3,TDG,TFRC,TGM2,THRA,TIGAR,TLR1,TMEM43,TNF,TNFRSF1A,TNFRSF1B,TNFSF10,TOMM40,TP53,TP53INP1,Tpm4,TSC22D3,TTN,UMPS,UNG,USO1,VEGFA	275 (18)
LCAT	 	enzyme	 	-0.308	 	3.83E-05	6.66E-04	AXIN2,CCND1,CEBPA,HMGCR,HSPA5,LDLR,MYC,PPARGC1A,SCARB1	 
PPARG	 	ligand-dependent nuclear receptor	 	-0.667	 	3.87E-05	6.68E-04	ABCA1,ACOD1,ANGPTL4,ARL4D,BACE1,CAVIN2,Ccl2,CDK2,CEBPA,CTPS1,CXCL2,CYP4B1,DHRS3,ELOVL3,ELOVL6,ERO1A,FASN,G6PC,HCAR2,HES1,HK2,HSD3B7,HYOU1,ICAM1,IL1B,IRAK4,IRS1,LDLR,LY6D,MKNK2,MRC1,MVD,MYD88,NDRG1,OSBP,PCK1,PDK4,PLIN4,PLIN5,PPARGC1A,RAB20,SAA1,SERPINE1,SGK1,SREBF1,TNF,TNFSF10,TSC22D3,TUBB	217 (14)
ARNTL	-2.288	transcription regulator	Activated	2.059	 	4.06E-05	6.96E-04	CCNG2,CEBPA,DBP,ELOVL6,FASN,HMOX1,IL1B,ITGB8,LDLR,PER1,PER2,PER3,SREBF1,THRA	125 (5)
ELK3	 	transcription regulator	 	 	 	4.09E-05	6.96E-04	EGR1,FOS,HMOX1,SERPINE1	 
PARP14	1.064	enzyme	 	0.647	 	4.13E-05	6.96E-04	CXCL10,F3,ID3,ISG15,Mx2,PIM1	 
mir-15	 	microRNA	 	-0.210	 	4.13E-05	6.96E-04	Ccl2,CCND1,CCND2,CCNE1,IL1B,Rnf125	 
RETN	 	other	 	1.000	 	4.31E-05	7.22E-04	G6PC,LDLR,MYC,SOCS3,STAT3,TNF,TP53	 
SMARCB1	 	transcription regulator	Inhibited	-2.714	bias	4.90E-05	8.16E-04	BAG3,BTG1,CA8,CCND1,CCNE1,CDKN1A,CEACAM1,Cyp3a25 (includes others),CYP8B1,DSC2,ETS2,G6PC,GJB2,HES1,PCK1,PPP1R3C,TP53	 
SCARB1	-0.605	transporter	Inhibited	-3.121	 	5.10E-05	8.40E-04	ABCA1,ABCG8,DDIT4,FASN,FOXO1,HMGCR,IL1B,LDLR,SREBF1,TNF	294 (18)
ATF2	 	transcription regulator	 	1.342	bias	5.10E-05	8.40E-04	ARNT,ATF3,BCKDHA,CCND1,DUSP1,DUSP10,GADD45A,PPARGC1A,PSEN1,TNF	 
STAT4	 	transcription regulator	Activated	2.762	bias	5.61E-05	9.18E-04	BCL3,CXCL10,CXCL2,Cxcl9,DDX58,GJA1,IFIH1,IFIT1B,IFIT2,ISG15,ISG20,MYC,STAT1,TNF,Trim30a/Trim30d	258 (16)
CD14	1.481	transmembrane receptor	Activated	2.395	bias	5.69E-05	9.27E-04	Ccl2,CCL3L3,CISH,CXCL2,IL13RA1,IL1B,MSR1,SOCS3,TNF	198 (12)
Interferon alpha	 	group	Activated	2.932	 	5.85E-05	9.47E-04	AXL,CXCL10,DAXX,EIF2AK2,FOS,IFIT2,IFIT3,IRF1,ISG15,RNF31,STAT1,USP18	177 (12)
NR1H4	 	ligand-dependent nuclear receptor	Inhibited	-2.207	 	5.94E-05	9.56E-04	ABCA9,ABCG8,Ccl2,CCNE1,CEBPA,CEBPB,CYP8B1,FASN,G6PC,HSPA5,IL1B,ITGAM,LCN2,LDLR,NR1I2,Orm1 (includes others),PCK1,PPARGC1A,S1PR1,SCARB1,SREBF1,TNF	177 (12)
HDAC1	 	transcription regulator	 	-1.785	 	6.25E-05	1.00E-03	AGTR1,APEX1,AXIN2,CAVIN2,CCND2,CCNE1,CDKN1A,CEBPA,DENND2B,DHFR,E2F2,EGR1,GABARAPL1,MYC,Nes,NFKBIA,PCK1,PPARGC1A,RELB,S100A9,SGK1,SMN1/SMN2,TGM2,TP53,TPD52,TSC22D3	 
E2F1	 	transcription regulator	 	0.152	 	6.29E-05	1.00E-03	AMY2B,BOK,CCND1,CCNE1,CDC25A,CDK2,CEBPA,DHFR,DUSP1,EGR1,FOS,HES1,ID3,IRS1,IRS2,MYC,NRP1,PDK4,PPARGC1A,SERPINE1,TAP1,TP53,TP53INP1,XRCC1,ZFP36	106 (7)
NLRX1	 	other	 	-1.505	 	7.12E-05	1.13E-03	IL1B,IRAK4,IRF1,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,STAT1,STAT2,TLR1,TNF	226 (14)
SHARPIN	 	other	 	-1.342	 	7.52E-05	1.18E-03	CASP4,CXCL10,IL1B,ISG15,MLKL,RIPK1,RNF31	121 (12)
Mek	 	group	 	0.181	 	7.67E-05	1.19E-03	Ccl2,CCND2,CDKN1A,DDX58,GBP2,ID1,Ifi47,IL1B,IRF1,SMN1/SMN2,TNF	239 (14)
SMAD7	 	transcription regulator	 	-0.744	 	7.67E-05	1.19E-03	Ccl2,CDKN1A,FOXO1,Hamp/Hamp2,ICAM1,ID1,ID2,ID3,IL1B,NFKBIA,TNF	177 (15)
GNAQ	 	enzyme	 	0.905	bias	7.67E-05	1.19E-03	ACTA1,ATF3,Ccl2,CCN2,FOS,MAFF,Rnf125,SERPINE1,SOCS3,TGM1,TUBA1C	101 (7)
NR1H3	 	ligand-dependent nuclear receptor	 	-0.012	 	8.00E-05	1.23E-03	ABCA1,ABCG8,APCS,ATF3,Ccl2,CCL3L3,CCR2,CDKN1A,CKS1B,CXCL10,Cxcl11,CXCL2,FASN,FPR2,G6PC,GBP4,HMGCR,IFIT2,IL1B,IL1RN,ITGAM,LDLR,MID1IP1,MYLIP,NFKBIA,PPARGC1A,SREBF1,TAP1,THRA,TLR1,TNF,VIPR1,ZBP1	241 (18)
NCF1	 	enzyme	 	1.948	bias	8.27E-05	1.26E-03	Ccl2,CD14,DDX58,HMOX1,ICAM1,IFIH1,ISG15,STAT1,TNF	179 (17)
ITGAM	1.908	transmembrane receptor	Activated	2.708	bias	8.27E-05	1.26E-03	C5AR1,Ccl2,CCL3L3,CXCL10,Foxp1,IL1B,LCN2,TNF,ZBP1	237 (14)
EGR1	-3.564	transcription regulator	 	1.748	bias	8.42E-05	1.27E-03	BACE1,Ccl2,CCL3L3,CCND2,CDKN1A,CXCL2,F3,GADD45A,HMOX1,ICAM1,IL1B,ITGAM,MYC,NDRG1,SERPINE1,TNF,TP53	206 (10)
COL2A1	 	other	 	 	 	8.46E-05	1.27E-03	ATF4,ATF6,HSPA5,IL1B,TNF,XBP1	 
PDE3B	 	enzyme	 	 	 	8.46E-05	1.27E-03	FASN,G6PC,PPARGC1A,SERPINE1,SOCS3,TNF	103 (7)
KCNJ10	 	ion channel	Activated	2.828	bias	8.69E-05	1.29E-03	Ccl2,CXCL10,Cxcl9,GADD45A,GBP5,GBP6,ICAM1,TGM1	 
ITPR2	 	ion channel	 	1.480	 	8.69E-05	1.29E-03	G6PC,GBP6,Gm12250,Ifi47,Igtp,Irgm1,PCK1,Tgtp1/Tgtp2	 
ZC3H12C	 	other	Inhibited	-3.094	bias	9.74E-05	1.44E-03	CCR2,FPR2,GBP2,GBP6,GBP7,Gm12250,Igtp,IRGM,STAT1,Tgtp1/Tgtp2	128 (7)
Map3k7	 	kinase	 	1.412	 	1.03E-04	1.51E-03	BHLHE40,Ccl2,CCL3L3,CXCL10,Cxcl11,Cxcl9,FASN,IFIT2,IL1B,ISG15,ISG20,Mx2,NFKBIA,NFKBIZ,S100A9,TNF	242 (14)
CDKN2A	 	transcription regulator	 	0.966	 	1.03E-04	1.51E-03	Ccl2,CCL3L3,CCND1,CDKN1A,CEBPB,CEBPD,CXCL10,Cxcl11,CXCL13,Cxcl9,DDX5,EFNA1,EGR1,H2AX,IFI35,IL1B,MYC,TNF,TNFRSF1A,TNFRSF1B,TP53,VEGFA	270 (18)
XBP1	1.432	transcription regulator	 	1.410	 	1.13E-04	1.64E-03	ATF4,BHLHA15,CXCL2,DNAJB11,DNAJB9,HMOX1,HSPA5,S1PR1,SLC38A2,TNF,UBA5,UFL1,UFM1	 
EIF4EBP1	 	translation regulator	 	0.172	 	1.17E-04	1.69E-03	CEBPA,CEBPB,CEBPD,CEBPG,CXCL10,EGR1,IL1RN,NFIL3,PPARGC1A	136 (6)
PLK2	0.674	kinase	 	1.000	bias	1.17E-04	1.69E-03	CXCL10,Cxcl11,Cxcl9,IFIT2,IL1B,IRF1,MARCO,Mx2,RGS1	 
MXD1	 	transcription regulator	Inhibited	-3.500	bias	1.23E-04	1.75E-03	COX10,IARS1,KARS1,LARS1,MARS2,MYBBP1A,MYCL,MYD88,NOP14,NOP2,NOP56,NOP58,PES1,Qars,RARS1,TOP1	 
FOS	-2.255	transcription regulator	 	-0.128	 	1.23E-04	1.75E-03	ABCC1,ARID3A,ARNT,B4GALT1,CCND1,CCNE1,CXCL10,Cxcl9,ELOVL3,ELOVL6,F3,FOS,GATA4,HMOX1,HSPB8,IRAK3,IRS2,ITGA6,KIF5B,LGALS4,MYC,MYH9,NFIL3,ODC1,PHLDA1,PLK2,PTS,PXK,RALB,RIPK1,S100A9,SOCS3,TIPARP,TNF,TPD52,Tpm4,UGCG,XDH	163 (4)
MSR1	0.700	transmembrane receptor	 	1.025	 	1.24E-04	1.75E-03	ACOD1,CXCL10,CXCL2,IFIT1B,IL1B,ISG15,TNF	241 (16)
IFNA4	 	cytokine	Activated	2.646	bias	1.24E-04	1.75E-03	IFIT2,ISG15,Mx2,MYC,OASL,Tgtp1/Tgtp2,USP18	124 (7)
MTTP	 	transporter	Inhibited	-2.180	 	1.32E-04	1.84E-03	ABCA1,ABCG8,ATF6,CCL3L3,EIF2AK3,EIF2S1,HMGCR,HSPA5,TNF,XBP1	 
SMAD3	 	transcription regulator	 	0.227	 	1.34E-04	1.88E-03	ATF4,Ccl2,CCL3L3,CCN2,CCND1,CCND2,CDKN1A,CKS1B,CXCL10,ESR1,FOS,FOXO1,G6PC,HSP90B1,HSPA5,IL1B,JAM2,MYC,Orm1 (includes others),PPARGC1A,S1PR1,SERPINE1,TNF	266 (16)
CGA	 	other	 	-1.698	 	1.40E-04	1.94E-03	BHLHA15,CCND1,CRELD2,DNAJB11,DNAJB9,FOXO1,GTF2F2,HSP90B1,HSPA5,HYOU1,ID1,KIT,KLF9,SDF2L1,SSR2,STAT5A,TP53INP1	 
RUBCN	 	other	Inhibited	-2.219	bias	1.49E-04	2.04E-03	GBP2,IFIT3,IL1B,STAT1,TNF	140 (11)
ADGRF5	 	G-protein coupled receptor	Inhibited	-2.219	bias	1.49E-04	2.04E-03	Ccl2,CCL3L3,CSF1,IL1RN,TNF	176 (12)
FEM1A	0.687	transcription regulator	Inhibited	-2.201	bias	1.49E-04	2.04E-03	Ccl2,CXCL10,CXCL2,IL1B,TNF	193 (15)
ID2	1.805	transcription regulator	 	0.447	 	1.52E-04	2.07E-03	AXIN2,BCL3,CCND2,CCNE1,CCNG2,CCR2,CDKN1A,CEBPB,CSF1,CSF2RB,CXCR4,DUSP1,DUSP10,E2F2,ETS2,FOXO1,Foxp1,ICAM1,ID3,IKZF4,IL6R,IRF8,MYC,NFKBIE,PTPN3,RELB,RORA,SOCS3,TNFRSF1A,TNFSF10,TRAF3,ZBTB16	 
SLC7A2	 	transporter	 	-0.896	 	1.58E-04	2.08E-03	CCL3L3,Chil3/Chil4,CXCL10,CXCL2,Cxcl9,IL1B	 
NELFB	 	other	 	0.000	 	1.58E-04	2.08E-03	ATF3,CCN2,CDKN1A,GADD45A,MKNK2,VEGFA	 
YWHAZ	 	enzyme	Inhibited	-2.401	 	1.58E-04	2.08E-03	ATF4,ATF6,CXCL2,HSP90B1,HSPA5,XBP1	 
PER1	-1.024	transcription regulator	 	0.440	 	1.58E-04	2.08E-03	ARNTL,CCND1,CCNE1,PER1,PER2,PER3	45 (3)
CARM1	 	transcription regulator	 	1.501	bias	1.58E-04	2.08E-03	Ccl2,CCNE1,CDKN1A,CXCL10,GADD45A,ICAM1	130 (3)
CXCL3	 	cytokine	 	1.732	bias	1.58E-04	2.08E-03	Ccl2,CCL3L3,CXCL10,GRK5,ITGA6,TNF	143 (7)
FLT3	 	kinase	 	 	 	1.58E-04	2.08E-03	CEBPB,CXCL10,IFIT2,IFIT3,STAT1,TNF	 
PLK4	 	kinase	 	1.000	bias	1.64E-04	2.15E-03	CXCL10,Cxcl11,Cxcl9,IFIT2,IL1B,IRF1,MARCO,Mx2,RGS1	 
NCSTN	 	peptidase	 	-0.577	 	1.75E-04	2.29E-03	CD14,CEBPA,CEBPB,CEBPD,CSF2RB,EGFR,HES1,IRF8,PSEN1,PSEN2	 
Histone h4	 	group	 	 	 	1.79E-04	2.33E-03	CCNE1,CXCL10,ESR1,FOS,HES1,IL1B,IRF1,PRMT3,SHANK2,SMN1/SMN2,SOCS3,SREBF1,STAT3,SYNPO,TNF	142 (10)
AMBP	 	transporter	 	-1.154	 	1.91E-04	2.44E-03	Ccl2,CXCL2,IL1B,TNFRSF1A	92 (6)
PDE3A	 	enzyme	 	1.057	 	1.91E-04	2.44E-03	CCND1,CDKN1A,DUSP1,TP53	 
PTAFR	 	G-protein coupled receptor	Inhibited	-2.000	bias	1.91E-04	2.44E-03	CCL3L3,CXCL2,IL1B,TNF	 
WNT7B	 	other	 	1.982	bias	1.91E-04	2.44E-03	AXIN2,CCND1,MYC,VEGFA	 
XDH	0.525	enzyme	 	0.000	bias	1.97E-04	2.49E-03	Ccl2,CCN2,CEBPA,CEBPB,IL1B,SERPINE1,TNF	 
CFB	 	peptidase	Activated	2.630	bias	1.97E-04	2.49E-03	C3AR1,C5AR1,CXCL2,HSPA5,IL1B,ITGAM,SREBF1	 
GNAS	 	enzyme	 	-1.268	 	1.98E-04	2.50E-03	ARL4D,ATF3,CDK2,CEBPA,CXCL2,FASN,FOS,G6PC,MAFF,NRP1,PPARGC1A,RASD1	138 (6)
CSF2	 	cytokine	Activated	3.150	bias	2.05E-04	2.57E-03	ABCA1,Ccl2,CCL3L3,CD14,CISH,CKS1B,CXCL10,Cxcl11,Cxcl9,HK2,HMGCR,ICAM1,IL1B,IRAK3,ITGAM,ITGB5,KCTD11,MRC1,MYC,PLA2G15,RINT1,Saa3,SREBF1,STEAP3,TGM2,TLR2,TNF,TNFRSF1A,TNFRSF1B	224 (16)
IL12B	 	cytokine	Activated	2.573	 	2.19E-04	2.74E-03	Ccl2,CXCL10,ICAM1,IL1B,IRF9,S100A9,SOCS3,STAT1,STAT2,STAT3,TNF	269 (17)
BRCA1	 	transcription regulator	 	0.301	 	2.24E-04	2.79E-03	CCND1,CCNE1,Cd24a,CDKN1A,ESR1,HMOX1,KIT,RUVBL2,TP53	180 (7)
AGER	 	transmembrane receptor	 	1.750	 	2.31E-04	2.85E-03	Ccl2,CCL3L3,CDKN1A,EGR1,IL1B,S100A9,SERPINE1,TNF,TP53,VEGFA	292 (18)
EBF1	 	transcription regulator	 	0.724	bias	2.51E-04	3.10E-03	CBLC,CEBPB,CXCL10,Cxcl9,FASN,FOXO1,G6PC,HK2,IRF1,IRS1,MKNK2,MYD88,NFIL3,PHKA2,PPARGC1A,PPP1CA,PPP1R3C,PTPN1,SOCS3,SREBF1,STAT1,TLR2	167 (10)
FAS	 	transmembrane receptor	 	0.802	 	2.55E-04	3.12E-03	Ccl2,CCL3L3,CCN2,CDKN1A,CSF1,CXCL10,CXCL2,Cxcl9,EGR1,ICAM1,IL1B,NFKBIA,SERPINE1,TNF,TNFRSF1A	217 (17)
PRKAA	 	group	 	-1.698	 	2.73E-04	3.29E-03	Ccl2,CXCL10,G6PC,PPARGC1A,STAT1,TNF	143 (7)
B4GALNT1	 	enzyme	 	-1.715	 	2.73E-04	3.29E-03	C3AR1,C5AR1,FOS,IL1B,TNF,VEGFA	87 (4)
TREX1	 	enzyme	Inhibited	-2.408	bias	2.73E-04	3.29E-03	CXCL10,IFIT1B,ISG15,Mx2,OASL,USP18	 
RPL22	 	translation regulator	 	-1.664	bias	2.73E-04	3.29E-03	ATF3,ATF4,CDKN1A,DNAJB9,HSPA5,XBP1	 
PLIN5	-1.092	other	 	0.691	 	2.78E-04	3.32E-03	ABHD5,ATF4,FASN,GCLC,HMOX1,IL1B,PDK4,PPARGC1A,SREBF1,TNF,TXNRD1	177 (10)
IL1R1	 	transmembrane receptor	 	1.078	 	2.78E-04	3.32E-03	APCS,Ccl2,CCL3L3,CXCL10,CXCL2,Cxcl9,FOS,ICAM1,IL1B,SAA1,TNF	262 (20)
LIPE	 	enzyme	 	1.307	 	2.88E-04	3.43E-03	ARNTL,ATF3,CEBPA,CEBPB,CLK1,EGR1,ELL,FASN,FOS,GJA1,ID2,ITGA6,NEDD1,NFKBIB,PCK1,PER1,SCARB1,SREBF1,ST3GAL5,THRSP,TNF	154 (9)
Igm	 	complex	 	 	 	3.00E-04	3.54E-03	CCND2,CDKN1A,EGR1,PIM1,RBL2,TP53,XBP1	305 (19)
MAPK7	 	kinase	 	-0.218	 	3.00E-04	3.54E-03	CXCL2,IL1B,KLF2,PTGER2,STEAP4,TP53,VEGFA	 
LCN2	4.165	transporter	Activated	2.068	 	3.02E-04	3.55E-03	Ccl2,CCL3L3,Chil3/Chil4,CXCL10,CXCL13,CXCL2,Cxcl9,ESR1,FASN,IL1B,IL1RN,LDLR,MRC1,PPARGC1A,TNF	136 (9)
EP300	 	transcription regulator	 	 	 	3.13E-04	3.63E-03	ARHGAP24,ARHGEF3,ATF6,CLOCK,CXCR4,DHRS3,FASN,FNDC3B,FOXO1,GIMAP4,HDAC11,HMGCR,ID1,ID2,IFIT1B,ITGA6,KLHL4,LIG4,NDRG1,NPAS2,PCK1,PDK4,PPARGC1A,RNASEL,Rnf125,RTP4,SLC7A11,SOCS3,STOM,TIPARP,TNF,USP18,WFS1,YPEL2	43 (2)
HSPA9	 	other	 	-1.342	bias	3.13E-04	3.63E-03	CDKN1A,FOXO1,HES1,MYC,SESN2	179 (7)
CTTN	 	other	Activated	2.213	bias	3.13E-04	3.63E-03	Ccl2,CCR2,CXCL2,IL1B,TNF	 
NLRP3	 	other	 	0.432	 	3.19E-04	3.69E-03	Ccl2,CCL3L3,CDK2,Chil3/Chil4,CXCL10,CXCL2,H2AX,HMOX1,IL1B,MRC1,MSR1,NFKB2,NFKBIE,RELB,STAT3,TNF,TP53,XRCC1	287 (16)
NFkB (complex)	 	complex	Activated	3.417	 	3.28E-04	3.78E-03	Ccl2,CCL3L3,CCND1,CXCL10,CXCL2,Cxcl9,ICAM1,IL1B,ITGAM,KIT,LCN2,NFKBIA,NFKBIE,NLRP12,SCFD1,SOCS3,TFRC,TLR2,TNF,Wfdc17	177 (14)
NFE2L2	 	transcription regulator	Activated	2.068	 	3.36E-04	3.86E-03	ABCC1,ACTG1,ANG,APCS,ARHGEF3,ATF3,Ccl2,CDC34,CEBPA,CELA1,CHORDC1,CXCL10,CXCL2,DDX39B,DNAJB11,EIF2S1,GCLC,HMOX1,HSP90B1,ICAM1,IFIH1,IFIT1B,IL1B,IL1RN,ISG15,KIFC2,MORF4L2,MRPS18B,NARS1,NUCB2,PCBP1,PPARGC1A,RARS1,RUVBL1,SAA1,SCARB1,SEC61A1,SLC35B1,SLC7A11,SOCS3,SREBF1,TBRG1,THRSP,TNF,TP53,TXNRD1,USO1,VEGFA,XBP1	263 (18)
IFN alpha/beta	 	group	 	1.732	 	3.82E-04	4.36E-03	AXL,CCR2,Cxcl9,DAXX,GAS7,IFIT3,IRF1,MRC1,Mx2,STAT1,STAT2,TNFSF10,TRIM21	167 (10)
RIPK1	0.472	kinase	 	0.429	 	3.86E-04	4.37E-03	Ccl2,CCL3L3,CXCL10,CXCL2,EGFR,IL1B,MRC1,TNF,TP53,VEGFA	203 (13)
RETNLB	 	other	Activated	2.034	bias	3.88E-04	4.37E-03	AKT1,BMP1,Ccl2,CCL3L3,CCN2,CCR2,IL13RA1,IL1B,KLF15,LMNB1,MID1,MYC,PLA2G15,Saa3,STOM,TLR2	 
PML	 	transcription regulator	 	-1.625	 	3.88E-04	4.37E-03	CDKN1A,ELOVL6,FASN,HMGCR,HMOX1,ID2,IFIT3,IL1B,LDLR,NDRG1,PDK4,PPARGC1A,SREBF1,STAT1,TP53,TXNRD1	283 (16)
IL12A	 	cytokine	Activated	2.889	 	4.01E-04	4.50E-03	CXCL10,ICAM1,IL1B,IRF9,SOCS3,STAT1,STAT2,STAT3,TNF	204 (14)
BCL3	2.091	transcription regulator	 	-1.265	 	4.01E-04	4.50E-03	CXCL10,CXCL2,Cxcl9,EGR1,FOS,ICAM1,IL1B,NFKBIA,TNF	199 (16)
KLF4	 	transcription regulator	 	0.067	 	4.09E-04	4.56E-03	ABHD5,CCND2,CDKN1A,Chil3/Chil4,DYRK2,GADD45A,GATA4,GJB2,IBTK,KLHL24,MYD88,PFDN4,RCAN1,RNF6,SCARB1,TBX3,TP53	 
IL12 (complex)	 	complex	Activated	2.213	 	4.19E-04	4.63E-03	Ccl2,CCR2,CXCL10,Cxcl9,GJA1,IFIH1,IFIT1B,IFIT2,IRF1,IRF8,ISG15,ISG20,Tgtp1/Tgtp2,TNF,Trim30a/Trim30d	213 (13)
IL17A	 	cytokine	Activated	3.095	 	4.19E-04	4.63E-03	Ccl2,CCND1,CXCL10,CXCL2,GADD45A,HSPB8,ICAM1,IL1B,LCN2,MAP2K3,NFKBIZ,OCLN,RGS16,S100A9,TNF	221 (14)
CD28	 	transmembrane receptor	 	1.322	bias	4.20E-04	4.63E-03	CCND2,CCNE1,CDK2,CXCL2,DDX58,FOS,GBP2,HK2,IL1B,IRF1,IRF8,NFKB2,NR1I2,ODC1,RORA,SOCS3,TNF,TNFRSF1B	353 (22)
PLK1	 	kinase	 	 	 	4.43E-04	4.86E-03	BOK,DTX3L,EGFR,IER3,MYC,PARP9,PLA2R1	 
VCAN	 	other	 	0.152	 	4.46E-04	4.86E-03	Ccl2,CCL3L3,CDKN1A,IL1B,TNF,TP53	95 (7)
TRIM21	0.765	enzyme	 	-1.741	bias	4.46E-04	4.86E-03	CXCL10,GCLC,HMOX1,IL1B,TNF,Trim30a/Trim30d	179 (6)
NCOA1	 	transcription regulator	 	0.372	 	4.50E-04	4.89E-03	CBX4,CDKN1A,CEBPA,DBP,EGR1,ERBB3,FOS,GJB2,IL1RN,LPIN1,MYC,NFIB,PCK1,STAG2,THPO,THRSP	 
ZBTB20	 	transcription regulator	 	1.824	 	4.59E-04	4.94E-03	AKT1,CISH,FASN,G6PC,IGFBP1,IRS1,NFKBIA,PCK1,PDK4,PPARGC1A,SOCS3,TNF	93 (4)
STEAP3	-0.829	transporter	 	0.577	bias	4.59E-04	4.94E-03	ACER2,CCN2,Cd24a,CEBPB,ERO1A,ERRFI1,KLF15,S1PR1,SORBS3,TFRC,TGM2,VEGFA	 
C1QTNF12	 	other	 	 	 	5.12E-04	5.31E-03	Ccl2,IL1B,TNF	95 (7)
