© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
IL10	 	cytokine	 	-1.970	1.08E-04	2.09E-03	APCS,ARG2,BCL3,Ccl2,CCL3L3,Ccl9,CD14,Cd24a,Chil3/Chil4,CSF3R,CXCL10,CXCL2,CXCL3,HMOX1,ICAM1,IL18,IL1A,IL1B,IL1RN,LYN,MYD88,NFKBID,PIK3CB,S100A8,S100A9,SLC9A3R2,SOCS3,THPO,TLR2,TLR8,TNF,TNFRSF1A,VEGFA	298 (13)
EHHADH	1.831	enzyme	 	-1.195	1.09E-04	2.09E-03	ACAA1,ACOT2,CYP4A11,Cyp4a14,LPCAT3,MGLL,PDK4	 
PTGER4	1.530	G-protein coupled receptor	Inhibited	-2.668	1.12E-04	2.11E-03	ADAMTS4,APOA5,ARRDC3,Ccl2,CCL3L3,CCNG2,CITED2,CXCL10,FBXL20,GBP6,HCAR2,HERPUD1,IL18,IL1B,IRF1,MAFB,Mx2,MXI1,RNASEL,RNF144B,TBC1D4,TLR8,TNF,TP53INP1,USP18,ZFP36L1	214 (12)
NFATC2	 	transcription regulator	 	0.661	1.12E-04	2.11E-03	ATM,CASP4,Ccl2,CCL3L3,CD83,CITED2,CXCL10,Cxcl11,CXCL2,CXCL3,IER3,IL18,IL1A,IL1B,IRF1,KDM6B,Mx2,NFKBIZ,PELI1,REL,RELB,SOCS3,STAT2,TLR2,TNF,ZBTB32	186 (14)
MALT1	 	peptidase	 	1.643	1.15E-04	2.15E-03	CD83,CXCL2,CXCL3,FOXO1,FOXO3,IKZF4,LCN2,REL,S100A8,TNF	278 (12)
FECH	 	enzyme	 	 	1.15E-04	2.15E-03	APOA4,Ccl2,COL3A1,CYP1A2,CYP2C8,Cyp3a25 (includes others),CYP4A11,CYP7A1,HMOX1,Slco1a1	 
LECT2	-0.825	other	 	-0.130	1.17E-04	2.15E-03	Ccl2,CCL3L3,CXCL10,CXCL3,IL1B,TNF	167 (10)
IL17RD	 	other	Inhibited	-2.433	1.17E-04	2.15E-03	Ccl2,CXCL3,HP,IL1B,Retnlg,S100A9	133 (7)
PF4	 	cytokine	 	1.209	1.28E-04	2.33E-03	CEBPA,FOXA2,ICAM1,IL1B,IRF1,MYCN,NFKB2,NFKBIZ,REL,STAT2,TNF,TNFAIP3,USP18	31 (3)
IFNB1	 	cytokine	 	-0.153	1.28E-04	2.33E-03	ACOD1,Ccl2,Cd24a,CXCL10,CXCL2,CXCL3,DLL1,F2R,GBP5,GBP6,HMGB2,HMGCS1,ICOSLG/LOC102723996,IL18,IL1B,IRF1,LAMB1,MCM10,MYC,NFKBIE,NID2,PDK4,REL,RND3,SLC39A14,STAT2,TLR8,TNF,USP18	225 (14)
EGLN1	 	enzyme	 	0.043	1.29E-04	2.33E-03	Ccl2,DLL1,HES1,IL1A,IL1B,MYC,NOS3,PFKL,SLC2A1,TNF,VEGFA	55 (4)
SYK	0.786	kinase	 	1.912	1.31E-04	2.34E-03	ARID5A,CITED2,CXCL10,Cxcl11,IL1B,ITGB3,THPO,TIMELESS	73 (6)
E2F1	 	transcription regulator	 	-0.652	1.57E-04	2.78E-03	BOK,CASP3,CCNE1,CDK2,CEBPA,DHFR,DUSP1,FGFR2,GM2A,HES1,HMGB2,Hspa1b,ID3,INMT,IRS1,MAPK14,MYC,NRP1,PDK4,Pmaip1,RBL1,SERPINE1,TK1,TP53INP1,XRCC1	131 (6)
KITLG	 	growth factor	 	1.364	1.57E-04	2.78E-03	Ccl2,CD14,CEBPA,CSF1,CSF3R,IL1A,IL1B,PIM1,PRTN3,TNF	328 (18)
TFRC	0.940	transporter	 	-0.277	1.61E-04	2.80E-03	ATF3,CASP3,CHAC1,DDIT4,Gstm6,GSTT2/GSTT2B,HERPUD1,HMOX1,LDHA,Pmaip1,SLC2A1,SRXN1,XBP1	 
IL11RA	 	transmembrane receptor	 	 	1.61E-04	2.80E-03	Ccl2,CCL3L3,CCNE1,CXCL3,DUSP5,ICAM1,JUNB,MYC,PIM1,SAA1,SOCS3,STAT3,VEGFA	131 (7)
ARHGAP21	 	other	 	1.155	1.69E-04	2.93E-03	ARID5A,ATM,CITED2,CXCL10,Cxcl11,CXCL2,IL18,IRF1,Mx2,NFKBIZ,RBL1,TNF	 
NPM1	 	transcription regulator	 	 	1.79E-04	3.08E-03	Ccl2,CEBPA,CSF1,CXCL2,CXCL3,MMP8,VEGFA	215 (6)
Gcg	 	other	 	0.535	1.81E-04	3.10E-03	APOA4,ASL,CYP2C8,ERO1B,GAS2,GSTA5,GSTM1,LHPP,MAT1A,MFSD2A,OAT,SLC25A51,Slco1a1,TFRC	 
FEM1A	0.656	transcription regulator	Inhibited	-2.201	1.96E-04	3.29E-03	Ccl2,CXCL10,CXCL2,IL1B,TNF	212 (15)
HSPD1	0.512	enzyme	Activated	2.200	1.96E-04	3.29E-03	Ccl2,CXCL2,CXCL3,IL1B,TNF	 
MTOR	 	kinase	 	1.292	1.97E-04	3.29E-03	ACADM,AKR1B1,ATP2A2,CASP3,CCNE1,CEBPA,CEBPB,CNP,DAG1,DDIT4,DUSP1,FDPS,HSP90AB1,HSPB1,IL1B,IRS1,LDHA,MYC,NCAM1,NOX4,PIM1,PYGB,SOCS3,STAT3,TMCC1,TNF,TXNIP,UBE2O,UGGT1	186 (10)
STAT6	 	transcription regulator	 	-0.997	1.97E-04	3.29E-03	Acot1,ARID5A,BCL3,BCL6,BIRC2,Ccdc50,Ccl2,CCL3L3,Cd24a,Chil3/Chil4,CIDEC,CISH,COL3A1,CXCL10,CXCL2,CXCL3,CYP4A11,Cyp4a14,EFHD2,EHHADH,EPHA2,GBP5,GBP6,IL1B,IRF1,IRF9,LILRB4,MOV10,MVK,NCOA3,NEDD1,PDGFA,PDK4,PLBD1,PNPLA2,PRKCA,PRNP,RASSF4,SAMSN1,SELENBP1,SOCS2,STAT2,STAT5B,SYK,TMED8,TNF,TNIP2,XBP1	322 (18)
Tlr	 	group	 	1.302	2.12E-04	3.47E-03	BCL6,CASP4,Ccl2,CXCL3,DUSP1,FPR2,ID2,IL1B,TNF,ZBTB46	309 (16)
SQSTM1	 	transcription regulator	 	-0.303	2.15E-04	3.47E-03	ARID5A,ATM,CITED2,CXCL10,Cxcl11,CXCL2,GCLC,HMOX1,IL18,IL1B,IRF1,TNF	325 (14)
TAZ	 	enzyme	 	-0.186	2.15E-04	3.47E-03	CCN2,DUSP1,HMOX1,IDH1,KDM3A,KLF6,LDHA,MYC,SLC2A1,SLC40A1,TFRC,VEGFA	 
SLC7A2	 	transporter	 	-1.664	2.17E-04	3.47E-03	CCL3L3,Chil3/Chil4,CXCL10,CXCL2,CXCL3,IL1B	 
ATG16L1	0.605	enzyme	 	-0.956	2.17E-04	3.47E-03	CXCL2,IL18,IL1A,IL1B,IRS1,KLHL13	261 (13)
CARM1	 	transcription regulator	Activated	2.425	2.17E-04	3.47E-03	Ccl2,CCNE1,CXCL10,CXCL3,GADD45A,ICAM1	 
CXCL3	3.317	cytokine	 	1.767	2.17E-04	3.47E-03	Ccl2,CCL3L3,CXCL10,CXCL3,GRK5,TNF	183 (7)
MMP2	 	peptidase	 	 	2.20E-04	3.48E-03	ABCG5,ABCG8,ACO2,Ccl2,CEBPB,COL3A1,IL1B,INSIG1,PDK4,SLC2A2,TNF	 
MEF2D	-0.571	transcription regulator	 	-1.136	2.20E-04	3.48E-03	CCN2,COL3A1,GCLC,GSTA3,Gsta4,GSTA5,HDAC9,HMOX1,JUNB,SRXN1,SYK	 
BMP10	 	growth factor	 	0.943	2.31E-04	3.62E-03	ANGPTL4,AQP1,Ccl2,CD83,CXCL13,FGFR2,GRHL1,HPGD,ID2,ID3,IL1B,LCN2,LEPR,NCAM1,PHLDA1,SELE,SERPINA3,SMAD6	 
LIPE	 	enzyme	 	-0.896	2.36E-04	3.68E-03	AQP1,ATF3,BCL6,CEBPA,CEBPB,CITED2,ELL,FKBP5,H3-3A/H3-3B,HSPA1A/HSPA1B,ID2,INMT,MAPKAPK2,NCOA2,NEDD1,PCK1,PER1,SOX18,SREBF1,TKT,TNF,YWHAG	 
RETNLB	 	other	 	0.316	2.37E-04	3.68E-03	CASP3,Ccl2,CCL3L3,Ccl9,CCN2,CCN4,FZD6,IL1B,KLF15,LAMA1,MAP3K6,MID1,MYC,Saa3,SOCS2,STOM,TLR2	 
PTAFR	 	G-protein coupled receptor	Inhibited	-2.000	2.40E-04	3.70E-03	CCL3L3,CXCL2,IL1B,TNF	53 (4)
RNF31	1.068	enzyme	 	-1.265	2.49E-04	3.81E-03	Ccl2,CCL3L3,Ccl9,CXCL10,CXCL13,CXCL2,CXCL3,IL18,IL1A,IL1B,IL1RN,IL6R,TNF	216 (7)
IL2	 	cytokine	 	1.841	2.69E-04	4.08E-03	ABCC1,AHR,BCL6,CASP3,CASP4,Ccl2,CISH,CSF1,CXCL10,CXCL3,Gm4956,GRN,HHEX,IKZF4,IL1B,ITGB8,LILRB4,MYC,NDRG1,NRP1,PELI1,PTGER2,SOCS2,SOCS3,STAT5B,TLR2,TNF,TNFRSF1A,TNFRSF1B	438 (21)
CYP1A2	-1.222	enzyme	 	1.732	2.71E-04	4.08E-03	ETHE1,GSTM2,Gstm3,IGFBP2,MID1,RGS16,SHANK2,SLC46A3,Slco1a1,SOCS2,ST3GAL4,WEE1	 
CYP1B1	 	enzyme	 	1.732	2.71E-04	4.08E-03	ETHE1,GSTM2,Gstm3,IGFBP2,MID1,RGS16,SHANK2,SLC46A3,Slco1a1,SOCS2,ST3GAL4,WEE1	 
PRKAA1	 	kinase	 	-0.069	2.76E-04	4.14E-03	ATF3,DOCK4,FGFR2,FOXO3,GALM,Gsta4,IL22RA1,KCNA2,LDHA,NFIB,OAT,PDGFRA,SOCS3,SOCS5,TGM2,TNF,TNS3,VEGFA,ZFP36L1,ZYX	109 (4)
CFB	 	peptidase	 	1.254	2.82E-04	4.17E-03	C3AR1,C5AR1,CXCL2,CXCL3,IL1B,SREBF1,THBD	 
TRPV4	 	ion channel	Activated	2.800	2.84E-04	4.17E-03	Ccl2,CCL3L3,CXCL10,CXCL2,Saa3,SOCS3,SOCS5,TLR2	 
Mt1	 	other	Inhibited	-2.630	2.84E-04	4.17E-03	ATF3,CEBPA,ETS2,IL1B,MEST,MYC,SERPINE1,TNF	301 (11)
Mt2	 	other	Inhibited	-2.630	2.84E-04	4.17E-03	ATF3,CEBPA,ETS2,IL1B,MEST,MYC,SERPINE1,TNF	301 (11)
PRKAA2	 	kinase	 	0.254	3.33E-04	4.85E-03	CDH1,DOCK4,ERN1,FGFR2,FOXO3,GALM,Gsta4,IL22RA1,KCNA2,LDHA,NFIB,NOX4,OAT,PDGFRA,SOCS3,SOCS5,TGM2,TNF,TNS3,ZFP36L1,ZYX	 
EPHX2	0.725	enzyme	 	0.730	3.74E-04	5.37E-03	Ccl2,DLL1,HES1,ICAM1,IL1B,SELE	212 (12)
B4GALNT1	 	enzyme	 	-1.751	3.74E-04	5.37E-03	C3AR1,C5AR1,IL1A,IL1B,TNF,VEGFA	 
PEX5L	 	ion channel	Activated	2.433	3.74E-04	5.37E-03	CYP7A1,DHCR7,FDPS,LSS,MVK,PMVK	 
ERK1/2	 	group	Activated	2.413	3.99E-04	5.69E-03	Ccl2,CCL3L3,CEBPA,CXCL3,F3,IL1A,IL1B,JUNB,LEPR,MYC,NOX4,Saa3,SERPINE1,SOCS3,TNF	303 (14)
C1QA	 	other	Activated	2.611	4.04E-04	5.73E-03	C3AR1,C5AR1,Ccl2,CXCL10,LCN2,SERPINA3,STAT3,TNF	 
OGG1	 	enzyme	Activated	2.144	4.10E-04	5.76E-03	CCL3L3,CXCL2,IL1A,IL1B,TNF	209 (13)
COCH	 	other	Activated	2.236	4.10E-04	5.76E-03	Ccl2,CXCL2,IL18,IL1B,TNF	 
NR3C2	-0.689	ligand-dependent nuclear receptor	 	1.486	4.20E-04	5.86E-03	Ccl2,CCL3L3,CCN2,Chil3/Chil4,COL3A1,IL1B,LCN2,PRDX4,SERPINE1,SGK1,TGM2,TNF	256 (9)
FMO3	 	enzyme	 	-1.890	4.28E-04	5.95E-03	ABCG5,ABCG8,EHHADH,FOXO1,G6PC,PDK4,SREBF1	 
LEPR	1.461	transmembrane receptor	 	-0.083	4.33E-04	5.99E-03	ANGPTL4,APOA4,ATP2A2,BTG1,Ccl2,CCL3L3,CDK2,GATA4,GCK,H2AZ2,ID2,IL1RN,LCN2,LEPR,LIPC,SELE,SERPINE1,SLC2A2,SOCS2,SOCS3,SREBF1,STAT2,STAT3,TNF,TP53INP1,TSC22D3	241 (15)
NR3C1	 	ligand-dependent nuclear receptor	Inhibited	-3.599	4.40E-04	6.03E-03	AKR1D1,ANGPTL4,AQP1,Ccl2,CCL3L3,COL3A1,CXCL10,Cxcl11,DDIT4,DUSP1,G6PC,HCAR2,HERPUD1,HNF4A,Hsd3b4 (includes others),HSP90AB1,IDH1,IGFBP1,IL1A,IL1B,LIPC,MEST,NOS3,OAT,OCLN,ONECUT1,PCK1,PER1,PNPLA2,PTGR1,PYGL,SGK1,TAT,TNF,TSC22D3,UGCG	375 (17)
CPT1B	 	enzyme	 	-0.453	4.41E-04	6.03E-03	ACADM,ANGPTL4,ATP2A2,COX10,FH,FOXO1,FUBP1,GCK,HADHA,IKBKB,INSIG1,IRS1,MGLL,NDUFS6,OGDH,PCK1,PDK4,PIK3CB,PIK3R5,PPP1R3C,PRKAB1,PRKAB2,PRKAR2A,PTPN1,PTPRF,PYGB,PYGL,SH2B2,SLC27A1,SOCS2,SOCS3,SREBF1,TSC1	 
SCARB1	 	transporter	Inhibited	-2.345	4.64E-04	6.32E-03	ABCG5,ABCG8,DDIT4,FOXO1,IL1B,SELE,SESN1,SREBF1,TNF	352 (18)
CCR5	 	G-protein coupled receptor	 	1.174	4.76E-04	6.45E-03	CASP3,Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,IL1B,TNF,TNFRSF1A,TNFRSF1B	199 (14)
NKX3-1	 	transcription regulator	 	 	5.17E-04	6.97E-03	CA3,CA8,CDH1,CXCL13,ETV3,FKBP5,FOXO3,MYC,PIM1,PTPRK,STAT3,VNN1	 
TNFAIP3	3.119	enzyme	Inhibited	-2.374	5.61E-04	7.48E-03	Ccl2,CSF1,ICAM1,IL1B,NLRP3,TFRC,TNF,TNFAIP3	174 (12)
SFRP1	 	transmembrane receptor	 	0.707	5.61E-04	7.48E-03	ACLY,CASP3,CDH1,G6PC,PCK1,SERPINE1,SLC2A2,SREBF1	 
VCAN	 	other	 	0.555	6.08E-04	7.67E-03	Ccl2,CCL3L3,CXCL3,HYAL1,IL1B,TNF	119 (6)
PRF1	 	transporter	 	0.000	6.08E-04	7.67E-03	Ccl2,CCL3L3,CXCL10,IL18,IL1B,TNF	229 (14)
Cyp2c70	 	enzyme	 	-1.732	6.08E-04	7.67E-03	ABCC1,Ccl2,CYP7A1,HNF4A,IL1B,TNF	 
C1QTNF12	 	other	 	 	6.08E-04	7.67E-03	Ccl2,IL1B,TNF	118 (6)
IKK (complex)	 	complex	 	 	6.08E-04	7.67E-03	CXCL10,IL1B,TNF	262 (10)
TOX	1.316	transcription regulator	 	 	6.08E-04	7.67E-03	FOXO1,ID2,ZBTB7B	 
SFRP5	 	transmembrane receptor	 	 	6.08E-04	7.67E-03	Ccl2,IL1B,TNF	 
AGTRAP	 	G-protein coupled receptor	 	 	6.08E-04	7.67E-03	Ccl2,HMOX1,VEGFA	 
VTN	 	other	 	 	6.08E-04	7.67E-03	CXCL3,IL1B,TNF	162 (11)
SREBF1	-1.604	transcription regulator	 	0.951	6.10E-04	7.67E-03	ACLY,DPY19L3,G6PC,GCK,MAT1A,PCK1,SC5D,SERPINE1,SREBF1,ULK2	 
RIPK1	 	kinase	 	0.488	6.10E-04	7.67E-03	Ccl2,CCL3L3,CXCL10,CXCL2,GRN,IL1B,MAP3K14,TNF,TNFAIP3,VEGFA	264 (14)
GNAQ	 	enzyme	 	1.938	6.10E-04	7.67E-03	ADAMTS1,ATF3,Ccl2,CCN2,PLAUR,Rnf125,SERPINE1,SOCS3,TGM1,THBD	123 (6)
IL12A	 	cytokine	Activated	2.927	6.14E-04	7.67E-03	CXCL10,ICAM1,IL1A,IL1B,IRF9,SOCS3,STAT2,STAT3,TNF	211 (12)
CLOCK	 	transcription regulator	 	 	6.15E-04	7.67E-03	ABCB10,ANGPTL4,CA1,CEBPA,F2R,FKBP5,FOXA3,GADD45A,GCK,HES6,Hspa1b,HSPH1,ICAM1,JUNB,PER1,PER2,POR,PPIF,PRELID3B,SLC12A3,SLC20A1,SLC30A5,TSPAN4,WEE1	 
GPS2	0.551	transcription regulator	 	-1.155	6.32E-04	7.82E-03	Ccl2,CCL3L3,DHRS3,FOXO1,IDH1,Kctd12b,LHPP,RHOB,RNF144B,SGK1,TBCC,TNF	60 (4)
JAK2	 	kinase	 	1.848	6.32E-04	7.82E-03	Ccl2,CXCL10,FOXO1,IL1B,LYN,ODC1,Saa3,SOCS3,STAT3,TGM2,THPO,TNF	251 (16)
NLRP3	2.182	other	 	1.161	6.36E-04	7.82E-03	ATM,Ccl2,CCL3L3,CDH1,CDK2,Chil3/Chil4,CXCL10,CXCL2,HMOX1,IL18,IL1B,NFKB2,NFKBIE,RELB,STAT3,TACC2,TNF,XRCC1	196 (15)
FADD	 	other	 	-1.807	6.54E-04	8.01E-03	ARID5A,CXCL10,Cxcl11,CXCL2,ICAM1,JUNB,KLF6,LY6E,Mx2,MYC,PIM1,RNF114,STAT2,TIPARP,TNFAIP3	33 (3)
TLR8	-0.873	transmembrane receptor	 	1.977	6.72E-04	8.04E-03	Ccl2,CXCL2,IL1B,TNF	182 (7)
RGMB	 	other	 	-0.762	6.72E-04	8.04E-03	CDH1,CXCL2,CXCL3,LCN2	 
mir-873	 	microRNA	 	1.192	6.72E-04	8.04E-03	Ccl2,CXCL3,TNF,TNFAIP3	196 (6)
BIRC2	0.518	enzyme	 	0.152	6.72E-04	8.04E-03	CCNE1,CSF1,MAP3K14,TNF	303 (12)
PILRA	 	other	 	-0.577	6.72E-04	8.04E-03	Ccl2,CXCL2,IL1B,TNF	 
mir-223	 	microRNA	 	0.116	6.96E-04	8.29E-03	C5AR1,CCNE1,CSF1,FOXO1,FOXO3,Gm8615,Gstm3,ID2,IL1A,IL1B,IL1RN,MMP8,MREG,NLRP3,PRTN3,S100A9,SGPL1,SLC29A1,SLC2A2,SLC40A1,TOB1	 
BIRC3	 	enzyme	 	0.577	7.63E-04	8.87E-03	CSF1,IL1B,MAP3K14,NFKB2,TNF	285 (14)
PARP14	 	enzyme	 	0.200	7.63E-04	8.87E-03	CXCL10,F3,ID3,Mx2,PIM1	 
ITGAM	 	transmembrane receptor	Activated	2.517	7.64E-04	8.87E-03	BCL2A1,C5AR1,Ccl2,CCL3L3,CXCL10,IL1B,LCN2,TNF	162 (13)
SRC	 	kinase	 	-0.563	7.64E-04	8.87E-03	ABCB11,ABCG5,ABCG8,CXCL10,DUSP1,MYC,PTH1R,SLC2A1	326 (11)
ADAMTS12	 	peptidase	Inhibited	-2.800	7.64E-04	8.87E-03	ACOD1,Chil3/Chil4,CXCL10,LCN2,MID1,S100A8,S100A9,TNFAIP2	 
SASH1	 	other	 	0.775	7.65E-04	8.87E-03	ARID5A,ATM,CITED2,CXCL10,Cxcl11,HHEX,IL18,IRF1,Mx2,NFKBIZ,PELI1,RBL1,STAT2,TIMELESS,TNF	 
IFNGR1	 	transmembrane receptor	 	1.665	7.73E-04	8.87E-03	BCL6,Ccl2,CCL3L3,CXCL10,CXCL3,ICAM1,IL1A,IL1B,TNF,TNFRSF1A	230 (15)
ATF3	1.775	transcription regulator	Inhibited	-2.543	7.73E-04	8.87E-03	CCNE1,CD83,G6PC,GBP6,ICAM1,KRT19,NFKBIZ,RIPK2,TLR2,TNF	384 (20)
RELA	 	transcription regulator	Activated	2.376	7.74E-04	8.87E-03	AHR,Ccl2,CD14,CITED2,CXCL10,CXCL2,CXCL3,CYP1A1,Gstm3,HMOX1,ICAM1,IL1A,IL1B,KRT18,MYC,Pmaip1,SAA1,Saa3,TLR2,TNF	318 (15)
CARD9	 	other	Activated	2.157	8.00E-04	9.09E-03	C5AR1,Ccl2,CXCL10,CXCL2,CXCL3,IL1A,IL1B,TLR2,TNF	194 (15)
AGTR1	 	G-protein coupled receptor	 	-0.128	8.00E-04	9.09E-03	CASP3,COL3A1,DUSP1,GSTA5,Gstm6,HMOX1,SERPINE1,SGK1,TXNIP	102 (4)
LGR5	 	transmembrane receptor	 	0.378	8.97E-04	9.93E-03	AHR,CYP1A2,Gulo,LECT2,LHPP,OAT,PLBD1	112 (3)
IFT88	 	other	 	1.195	8.97E-04	9.93E-03	ACLY,CEBPA,CEBPB,FOXA2,HMGCS1,LSS,PYCR2	114 (3)
IL23A	 	cytokine	Activated	2.619	8.97E-04	9.93E-03	Ccl2,CXCL10,CXCL13,IL1B,S100A8,S100A9,TNF	247 (14)
CEBPE	 	transcription regulator	 	0.730	8.97E-04	9.93E-03	CD14,IL18,IL1RN,LCN2,MMP8,Retnlg,TNF	 
ALOX15	 	enzyme	 	0.610	8.97E-04	9.93E-03	Ccl2,CXCL2,HMOX1,ICAM1,ID3,IL1B,TNF	350 (17)
FABP1	 	transporter	 	-1.720	8.97E-04	9.93E-03	ABCG5,ABCG8,CYP7A1,NR1H4,PNPLA2,SLC27A1,SREBF1	56 (3)
N-cor	 	group	 	-0.447	9.03E-04	9.95E-03	CIDEC,CXCL2,DHRS3,ELOVL5,IDH1,IL1A,IL1B,Kctd12b,LHPP,PCK1,PDGFA,RHOB,RNF144B,SGK1,SREBF1,TBCC,USP18	171 (5)
PIK3R1	 	kinase	 	-0.371	9.28E-04	1.02E-02	CXCL10,ERN1,F3,FOXO1,HMOX1,IL1B,LDHA,MYC,PDGFRA,PIK3CB,SLC2A1,TNF,TRIB3,TXNIP	366 (20)
ZBTB10	 	other	Activated	3.561	9.32E-04	1.02E-02	9930111J21Rik1/Gm12185,ACOD1,ARID5A,CASP4,CCL3L3,CD83,CREB3,CXCL10,GBP5,GBP6,IL1B,IL1RN,IRF1,MAP3K14,Mx2,MYD88,NLRX1,RELB,RIPK2,SERINC5,SERPINE1,STAT2,TNF,TNFRSF1A	 
PRKCI	 	kinase	 	-1.673	9.41E-04	1.02E-02	CXCL2,CXCL3,FOXA2,IL1A,SLC2A2,SREBF1	176 (11)
CCL5	 	cytokine	Activated	2.412	9.41E-04	1.02E-02	CCL3L3,CCRL2,CXCL2,CXCL3,IL1B,TNF	188 (11)
NOX4	-0.987	enzyme	 	0.970	9.41E-04	1.02E-02	Ccl2,GCLC,GSTA5,HMOX1,Saa3,SERPINE1	324 (11)
SERPINE2	 	other	Inhibited	-2.562	9.70E-04	1.04E-02	Ccl2,Ccl9,CXCL10,Cxcl11,CXCL13,CXCL3,IL1A,IL1B,SELE,TNF	216 (7)
FCGR2B	 	transmembrane receptor	 	1.970	1.02E-03	1.08E-02	ACOD1,CXCL10,ICAM1,MARCKSL1,SLC2A6,SOCS3,TNF,VEGFA	207 (14)
FOXA3	1.848	transcription regulator	 	-0.034	1.02E-03	1.08E-02	ACADM,ELOVL3,FOXA2,KLHL13,PDGFRA,SLC27A1,SLC2A2,TAT	 
PLK2	 	kinase	 	0.000	1.02E-03	1.08E-02	ATM,CITED2,CXCL10,Cxcl11,IL1B,IRF1,Mx2,RBL1	 
MTTP	 	transporter	 	-0.547	1.03E-03	1.08E-02	ABCG5,ABCG8,APOA4,CCL3L3,CIDEC,CXCL3,ERN1,TNF,XBP1	 
IL33	 	cytokine	Activated	2.063	1.03E-03	1.08E-02	APOLD1,ATP8B4,Ccl2,Chil3/Chil4,CSF3R,CXCL2,FGR,FPR1,FPR2,IL1B,IL1RN,NLRP3,PIK3R5,S100A8,S100A9,SMAD6,TNF	158 (12)
SAMSN1	2.174	other	 	1.698	1.03E-03	1.08E-02	ARID5A,ATM,CCL3L3,CITED2,CXCL10,Cxcl11,CXCL2,IL18,IRF1,Mx2,NFKBIZ,PELI1,RBL1,SOCS3,STAT2,TIMELESS,TNF	220 (7)
LGALS3	 	other	 	0.958	1.07E-03	1.12E-02	Ccl2,CCL3L3,CEBPA,CEBPB,Chil3/Chil4,ICAM1,PNPLA2,SAA1,SELE,SOCS3,TNF	295 (16)
IRAK4	 	kinase	 	1.955	1.09E-03	1.12E-02	ATF3,Ccl2,CXCL10,CXCL2,CXCL3,IL1B,IRF1,MAP3K8,NFKBIZ,PHLDA1,RGS16,SLC25A25,TNF,TNFAIP3	200 (13)
Histone h3	 	group	 	 	1.09E-03	1.12E-02	ACOT4,ADRA1B,Ccl2,CCNE1,CEBPA,FGFR2,FOXA2,GAS2,GATA4,GATA6,GHR,HES1,HNF4A,ID2,IGFBP2,IKZF4,IL1B,IL6R,LRAT,MGLL,PTGR1,RGS4,S100A8,S100A9,SLC16A6,SLC2A2,SOCS3,SREBF1,TBX3,TNFAIP3,Tpm4,TRIB1,VEGFA	 
FOXO1	-0.963	transcription regulator	 	-0.564	1.09E-03	1.12E-02	ACLY,ATG14,BANK1,CCNF,CYP7A1,ELOVL5,FLNB,FOXA2,FOXO1,G6PC,GCK,GRN,IGFBP1,JUNB,LRAT,MAVS,MRPS2,MYC,MYCN,NDUFAF4,NR1H4,PCK1,PDK4,PNPLA2,Prg4,PRKCD,SESN1,SESN3,SLC2A2,SOX5,STAT2,STAT5B,TXNIP	 
SOX2	 	transcription regulator	 	-0.999	1.09E-03	1.12E-02	ABTB2,ADAMTS4,ATF3,BCL9L,CASKIN2,CBFA2T3,CCN2,CHRD,CILK1,CITED2,CNP,CTNNAL1,DLL1,ELF1,ELF3,ETS2,FOXA2,GATA4,GCK,ID3,KDM3A,KLF6,KRT18,KRT19,MFSD2A,MOBP,MYCN,MYD88,NFKB2,NSFL1C,PRKCD,PRKD3,PROM1,RASGEF1B,RCAN1,SERINC5,TBX3,TEC,TMEM63A,TNS3	 
Il3	 	cytokine	 	0.636	1.12E-03	1.15E-02	AATK,ARNT,CD14,CISH,CSF1,CSF3R,LCN2,PIM1,PRTN3,SRP9,TNFRSF1A,TNFRSF1B,YWHAG	117 (6)
PRDM1	 	transcription regulator	 	-0.759	1.18E-03	1.20E-02	ARG2,BCL6,Ccl2,CLDN1,CXCL2,CXCL3,Gsta4,GSTA5,ID2,IL1A,IL1B,MYC,PROX1,SLC16A5,SRD5A1,TNF,XBP1	262 (11)
KLF11	-1.088	transcription regulator	 	0.775	1.18E-03	1.20E-02	CCL3L3,CCN2,CEBPB,COL3A1,IL1B,INHBE,ITGB3,ITGB5,ITGB8,MMP8,MYC,PCK1,PDGFA,SERPINE1,SMAD6,TNF,VEGFA	 
P38 MAPK	 	group	Activated	3.815	1.20E-03	1.21E-02	ARG2,CCL3L3,CCNE1,CEBPA,CXCL3,DUSP1,HMOX1,IL1A,IL1B,JUNB,MYC,SERPINE1,SOCS3,TNF,TNFRSF1A	359 (16)
Vegf	 	group	 	-0.839	1.20E-03	1.21E-02	Acaa1b,Acot1,ACOT2,Akr1c14,CLDN1,EHHADH,ELOVL3,GJB2,INHBB,LCN2,LRAT,MYCN,PDK4,PKDCC,SLC27A1	 
LEF1	 	transcription regulator	 	-0.077	1.21E-03	1.22E-02	CD83,EVI5,GSAP,ID2,IKZF4,ITGB8,LONRF1,LRIG1,LYSMD2,MYC,NCOA7,NRN1,NTN4,PHLDA1,Prg4,PTGER2,TLCD5,ZC3H12D	 
